step,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,0.5,-1647.21,0.0444533,9.76026e-007,0.492643,0.00151321,-0.000915402,-2.72504,0.0444533,9.76026e-007,-0.00735667
1,0.49,-1647.24,0.0439266,2.0961e-006,0.48721,0.00163832,-0.000996101,-2.96276,0.0439266,2.0961e-006,-0.00278983
2,0.48,-1647.27,0.0439267,2.06878e-006,0.477328,0.00179679,-0.00109512,-3.21991,0.0439267,2.06878e-006,-0.00267227
3,0.47,-1647.3,0.0439268,2.0812e-006,0.467445,0.00196806,-0.00120245,-3.49764,0.0439268,2.0812e-006,-0.0025547
4,0.46,-1647.34,0.0439268,2.09361e-006,0.457563,0.00215265,-0.00131782,-3.7971,0.0439268,2.09361e-006,-0.00243716
5,0.45,-1647.38,0.0439268,2.10106e-006,0.44768,0.0023522,-0.00144176,-4.11941,0.0439268,2.10106e-006,-0.00231961
6,0.44,-1647.42,0.0439268,2.10355e-006,0.437798,0.00256871,-0.00157539,-4.4656,0.0439268,2.10355e-006,-0.00220211
7,0.43,-1647.47,0.0439268,2.10603e-006,0.427915,0.00280247,-0.00171857,-4.83661,0.0439268,2.10603e-006,-0.00208468
8,0.42,-1647.52,0.0439268,2.10851e-006,0.418033,0.00305517,-0.00187181,-5.23326,0.0439268,2.10851e-006,-0.00196727
9,0.41,-1647.57,0.0439268,2.11596e-006,0.40815,0.00332503,-0.00203329,-5.65615,0.0439268,2.11596e-006,-0.00185001
10,0.4,-1647.63,0.0439268,2.11348e-006,0.398267,0.00362365,-0.00220962,-6.10579,0.0439268,2.11348e-006,-0.00173275
11,0.39,-1647.7,0.043927,2.14328e-006,0.388384,0.00393619,-0.0023936,-6.58226,0.043927,2.14328e-006,-0.00161618
12,0.38,-1647.76,0.043927,2.17557e-006,0.3785,0.00426748,-0.0025947,-7.08549,0.043927,2.17557e-006,-0.00150004
13,0.37,-1647.84,0.0439267,2.08616e-006,0.36861,0.00453159,-0.00274191,-7.61446,0.0439267,2.08616e-006,-0.0013902
14,0.36,-1647.92,0.0439267,2.07374e-006,0.358727,0.00488009,-0.00293781,-8.16842,0.0439267,2.07374e-006,-0.00127273
15,0.35,-1648,0.0439267,2.0812e-006,0.348845,0.00524603,-0.0031398,-8.74572,0.0439267,2.0812e-006,-0.00115535
16,0.34,-1648.09,0.0439267,2.06629e-006,0.338962,0.00563792,-0.00335433,-9.34407,0.0439267,2.06629e-006,-0.00103807
17,0.33,-1648.19,0.0439268,2.08368e-006,0.329079,0.00605088,-0.0035729,-9.96028,0.0439268,2.08368e-006,-0.000921166
18,0.32,-1648.29,0.0439267,2.10851e-006,0.319195,0.00645763,-0.00379073,-10.59,0.0439267,2.10851e-006,-0.000804627
19,0.31,-1648.4,0.0439266,2.15818e-006,0.309312,0.00695663,-0.00407148,-11.2281,0.0439266,2.15818e-006,-0.000688275
20,0.3,-1648.52,0.0439266,2.19295e-006,0.299425,0.00738521,-0.00429688,-11.8665,0.0439266,2.19295e-006,-0.000575234
21,0.29,-1648.64,0.0439266,2.1855e-006,0.289536,0.00744718,-0.00427768,-12.4962,0.0439266,2.1855e-006,-0.000464008
22,0.28,-1648.77,0.0439267,2.16564e-006,0.279654,0.00765015,-0.00438379,-13.1052,0.0439267,2.16564e-006,-0.000346191
23,0.27,-1648.9,0.0439267,2.1259e-006,0.269772,0.00770099,-0.00442815,-13.6776,0.0439267,2.1259e-006,-0.000228449
24,0.26,-1649.04,0.0439268,2.10106e-006,0.259889,0.00755495,-0.00438937,-14.1933,0.0439268,2.10106e-006,-0.000110776
25,0.25,-1649.18,0.0439268,2.1259e-006,0.250007,0.00705139,-0.0041841,-14.6254,0.0439268,2.1259e-006,6.88081e-006
26,0.24,-1649.33,0.0439268,2.08865e-006,0.240125,0.00607191,-0.00376617,-14.9397,0.0439268,2.08865e-006,0.00012452
27,0.23,-1649.48,0.0439268,2.07623e-006,0.230242,0.00435661,-0.00301658,-15.0916,0.0439268,2.07623e-006,0.000242141
28,0.22,-1649.63,0.0439267,2.05139e-006,0.22036,0.00164162,-0.00180478,-15.0238,0.0439267,2.05139e-006,0.000359744
29,0.21,-1649.78,0.0439267,2.03649e-006,0.210477,-0.00247836,7.80899e-005,-14.6638,0.0439267,2.03649e-006,0.000477337
30,0.2,-1649.92,0.0439267,2.03152e-006,0.200595,-0.00851209,0.00290793,-13.92,0.0439267,2.03152e-006,0.000594915
31,0.19,-1650.06,0.0439267,2.03401e-006,0.190713,-0.0170884,0.00704748,-12.6804,0.0439267,2.03401e-006,0.000712512
32,0.18,-1650.18,0.0439267,2.03898e-006,0.18083,-0.0289666,0.0129829,-10.8103,0.0439267,2.03898e-006,0.000830122
33,0.17,-1650.27,0.0439268,2.04146e-006,0.170948,-0.0449995,0.0213418,-8.15393,0.0439268,2.04146e-006,0.000947747
34,0.16,-1650.34,0.0439268,2.04146e-006,0.161065,-0.0660453,0.0328881,-4.54039,0.0439268,2.04146e-006,0.00106541
35,0.15,-1650.36,0.0439268,2.03649e-006,0.151183,-0.0927608,0.0484795,0.203723,0.0439268,2.03649e-006,0.00118304
