step,rz,Epot,Epot0,Epot00,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,0.5,-1646.78,-0.0156096,0,0.0444517,-1.31627e-007,0.492786,0,0.0444517,-1.31627e-007,-0.00721388
1,0.49,-1646.78,-0.0156097,-4.95675e-008,0.0439284,1.9595e-006,0.487258,0,0.0439284,1.9595e-006,-0.00274247
2,0.48,-1646.78,-0.0156097,-7.71029e-008,0.0439284,1.92225e-006,0.477375,0,0.0439284,1.92225e-006,-0.00262481
3,0.47,-1646.78,-0.0156097,-8.83429e-008,0.0439284,1.93218e-006,0.467493,0,0.0439284,1.93218e-006,-0.00250716
4,0.46,-1646.78,-0.0156097,-9.38812e-008,0.0439284,1.94212e-006,0.45761,0,0.0439284,1.94212e-006,-0.0023895
5,0.45,-1646.78,-0.0156097,-9.91834e-008,0.0439284,1.93715e-006,0.447728,0,0.0439284,1.93715e-006,-0.00227185
6,0.44,-1646.78,-0.0156097,-1.04998e-007,0.0439284,1.9297e-006,0.437846,0,0.0439284,1.9297e-006,-0.0021542
7,0.43,-1646.78,-0.0156097,-1.09435e-007,0.0439284,1.9297e-006,0.427963,0,0.0439284,1.9297e-006,-0.00203657
8,0.42,-1646.78,-0.0156097,-1.12739e-007,0.0439284,1.93218e-006,0.418081,0,0.0439284,1.93218e-006,-0.00191891
9,0.41,-1646.78,-0.0156097,-1.12053e-007,0.0439284,1.93218e-006,0.408199,0,0.0439284,1.93218e-006,-0.00180128
10,0.4,-1646.78,-0.0156097,-1.15583e-007,0.0439284,1.93963e-006,0.398316,0,0.0439284,1.93963e-006,-0.00168362
11,0.39,-1646.78,-0.0156097,-1.19669e-007,0.0439284,1.93963e-006,0.388434,0,0.0439284,1.93963e-006,-0.00156598
12,0.38,-1646.78,-0.0156097,-1.16172e-007,0.0439284,1.93715e-006,0.378552,0,0.0439284,1.93715e-006,-0.00144832
13,0.37,-1646.78,-0.0156097,-1.17377e-007,0.0439284,1.93467e-006,0.368669,0,0.0439284,1.93467e-006,-0.00133068
14,0.36,-1646.78,-0.0156097,-1.26068e-007,0.0439284,1.9297e-006,0.358787,0,0.0439284,1.9297e-006,-0.00121304
15,0.35,-1646.78,-0.0156097,-1.29021e-007,0.0439284,1.9297e-006,0.348905,0,0.0439284,1.9297e-006,-0.00109539
16,0.34,-1646.78,-0.0156097,-1.29138e-007,0.0439284,1.94957e-006,0.339022,0,0.0439284,1.94957e-006,-0.000977747
17,0.33,-1646.78,-0.0156097,-1.3125e-007,0.0439284,1.94709e-006,0.32914,0,0.0439284,1.94709e-006,-0.000860101
18,0.32,-1646.78,-0.0156097,-1.32218e-007,0.0439284,1.95454e-006,0.319258,0,0.0439284,1.95454e-006,-0.000742455
19,0.31,-1646.78,-0.0156097,-1.31948e-007,0.0439284,1.94957e-006,0.309375,0,0.0439284,1.94957e-006,-0.000624804
20,0.3,-1646.78,-0.0156097,-1.35776e-007,0.0439284,1.94709e-006,0.299493,0,0.0439284,1.94709e-006,-0.000507163
21,0.29,-1646.78,-0.0156097,-1.33828e-007,0.0439284,1.94212e-006,0.28961,0,0.0439284,1.94212e-006,-0.000389502
22,0.28,-1646.78,-0.0156097,-1.33912e-007,0.0439284,1.93963e-006,0.279728,0,0.0439284,1.93963e-006,-0.000271866
23,0.27,-1646.78,-0.0156097,-1.35158e-007,0.0439284,1.93715e-006,0.269846,0,0.0439284,1.93715e-006,-0.000154214
24,0.26,-1646.78,-0.0156097,-1.36534e-007,0.0439284,1.93715e-006,0.259963,0,0.0439284,1.93715e-006,-3.65737e-005
25,0.25,-1646.78,-0.0156097,-1.3464e-007,0.0439284,1.93715e-006,0.250081,0,0.0439284,1.93715e-006,8.10642e-005
26,0.24,-1646.78,-0.0156098,-1.39143e-007,0.0439284,1.93715e-006,0.240199,0,0.0439284,1.93715e-006,0.000198706
27,0.23,-1646.78,-0.0156098,-1.41662e-007,0.0439284,1.93963e-006,0.230316,0,0.0439284,1.93963e-006,0.000316352
28,0.22,-1646.78,-0.0156098,-1.43216e-007,0.0439284,1.94212e-006,0.220434,0,0.0439284,1.94212e-006,0.000434005
29,0.21,-1646.78,-0.0156098,-1.47071e-007,0.0439284,1.94212e-006,0.210552,0,0.0439284,1.94212e-006,0.000551641
30,0.2,-1646.78,-0.0156098,-1.48304e-007,0.0439284,1.94212e-006,0.200669,0,0.0439284,1.94212e-006,0.000669301
31,0.19,-1646.78,-0.0156098,-1.49653e-007,0.0439284,1.94212e-006,0.190787,0,0.0439284,1.94212e-006,0.000786937
32,0.18,-1646.78,-0.0156098,-1.48187e-007,0.0439284,1.94212e-006,0.180905,0,0.0439284,1.94212e-006,0.000904588
33,0.17,-1646.78,-0.0156098,-1.49147e-007,0.0439284,1.94212e-006,0.171022,0,0.0439284,1.94212e-006,0.00102223
34,0.16,-1646.78,-0.0156098,-1.49664e-007,0.0439284,1.93963e-006,0.16114,0,0.0439284,1.93963e-006,0.00113987
35,0.15,-1646.78,-0.0156098,-1.50033e-007,0.0439284,1.93715e-006,0.151258,0,0.0439284,1.93715e-006,0.00125752
36,0.14,-1646.78,-0.0156098,-1.5059e-007,0.0439284,1.93715e-006,0.141375,0,0.0439284,1.93715e-006,0.00137516
37,0.13,-1646.78,-0.0156098,-1.5306e-007,0.0439284,1.93963e-006,0.131493,0,0.0439284,1.93963e-006,0.00149282
38,0.12,-1646.78,-0.0156098,-1.51061e-007,0.0439284,1.94212e-006,0.12161,0,0.0439284,1.94212e-006,0.00161045
39,0.11,-1646.78,-0.0156098,-1.48925e-007,0.0439284,1.94212e-006,0.111728,0,0.0439284,1.94212e-006,0.00172811
40,0.1,-1646.78,-0.0156098,-1.50839e-007,0.0439284,1.94212e-006,0.101846,0,0.0439284,1.94212e-006,0.00184574
41,0.09,-1646.78,-0.0156098,-1.48015e-007,0.0439284,1.95205e-006,0.0919634,0,0.0439284,1.95205e-006,0.00196339
42,0.08,-1646.78,-0.0156098,-1.48331e-007,0.0439284,1.95205e-006,0.082081,0,0.0439284,1.95205e-006,0.00208104
43,0.07,-1646.78,-0.0156098,-1.45174e-007,0.0439284,1.95205e-006,0.0721987,0,0.0439284,1.95205e-006,0.00219869
44,0.06,-1646.78,-0.0156098,-1.45528e-007,0.0439284,1.95205e-006,0.0623163,0,0.0439284,1.95205e-006,0.00231633
45,0.05,-1646.78,-0.0156098,-1.46331e-007,0.0439284,1.95205e-006,0.052434,0,0.0439284,1.95205e-006,0.00243397
46,0.04,-1646.78,-0.0156098,-1.4516e-007,0.0439284,1.95205e-006,0.0425516,0,0.0439284,1.95205e-006,0.00255163
47,0.03,-1646.78,-0.0156098,-1.44888e-007,0.0439284,1.94957e-006,0.0326693,0,0.0439284,1.94957e-006,0.00266925
48,0.02,-1646.78,-0.0156098,-1.44753e-007,0.0439284,1.9446e-006,0.0227869,0,0.0439284,1.9446e-006,0.00278691
49,0.01,-1646.78,-0.0156098,-1.48004e-007,0.0439284,1.9446e-006,0.0129046,0,0.0439284,1.9446e-006,0.00290456
50,0,-1646.78,-0.0156098,-1.47291e-007,0.0439284,1.9446e-006,0.0030222,0,0.0439284,1.9446e-006,0.0030222
51,-0.01,-1646.78,-0.0156098,-1.46594e-007,0.0439284,1.9446e-006,-0.00686015,0,0.0439284,1.9446e-006,0.00313985
52,-0.02,-1646.78,-0.0156098,-1.47792e-007,0.0439284,1.9446e-006,-0.0167425,0,0.0439284,1.9446e-006,0.0032575
53,-0.03,-1646.78,-0.0156098,-1.49101e-007,0.0439284,1.9446e-006,-0.0266249,0,0.0439284,1.9446e-006,0.00337514
54,-0.04,-1646.78,-0.0156098,-1.48858e-007,0.0439284,1.9446e-006,-0.0365072,0,0.0439284,1.9446e-006,0.00349279
55,-0.05,-1646.78,-0.0156098,-1.49371e-007,0.0439284,1.94957e-006,-0.0463896,0,0.0439284,1.94957e-006,0.00361045
56,-0.06,-1646.78,-0.0156098,-1.47295e-007,0.0439284,1.94957e-006,-0.0562719,0,0.0439284,1.94957e-006,0.00372808
57,-0.07,-1646.78,-0.0156098,-1.45389e-007,0.0439284,1.95205e-006,-0.0661543,0,0.0439284,1.95205e-006,0.00384572
58,-0.08,-1646.78,-0.0156098,-1.48144e-007,0.0439284,1.95205e-006,-0.0760366,0,0.0439284,1.95205e-006,0.00396336
59,-0.09,-1646.78,-0.0156098,-1.46736e-007,0.0439284,1.9595e-006,-0.085919,0,0.0439284,1.9595e-006,0.00408102
