step,rz,Epot,Epot0,Epot00,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,-0.5,-1649.66,-10.0758,0,0.0442949,1.33614e-006,-0.510047,0,0.0442949,1.33614e-006,-0.0100467
1,-0.49,-1649.67,-10.0832,-0.00736451,0.0439477,2.68966e-006,-0.481206,0,0.0439477,2.68966e-006,0.00879391
2,-0.48,-1649.67,-10.0832,-0.00736455,0.0439542,2.45869e-006,-0.471445,0,0.0439542,2.45869e-006,0.00855543
3,-0.47,-1649.67,-10.0832,-0.00736455,0.0439541,2.46614e-006,-0.461562,0,0.0439541,2.46614e-006,0.00843779
4,-0.46,-1649.67,-10.0832,-0.00736452,0.0439541,2.46863e-006,-0.45168,0,0.0439541,2.46863e-006,0.00832014
5,-0.45,-1649.67,-10.0832,-0.00736453,0.0439541,2.46614e-006,-0.441798,0,0.0439541,2.46614e-006,0.00820249
6,-0.44,-1649.67,-10.0832,-0.00736455,0.0439541,2.45621e-006,-0.431915,0,0.0439541,2.45621e-006,0.00808485
7,-0.43,-1649.67,-10.0832,-0.00736457,0.0439541,2.45621e-006,-0.422033,0,0.0439541,2.45621e-006,0.0079672
8,-0.42,-1649.67,-10.0832,-0.0073646,0.0439541,2.45869e-006,-0.41215,0,0.0439541,2.45869e-006,0.00784956
9,-0.41,-1649.67,-10.0832,-0.00736463,0.0439541,2.46863e-006,-0.402268,0,0.0439541,2.46863e-006,0.0077319
10,-0.4,-1649.67,-10.0832,-0.0073646,0.0439541,2.47608e-006,-0.392386,0,0.0439541,2.47608e-006,0.00761426
11,-0.39,-1649.67,-10.0832,-0.00736463,0.0439541,2.47856e-006,-0.382503,0,0.0439541,2.47856e-006,0.00749661
12,-0.38,-1649.67,-10.0832,-0.00736466,0.0439541,2.48104e-006,-0.372621,0,0.0439541,2.48104e-006,0.00737895
13,-0.37,-1649.67,-10.0832,-0.00736469,0.0439541,2.46863e-006,-0.362739,0,0.0439541,2.46863e-006,0.00726132
14,-0.36,-1649.67,-10.0832,-0.00736468,0.0439541,2.45621e-006,-0.352856,0,0.0439541,2.45621e-006,0.00714367
15,-0.35,-1649.67,-10.0832,-0.00736464,0.0439541,2.43386e-006,-0.342974,0,0.0439541,2.43386e-006,0.00702603
16,-0.34,-1649.67,-10.0832,-0.00736461,0.0439541,2.43137e-006,-0.333092,0,0.0439541,2.43137e-006,0.00690838
17,-0.33,-1649.67,-10.0832,-0.00736461,0.0439541,2.44379e-006,-0.323209,0,0.0439541,2.44379e-006,0.00679074
18,-0.32,-1649.67,-10.0832,-0.00736459,0.0439541,2.45869e-006,-0.313327,0,0.0439541,2.45869e-006,0.00667309
19,-0.31,-1649.67,-10.0832,-0.00736462,0.0439541,2.46118e-006,-0.303445,0,0.0439541,2.46118e-006,0.00655545
20,-0.3,-1649.67,-10.0832,-0.00736462,0.0439541,2.45372e-006,-0.293562,0,0.0439541,2.45372e-006,0.0064378
21,-0.29,-1649.67,-10.0832,-0.0073646,0.0439541,2.45372e-006,-0.28368,0,0.0439541,2.45372e-006,0.00632015
22,-0.28,-1649.67,-10.0832,-0.00736459,0.0439541,2.45621e-006,-0.273797,0,0.0439541,2.45621e-006,0.00620251
23,-0.27,-1649.67,-10.0832,-0.00736455,0.0439541,2.46118e-006,-0.263915,0,0.0439541,2.46118e-006,0.00608484
24,-0.26,-1649.67,-10.0832,-0.00736452,0.0439541,2.46118e-006,-0.254033,0,0.0439541,2.46118e-006,0.00596721
25,-0.25,-1649.67,-10.0832,-0.00736452,0.0439541,2.46118e-006,-0.24415,0,0.0439541,2.46118e-006,0.00584955
26,-0.24,-1649.67,-10.0832,-0.00736454,0.0439541,2.46118e-006,-0.234268,0,0.0439541,2.46118e-006,0.00573192
27,-0.23,-1649.67,-10.0832,-0.00736454,0.0439541,2.45869e-006,-0.224386,0,0.0439541,2.45869e-006,0.00561426
28,-0.22,-1649.67,-10.0832,-0.00736457,0.0439541,2.45869e-006,-0.214503,0,0.0439541,2.45869e-006,0.00549663
29,-0.21,-1649.67,-10.0832,-0.00736458,0.0439541,2.45869e-006,-0.204621,0,0.0439541,2.45869e-006,0.00537898
30,-0.2,-1649.67,-10.0832,-0.00736459,0.0439541,2.45869e-006,-0.194739,0,0.0439541,2.45869e-006,0.00526133
31,-0.19,-1649.67,-10.0832,-0.00736462,0.0439541,2.45869e-006,-0.184856,0,0.0439541,2.45869e-006,0.00514369
32,-0.18,-1649.67,-10.0832,-0.00736463,0.0439541,2.46118e-006,-0.174974,0,0.0439541,2.46118e-006,0.00502603
33,-0.17,-1649.67,-10.0832,-0.00736461,0.0439541,2.46366e-006,-0.165092,0,0.0439541,2.46366e-006,0.00490838
34,-0.16,-1649.67,-10.0832,-0.0073646,0.0439541,2.46366e-006,-0.155209,0,0.0439541,2.46366e-006,0.00479073
35,-0.15,-1649.67,-10.0832,-0.00736462,0.0439541,2.46366e-006,-0.145327,0,0.0439541,2.46366e-006,0.00467309
36,-0.14,-1649.67,-10.0832,-0.0073646,0.0439541,2.46366e-006,-0.135445,0,0.0439541,2.46366e-006,0.00455544
37,-0.13,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,-0.125562,0,0.0439541,2.46366e-006,0.0044378
38,-0.12,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,-0.11568,0,0.0439541,2.46614e-006,0.00432015
39,-0.11,-1649.67,-10.0832,-0.00736459,0.0439541,2.46863e-006,-0.105797,0,0.0439541,2.46863e-006,0.00420251
40,-0.1,-1649.67,-10.0832,-0.00736461,0.0439541,2.46863e-006,-0.0959151,0,0.0439541,2.46863e-006,0.00408487
41,-0.09,-1649.67,-10.0832,-0.00736461,0.0439541,2.46614e-006,-0.0860328,0,0.0439541,2.46614e-006,0.0039672
42,-0.08,-1649.67,-10.0832,-0.0073646,0.0439541,2.46614e-006,-0.0761504,0,0.0439541,2.46614e-006,0.00384957
43,-0.07,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,-0.0662681,0,0.0439541,2.46614e-006,0.00373191
44,-0.06,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,-0.0563857,0,0.0439541,2.46614e-006,0.00361428
45,-0.05,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,-0.0465034,0,0.0439541,2.46614e-006,0.00349662
46,-0.04,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,-0.036621,0,0.0439541,2.46614e-006,0.00337898
47,-0.03,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,-0.0267387,0,0.0439541,2.46614e-006,0.00326133
48,-0.02,-1649.67,-10.0832,-0.00736457,0.0439541,2.46614e-006,-0.0168563,0,0.0439541,2.46614e-006,0.00314368
49,-0.01,-1649.67,-10.0832,-0.00736457,0.0439541,2.46614e-006,-0.00697396,0,0.0439541,2.46614e-006,0.00302604
50,-1.86483e-017,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,0.00290837,0,0.0439541,2.46614e-006,0.00290837
51,0.01,-1649.67,-10.0832,-0.00736461,0.0439541,2.46614e-006,0.0127907,0,0.0439541,2.46614e-006,0.00279075
52,0.02,-1649.67,-10.0832,-0.00736461,0.0439541,2.46614e-006,0.0226731,0,0.0439541,2.46614e-006,0.00267309
53,0.03,-1649.67,-10.0832,-0.00736461,0.0439541,2.46614e-006,0.0325555,0,0.0439541,2.46614e-006,0.00255545
54,0.04,-1649.67,-10.0832,-0.00736459,0.0439541,2.46614e-006,0.0424378,0,0.0439541,2.46614e-006,0.0024378
55,0.05,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.0523202,0,0.0439541,2.46366e-006,0.00232016
56,0.06,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.0622025,0,0.0439541,2.46366e-006,0.00220252
57,0.07,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.0720849,0,0.0439541,2.46366e-006,0.00208487
58,0.08,-1649.67,-10.0832,-0.0073646,0.0439541,2.46366e-006,0.0819672,0,0.0439541,2.46366e-006,0.00196721
59,0.09,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.0918496,0,0.0439541,2.46366e-006,0.00184957
60,0.1,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.101732,0,0.0439541,2.46366e-006,0.00173192
61,0.11,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.111614,0,0.0439541,2.46366e-006,0.00161426
62,0.12,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.121497,0,0.0439541,2.46366e-006,0.00149663
63,0.13,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.131379,0,0.0439541,2.46366e-006,0.00137897
64,0.14,-1649.67,-10.0832,-0.00736459,0.0439541,2.46366e-006,0.141261,0,0.0439541,2.46366e-006,0.00126132
65,0.15,-1649.67,-10.0832,-0.0073646,0.0439541,2.46366e-006,0.151144,0,0.0439541,2.46366e-006,0.00114368
66,0.16,-1649.67,-10.0832,-0.0073646,0.0439541,2.46366e-006,0.161026,0,0.0439541,2.46366e-006,0.00102604
67,0.17,-1649.67,-10.0832,-0.0073646,0.0439541,2.45869e-006,0.170908,0,0.0439541,2.45869e-006,0.000908403
68,0.18,-1649.67,-10.0832,-0.0073646,0.0439541,2.45621e-006,0.180791,0,0.0439541,2.45621e-006,0.000790736
69,0.19,-1649.67,-10.0832,-0.00736458,0.0439541,2.45372e-006,0.190673,0,0.0439541,2.45372e-006,0.000673104
70,0.2,-1649.67,-10.0832,-0.00736458,0.0439541,2.45372e-006,0.200555,0,0.0439541,2.45372e-006,0.000555436
71,0.21,-1649.67,-10.0832,-0.00736459,0.0439541,2.45372e-006,0.210438,0,0.0439541,2.45372e-006,0.00043781
72,0.22,-1649.67,-10.0832,-0.0073646,0.0439541,2.45621e-006,0.22032,0,0.0439541,2.45621e-006,0.000320147
73,0.23,-1649.67,-10.0832,-0.00736463,0.0439541,2.45869e-006,0.230203,0,0.0439541,2.45869e-006,0.000202519
74,0.24,-1649.67,-10.0832,-0.00736463,0.0439541,2.45869e-006,0.240085,0,0.0439541,2.45869e-006,8.48627e-005
75,0.25,-1649.67,-10.0832,-0.00736462,0.0439541,2.45621e-006,0.249967,0,0.0439541,2.45621e-006,-3.27815e-005
76,0.26,-1649.67,-10.0832,-0.00736465,0.0439541,2.45372e-006,0.25985,0,0.0439541,2.45372e-006,-0.000150424
77,0.27,-1649.67,-10.0832,-0.00736463,0.0439541,2.45124e-006,0.269732,0,0.0439541,2.45124e-006,-0.000268069
78,0.28,-1649.67,-10.0832,-0.00736462,0.0439541,2.45124e-006,0.279614,0,0.0439541,2.45124e-006,-0.000385715
79,0.29,-1649.67,-10.0832,-0.00736463,0.0439541,2.45124e-006,0.289497,0,0.0439541,2.45124e-006,-0.000503378
80,0.3,-1649.67,-10.0832,-0.0073646,0.0439541,2.45372e-006,0.299379,0,0.0439541,2.45372e-006,-0.000621011
81,0.31,-1649.67,-10.0832,-0.00736462,0.0439541,2.45621e-006,0.309261,0,0.0439541,2.45621e-006,-0.000738683
82,0.32,-1649.67,-10.0832,-0.00736464,0.0439541,2.45869e-006,0.319144,0,0.0439541,2.45869e-006,-0.000856309
83,0.33,-1649.67,-10.0832,-0.00736463,0.0439541,2.45869e-006,0.329026,0,0.0439541,2.45869e-006,-0.000973966
84,0.34,-1649.67,-10.0832,-0.00736464,0.0439541,2.45869e-006,0.338908,0,0.0439541,2.45869e-006,-0.0010916
85,0.35,-1649.67,-10.0832,-0.00736463,0.0439541,2.45621e-006,0.348791,0,0.0439541,2.45621e-006,-0.00120925
86,0.36,-1649.67,-10.0832,-0.00736461,0.0439541,2.45124e-006,0.358673,0,0.0439541,2.45124e-006,-0.00132689
87,0.37,-1649.67,-10.0832,-0.00736462,0.0439541,2.44876e-006,0.368555,0,0.0439541,2.44876e-006,-0.00144454
88,0.38,-1649.67,-10.0832,-0.00736461,0.0439541,2.44627e-006,0.378438,0,0.0439541,2.44627e-006,-0.00156221
89,0.39,-1649.67,-10.0832,-0.00736459,0.0439541,2.44627e-006,0.38832,0,0.0439541,2.44627e-006,-0.00167984
90,0.4,-1649.67,-10.0832,-0.00736458,0.0439541,2.44627e-006,0.398202,0,0.0439541,2.44627e-006,-0.00179751
91,0.41,-1649.67,-10.0832,-0.00736456,0.0439541,2.44627e-006,0.408085,0,0.0439541,2.44627e-006,-0.00191514
92,0.42,-1649.67,-10.0832,-0.00736457,0.0439541,2.44627e-006,0.417967,0,0.0439541,2.44627e-006,-0.0020328
93,0.43,-1649.67,-10.0832,-0.00736457,0.0439541,2.45124e-006,0.42785,0,0.0439541,2.45124e-006,-0.00215044
94,0.44,-1649.67,-10.0832,-0.00736456,0.0439541,2.45869e-006,0.437732,0,0.0439541,2.45869e-006,-0.00226808
95,0.45,-1649.67,-10.0832,-0.00736458,0.0439541,2.46614e-006,0.447614,0,0.0439541,2.46614e-006,-0.00238573
96,0.46,-1649.67,-10.0832,-0.00736455,0.0439541,2.46863e-006,0.457497,0,0.0439541,2.46863e-006,-0.00250337
97,0.47,-1649.67,-10.0832,-0.00736454,0.0439541,2.46863e-006,0.467379,0,0.0439541,2.46863e-006,-0.00262103
98,0.48,-1649.67,-10.0832,-0.00736456,0.0439541,2.46863e-006,0.477261,0,0.0439541,2.46863e-006,-0.00273867
99,0.49,-1649.67,-10.0832,-0.00736453,0.0439541,2.46863e-006,0.487144,0,0.0439541,2.46863e-006,-0.00285634
