step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,0.5,-1647.21,0,0.492643,-2.72504,-0.00735667
1,0.49,-1647.24,-0.0284234,0.48721,-2.96276,-0.00278983
2,0.48,-1647.27,-0.0593201,0.477328,-3.21991,-0.00267227
3,0.47,-1647.3,-0.0928903,0.467445,-3.49764,-0.0025547
4,0.46,-1647.34,-0.129345,0.457563,-3.7971,-0.00243716
5,0.45,-1647.38,-0.168909,0.44768,-4.11941,-0.00231961
6,0.44,-1647.42,-0.211813,0.437798,-4.4656,-0.00220211
7,0.43,-1647.47,-0.258304,0.427915,-4.83661,-0.00208468
8,0.42,-1647.52,-0.308631,0.418033,-5.23326,-0.00196727
9,0.41,-1647.57,-0.363056,0.40815,-5.65615,-0.00185001
10,0.4,-1647.63,-0.421844,0.398267,-6.10579,-0.00173275
11,0.39,-1647.7,-0.485262,0.388384,-6.58226,-0.00161618
12,0.38,-1647.76,-0.553594,0.3785,-7.08549,-0.00150004
13,0.37,-1647.84,-0.627072,0.36861,-7.61446,-0.0013902
14,0.36,-1647.92,-0.705966,0.358727,-8.16842,-0.00127273
15,0.35,-1648,-0.790519,0.348845,-8.74572,-0.00115535
16,0.34,-1648.09,-0.880951,0.338962,-9.34407,-0.00103807
17,0.33,-1648.19,-0.97746,0.329079,-9.96028,-0.000921166
18,0.32,-1648.29,-1.0802,0.319195,-10.59,-0.000804627
19,0.31,-1648.4,-1.18929,0.309312,-11.2281,-0.000688275
20,0.3,-1648.52,-1.30478,0.299425,-11.8665,-0.000575234
21,0.29,-1648.64,-1.42661,0.289536,-12.4962,-0.000464008
22,0.28,-1648.77,-1.55464,0.279654,-13.1052,-0.000346191
23,0.27,-1648.9,-1.68859,0.269772,-13.6776,-0.000228449
24,0.26,-1649.04,-1.828,0.259889,-14.1933,-0.000110776
25,0.25,-1649.18,-1.97218,0.250007,-14.6254,6.88081e-006
26,0.24,-1649.33,-2.12012,0.240125,-14.9397,0.00012452
27,0.23,-1649.48,-2.27043,0.230242,-15.0916,0.000242141
28,0.22,-1649.63,-2.42122,0.22036,-15.0238,0.000359744
29,0.21,-1649.78,-2.56994,0.210477,-14.6638,0.000477337
30,0.2,-1649.92,-2.71322,0.200595,-13.92,0.000594915
31,0.19,-1650.06,-2.84669,0.190713,-12.6804,0.000712512
32,0.18,-1650.18,-2.96473,0.18083,-10.8103,0.000830122
33,0.17,-1650.27,-3.06027,0.170948,-8.15393,0.000947747
34,0.16,-1650.34,-3.12462,0.161065,-4.54039,0.00106541
35,0.15,-1650.36,-3.14731,0.151183,0.203723,0.00118304
36,0.14,-1650.33,-3.11626,0.141301,6.23138,0.00130067
37,0.13,-1650.23,-3.01807,0.131418,13.6397,0.00141832
38,0.12,-1650.05,-2.83887,0.121536,22.4209,0.00153596
39,0.11,-1649.78,-2.56563,0.111654,32.4014,0.00165361
40,0.1,-1649.4,-2.18816,0.101771,43.1775,0.00177125
41,0.09,-1648.91,-1.70168,0.0918889,54.0628,0.00188889
42,0.08,-1648.34,-1.13382,0.0820065,62.8787,0.00200653
43,0.07,-1647.68,-0.463922,0.0722258,70.641,0.00222576
44,0.06,-1646.94,0.267566,0.0623432,74.9728,0.00234324
45,0.05,-1646.19,1.01985,0.0524606,74.6111,0.00246063
46,0.04,-1645.47,1.74107,0.0425779,68.6544,0.00257794
47,0.03,-1644.84,2.37333,0.0326952,56.8435,0.00269518
