step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,-0.5,-1650.01,0,-0.510047,-2.83604,-0.0100467
1,-0.49,-1650.04,-0.034001,-0.481197,-3.08281,0.00880333
2,-0.48,-1650.07,-0.0661515,-0.471409,-3.3509,0.00859069
3,-0.47,-1650.11,-0.101095,-0.461527,-3.64161,0.00847299
4,-0.46,-1650.15,-0.139064,-0.451645,-3.95649,0.00835529
5,-0.45,-1650.19,-0.18031,-0.441762,-4.29709,0.00823762
6,-0.44,-1650.23,-0.225097,-0.43188,-4.66497,0.00811992
7,-0.43,-1650.28,-0.273706,-0.421998,-5.06164,0.00800225
8,-0.42,-1650.33,-0.326431,-0.412115,-5.48854,0.00788456
9,-0.41,-1650.39,-0.383582,-0.402233,-5.94696,0.00776688
10,-0.4,-1650.45,-0.445479,-0.392351,-6.43802,0.00764924
11,-0.39,-1650.52,-0.512454,-0.382468,-6.96259,0.00753157
12,-0.38,-1650.59,-0.584844,-0.372586,-7.52118,0.00741397
13,-0.37,-1650.67,-0.662991,-0.362704,-8.11386,0.00729635
14,-0.36,-1650.76,-0.747233,-0.352821,-8.74012,0.00717874
15,-0.35,-1650.85,-0.837902,-0.342939,-9.39878,0.00706115
16,-0.34,-1650.94,-0.93531,-0.333056,-10.0877,0.00694356
17,-0.33,-1651.05,-1.03975,-0.323174,-10.8038,0.00682599
18,-0.32,-1651.16,-1.15146,-0.313292,-11.5427,0.00670842
19,-0.31,-1651.28,-1.27066,-0.303409,-12.2981,0.00659086
20,-0.3,-1651.41,-1.39745,-0.293527,-13.0623,0.00647331
21,-0.29,-1651.54,-1.5319,-0.283644,-13.8251,0.00635575
22,-0.28,-1651.68,-1.67391,-0.273764,-14.5734,0.00623593
23,-0.27,-1651.83,-1.82327,-0.263883,-15.2909,0.00611696
24,-0.26,-1651.99,-1.97956,-0.254002,-15.9573,0.00599844
25,-0.25,-1652.15,-2.14216,-0.24412,-16.5473,0.0058799
26,-0.24,-1652.32,-2.31015,-0.234239,-17.0299,0.0057615
27,-0.23,-1652.49,-2.48227,-0.224357,-17.3661,0.00564282
28,-0.22,-1652.67,-2.65683,-0.214475,-17.509,0.00552491
29,-0.21,-1652.84,-2.83161,-0.204594,-17.3998,0.00540587
30,-0.2,-1653.01,-3.00374,-0.194713,-16.9665,0.0052871
31,-0.19,-1653.18,-3.16957,-0.184831,-16.1217,0.00516915
32,-0.18,-1653.33,-3.32446,-0.174949,-14.7596,0.00505119
33,-0.17,-1653.47,-3.46262,-0.165067,-12.7547,0.00493264
34,-0.16,-1653.59,-3.57693,-0.155185,-9.96248,0.00481469
35,-0.15,-1653.67,-3.65872,-0.145303,-6.22447,0.00469673
36,-0.14,-1653.71,-3.69773,-0.135421,-1.37962,0.00457873
37,-0.13,-1653.69,-3.68215,-0.125539,4.71345,0.00446061
38,-0.12,-1653.61,-3.599,-0.115658,12.1406,0.00434235
39,-0.11,-1653.45,-3.43977,-0.105776,20.5589,0.00422394
40,-0.1,-1653.19,-3.18599,-0.0958407,30.343,0.00415934
41,-0.09,-1652.84,-2.83053,-0.0859583,40.8122,0.00404168
42,-0.08,-1652.38,-2.36982,-0.0760759,51.248,0.00392406
43,-0.07,-1651.82,-1.80907,-0.0661936,60.6246,0.00380641
44,-0.06,-1651.17,-1.16508,-0.0563112,67.6702,0.00368875
45,-0.05,-1650.48,-0.467987,-0.0464289,71.0231,0.00357113
46,-0.04,-1649.77,0.239016,-0.0365465,69.4805,0.00345346
47,-0.03,-1649.11,0.902747,-0.0266642,62.2992,0.00333583
48,-0.02,-1648.54,1.46607,-0.0167818,49.4694,0.00321817
49,-0.01,-1648.13,1.87611,-0.00689947,31.861,0.00310053
50,-1.86483e-017,-1647.92,2.09295,0.00298289,11.1699,0.00298289
51,0.01,-1648.04,1.96633,0.0128652,-9.41973,0.00286522
52,0.02,-1648.23,1.77513,0.0230618,-28.4082,0.00306181
53,0.03,-1648.6,1.40964,0.0329442,-43.986,0.00294416
54,0.04,-1649.1,0.911314,0.0428266,-54.8176,0.00282656
55,0.05,-1649.68,0.331025,0.052709,-60.3538,0.00270897
56,0.06,-1650.29,-0.278755,0.0625914,-60.8074,0.00259136
57,0.07,-1650.88,-0.870811,0.0724738,-56.9791,0.00247379
58,0.08,-1651.42,-1.40785,0.0823562,-50.0079,0.00235621
59,0.09,-1651.87,-1.8646,0.0922386,-41.1227,0.0022386
60,0.1,-1652.24,-2.22769,0.102121,-31.4481,0.00212102
61,0.11,-1652.63,-2.61868,0.112003,-23.0976,0.00200341
62,0.12,-1652.81,-2.80307,0.121552,-13.9595,0.00155196
63,0.13,-1652.91,-2.90183,0.131434,-6.0112,0.0014343
64,0.14,-1652.94,-2.92781,0.141317,0.585261,0.00131671
65,0.15,-1652.9,-2.89466,0.151199,5.82672,0.00119909
66,0.16,-1652.82,-2.81548,0.161081,9.81157,0.00108148
67,0.17,-1652.71,-2.7021,0.170964,12.693,0.000963868
68,0.18,-1652.57,-2.56471,0.180846,14.645,0.000846256
69,0.19,-1652.42,-2.41173,0.190729,15.8398,0.000728642
70,0.2,-1652.26,-2.25367,0.200611,16.4369,0.000611013
71,0.21,-1652.1,-2.08827,0.210455,16.5759,0.000454964
72,0.22,-1651.93,-1.9233,0.220337,16.3676,0.000337265
73,0.23,-1651.77,-1.76176,0.23022,15.907,0.000219617
74,0.24,-1651.61,-1.60575,0.240102,15.2705,0.000101948
75,0.25,-1651.46,-1.45673,0.249984,14.5178,-1.56874e-005
76,0.26,-1651.32,-1.31562,0.259867,13.6951,-0.000133345
77,0.27,-1651.19,-1.18294,0.269749,12.8378,-0.00025094
78,0.28,-1651.07,-1.0589,0.279631,11.9722,-0.000368561
79,0.29,-1650.95,-0.943463,0.289514,11.1176,-0.000486167
80,0.3,-1650.84,-0.836461,0.299396,10.2878,-0.000603725
81,0.31,-1650.75,-0.737592,0.309279,9.49228,-0.000721307
82,0.32,-1650.65,-0.64648,0.319161,8.73721,-0.000838865
83,0.33,-1650.57,-0.562701,0.329044,8.02626,-0.000956405
84,0.34,-1650.49,-0.485803,0.338926,7.36114,-0.00107398
85,0.35,-1650.42,-0.415324,0.348808,6.7422,-0.00119154
86,0.36,-1650.36,-0.350807,0.358691,6.16873,-0.00130908
87,0.37,-1650.3,-0.291803,0.368573,5.6393,-0.0014266
88,0.38,-1650.25,-0.237881,0.378456,5.15202,-0.00154411
89,0.39,-1650.2,-0.18863,0.388338,4.70462,-0.00166163
90,0.4,-1649.96,0.0443582,0.398221,2.88239,-0.00177912
91,0.41,-1649.94,0.0718148,0.408104,2.61328,-0.00189647
92,0.42,-1649.91,0.096706,0.417986,2.36894,-0.00201388
93,0.43,-1649.89,0.119269,0.427869,2.14739,-0.0021313
94,0.44,-1649.87,0.139688,0.437751,1.9467,-0.00224872
95,0.45,-1649.85,0.158231,0.447646,1.76509,-0.00235362
96,0.46,-1649.83,0.175047,0.457529,1.60082,-0.00247124
97,0.47,-1649.82,0.1903,0.467411,1.45231,-0.00258883
98,0.48,-1649.8,0.204141,0.477294,1.31809,-0.00270644
99,0.49,-1649.79,0.216705,0.487176,1.1968,-0.00282405
