step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	4.56928	-1647.13	-1642.28	-1647.11	0	0	0	1	1	
10	4.57893	-1647.14	-1642.28	-1647.12	0	0	0	0	0	
20	4.58401	-1647.14	-1642.28	-1647.13	0	0	0	0	0	
30	4.58936	-1647.15	-1642.28	-1647.14	0	0	0	0	0	
40	4.5958	-1647.16	-1642.28	-1647.15	0	0	0	0	0	
50	4.60206	-1647.16	-1642.28	-1647.15	0	0	0	0	0	
60	4.60611	-1647.17	-1642.28	-1647.16	0	0	0	0	0	
70	4.61157	-1647.17	-1642.28	-1647.17	0	0	0	0	0	
80	4.61667	-1647.18	-1642.28	-1647.17	0	0	0	0	0	
90	4.62092	-1647.18	-1642.28	-1647.18	0	0	0	0	0	
100	4.62671	-1647.19	-1642.28	-1647.18	0	0	0	0	0	
110	4.63279	-1647.2	-1642.28	-1647.19	0	0	0	0	0	
120	4.6378	-1647.2	-1642.28	-1647.19	0	0	0	0	0	
130	4.64249	-1647.21	-1642.28	-1647.2	0	0	0	0	0	
140	4.64774	-1647.21	-1642.28	-1647.2	0	0	0	0	0	
150	4.65308	-1647.22	-1642.28	-1647.21	0	0	0	0	0	
160	4.65851	-1647.22	-1642.28	-1647.21	0	0	0	0	0	
170	4.66481	-1647.23	-1642.28	-1647.22	0	0	0	0	0	
180	4.67199	-1647.24	-1642.28	-1647.23	0	0	0	0	0	
190	4.67865	-1647.24	-1642.28	-1647.24	0	0	0	0	0	
200	4.68459	-1647.25	-1642.28	-1647.24	0	0	0	0	0	
210	4.69009	-1647.26	-1642.28	-1647.25	0	0	0	0	0	
220	4.69621	-1647.26	-1642.28	-1647.26	0	0	0	0	0	
230	4.70064	-1647.27	-1642.28	-1647.26	0	0	0	0	0	
240	4.7054	-1647.27	-1642.28	-1647.27	0	0	0	0	0	
250	4.71217	-1647.28	-1642.28	-1647.27	0	0	0	0	0	
260	4.71731	-1647.29	-1642.28	-1647.28	0	0	0	0	0	
270	4.72304	-1647.29	-1642.28	-1647.29	0	0	0	0	0	
280	4.73064	-1647.3	-1642.28	-1647.29	0	0	0	0	0	
290	4.73649	-1647.31	-1642.28	-1647.3	0	0	0	0	0	
300	4.74164	-1647.31	-1642.28	-1647.3	0	0	0	0	0	
310	4.74878	-1647.35	-1642.32	-1647.34	0	0	0	0	0	
320	4.75678	-1647.36	-1642.32	-1647.35	0	0	0	0	0	
330	4.76269	-1647.37	-1642.32	-1647.36	0	0	0	0	0	
340	4.77234	-1647.38	-1642.32	-1647.37	0	0	0	0	0	
350	4.78028	-1647.39	-1642.32	-1647.38	0	0	0	0	0	
360	4.78736	-1647.39	-1642.32	-1647.39	0	0	0	0	0	
370	4.79563	-1647.4	-1642.32	-1647.39	0	0	0	0	0	
380	4.80381	-1647.41	-1642.32	-1647.4	0	0	0	0	0	
390	4.811	-1647.42	-1642.32	-1647.41	0	0	0	0	0	
400	4.81971	-1647.43	-1642.32	-1647.42	0	0	0	0	0	
410	4.82771	-1647.44	-1642.32	-1647.43	0	0	0	0	0	
420	4.83688	-1647.45	-1642.32	-1647.44	0	0	0	0	0	
430	4.84521	-1647.45	-1642.32	-1647.45	0	0	0	0	0	
