step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
10,4.34283,0.498189,0.498189,-1647.67,1.15213e-007,-7.52757e-008,-0.330172,0.0444024,2.95768e-006,0.490989,0.00183517,-0.00120645,-2.76939,0.0444042,2.88212e-006,-0.0072002,0.621807,0.639434,1
20,4.35481,0.496549,0.496549,-1647.69,2.23402e-007,-1.47321e-007,-0.330339,0.0444024,2.95713e-006,0.489337,0.00178248,-0.00120723,-2.80779,0.0444106,2.53424e-006,-0.00721145,0.621815,0.639446,1
30,4.36421,0.494916,0.494916,-1647.71,3.26848e-007,-2.19205e-007,-0.330507,0.0444024,2.95621e-006,0.487685,0.00167666,-0.00120104,-2.84651,0.0444204,2.03945e-006,-0.00723082,0.62182,0.639453,1
40,4.37854,0.493295,0.493295,-1647.73,4.22845e-007,-2.90408e-007,-0.330678,0.0444024,2.95494e-006,0.486032,0.00154153,-0.00118299,-2.88549,0.044433,1.76827e-006,-0.00726232,0.621861,0.639501,1
50,4.38325,0.491687,0.491687,-1647.76,5.11803e-007,-3.59971e-007,-0.330852,0.0444024,2.95331e-006,0.484378,0.00145632,-0.00114511,-2.92449,0.0444374,1.86804e-006,-0.00730836,0.621907,0.639559,1
60,4.39911,0.490088,0.490088,-1647.81,5.99165e-007,-4.26664e-007,-0.331027,0.0444024,2.95134e-006,0.482724,0.00149415,-0.00108807,-2.96336,0.0444301,1.93366e-006,-0.00736415,0.621964,0.639629,1
70,4.42601,0.488485,0.488485,-1647.85,6.92007e-007,-4.89673e-007,-0.331205,0.0444024,2.94905e-006,0.481068,0.00162288,-0.00102401,-3.00245,0.0444201,1.86338e-006,-0.00741657,0.622012,0.639684,1
80,4.43744,0.486865,0.486865,-1647.87,7.91825e-007,-5.4897e-007,-0.331386,0.0444024,2.94645e-006,0.479412,0.0017029,-0.000965069,-3.04238,0.0444248,1.85259e-006,-0.00745374,0.622035,0.639711,1
90,4.42994,0.485235,0.485235,-1647.89,8.92058e-007,-6.04995e-007,-0.331568,0.0444024,2.94356e-006,0.477754,0.00163076,-0.00091371,-3.08321,0.0444433,1.88337e-006,-0.00748031,0.622052,0.63973,1
100,4.41988,0.483611,0.483611,-1647.9,9.84393e-007,-6.58025e-007,-0.331754,0.0444025,2.94041e-006,0.476096,0.00146102,-0.000863452,-3.12428,0.0444605,1.72817e-006,-0.00751502,0.622053,0.639731,1
110,4.42227,0.482,0.482,-1647.9,1.06765e-006,-7.07944e-007,-0.331941,0.0444025,2.93699e-006,0.474437,0.00134978,-0.000809071,-3.16525,0.0444604,1.72232e-006,-0.00756338,0.622078,0.639755,1
120,4.42336,0.480379,0.480379,-1647.93,1.1481e-006,-7.54547e-007,-0.332131,0.0444025,2.93333e-006,0.472777,0.00136445,-0.000753676,-3.20683,0.0444448,2.17741e-006,-0.00760215,0.622117,0.639801,1
130,4.43495,0.47872,0.47872,-1647.96,1.23133e-006,-7.9806e-007,-0.332324,0.0444025,2.92945e-006,0.471115,0.00142104,-0.000707061,-3.25011,0.0444267,2.64216e-006,-0.0076046,0.622138,0.639825,1
140,4.44648,0.47703,0.47703,-1647.98,1.31604e-006,-8.39228e-007,-0.332519,0.0444025,2.92536e-006,0.469453,0.00139773,-0.000675366,-3.29533,0.0444212,2.44078e-006,-0.0075765,0.622139,0.639827,1
150,4.45146,0.475342,0.475342,-1647.98,1.39511e-006,-8.78863e-007,-0.332717,0.0444025,2.92106e-006,0.46779,0.00122624,-0.000653926,-3.34165,0.0444323,1.80316e-006,-0.00755167,0.622176,0.63987,1
160,4.45562,0.473678,0.473678,-1648.01,1.45964e-006,-9.17229e-007,-0.332918,0.0444025,2.91657e-006,0.466126,0.00092245,-0.000631003,-3.388,0.0444515,1.41978e-006,-0.00755214,0.622196,0.639894,1
170,4.45307,0.472029,0.472029,-1648.02,1.50503e-006,-9.53988e-007,-0.333121,0.0444025,2.91189e-006,0.464461,0.000612181,-0.000599746,-3.4341,0.0444621,1.50431e-006,-0.00756824,0.622205,0.639905,1
180,4.45945,0.470375,0.470375,-1648.03,1.53548e-006,-9.88695e-007,-0.333328,0.0444025,2.90703e-006,0.462795,0.000435115,-0.000563501,-3.48072,0.0444587,1.8014e-006,-0.00758021,0.622227,0.639931,1
190,4.47643,0.468711,0.468711,-1648.05,1.55942e-006,-1.02128e-006,-0.333537,0.0444025,2.90201e-006,0.461128,0.000377446,-0.000529205,-3.52873,0.0444516,2.10088e-006,-0.00758281,0.622256,0.639965,1
200,4.47282,0.467043,0.467043,-1648.05,1.58057e-006,-1.0519e-006,-0.333749,0.0444025,2.89682e-006,0.45946,0.000326119,-0.000497375,-3.57793,0.0444493,2.17288e-006,-0.00758391,0.622279,0.639992,1
210,4.48825,0.465384,0.465384,-1648.07,1.59774e-006,-1.08052e-006,-0.333964,0.0444025,2.89149e-006,0.45779,0.000247094,-0.00046024,-3.62725,0.0444503,1.77089e-006,-0.00759408,0.622279,0.639992,1
220,4.50394,0.463743,0.463743,-1648.09,1.60988e-006,-1.10655e-006,-0.334182,0.0444025,2.88602e-006,0.45612,0.000154218,-0.000409855,-3.67605,0.0444534,1.14674e-006,-0.00762314,0.6223,0.640017,1
230,4.49908,0.462122,0.462122,-1648.09,1.61423e-006,-1.12917e-006,-0.334402,0.0444025,2.88043e-006,0.454448,-3.47126e-005,-0.000346882,-3.72486,0.0444625,9.12018e-007,-0.00767331,0.622359,0.640089,1
240,4.51455,0.460505,0.460505,-1648.11,1.60202e-006,-1.14785e-006,-0.334626,0.0444026,2.87474e-006,0.452776,-0.00040239,-0.000278718,-3.77476,0.0444721,1.17691e-006,-0.0077288,0.622381,0.640117,1
250,4.53515,0.458868,0.458868,-1648.14,1.56435e-006,-1.16238e-006,-0.334853,0.0444026,2.86896e-006,0.451102,-0.000859163,-0.000207354,-3.82617,0.0444726,1.37568e-006,-0.00776611,0.622399,0.640139,1
260,4.52216,0.457212,0.457212,-1648.14,1.50126e-006,-1.17237e-006,-0.335083,0.0444026,2.86312e-006,0.449427,-0.00123411,-0.000125102,-3.87833,0.0444623,1.23419e-006,-0.007785,0.622421,0.640166,1
270,4.52941,0.455564,0.455564,-1648.15,1.41938e-006,-1.17695e-006,-0.335316,0.0444026,2.85724e-006,0.447751,-0.00149699,-2.53981e-005,-3.93028,0.0444532,9.46596e-007,-0.00781255,0.622445,0.640196,1
280,4.54036,0.453938,0.453938,-1648.16,1.32393e-006,-1.1752e-006,-0.335552,0.0444026,2.85136e-006,0.446074,-0.0016901,8.43796e-005,-3.98217,0.0444531,7.06759e-007,-0.00786433,0.622462,0.640218,1
290,4.54052,0.452315,0.452315,-1648.17,1.22012e-006,-1.167e-006,-0.335791,0.0444026,2.8455e-006,0.444396,-0.00176318,0.000188185,-4.03508,0.0444623,5.80483e-007,-0.00791969,0.622478,0.640237,1
300,4.52786,0.450666,0.450666,-1648.16,1.1162e-006,-1.15307e-006,-0.336033,0.0444026,2.8397e-006,0.442716,-0.00171253,0.000276185,-4.08964,0.0444726,9.19215e-007,-0.00794945,0.622505,0.640271,1
310,4.53958,0.448989,0.448989,-1648.18,1.0138e-006,-1.13429e-006,-0.336279,0.0444026,2.83398e-006,0.441035,-0.00175808,0.000351689,-4.14559,0.0444799,1.79169e-006,-0.00795392,0.622516,0.640285,1
320,4.55099,0.447313,0.447313,-1648.23,9.02279e-007,-1.1121e-006,-0.336531,0.0444026,2.82836e-006,0.439353,-0.00197165,0.000359755,-4.37418,0.044479,2.73533e-006,-0.00795936,0.622531,0.640305,1
330,4.5269,0.44565,0.44565,-1648.2,7.71744e-007,-1.08914e-006,-0.336793,0.0444026,2.82286e-006,0.43767,-0.00239676,0.000409622,-4.43241,0.0444734,3.24277e-006,-0.00797993,0.622531,0.640305,1
340,4.54972,0.443984,0.443984,-1648.23,6.19075e-007,-1.06333e-006,-0.33706,0.0444026,2.81748e-006,0.435985,-0.00269238,0.000453902,-4.49095,0.0444708,3.47886e-006,-0.0079986,0.622543,0.64032,1
350,4.57076,0.442295,0.442295,-1648.26,4.5317e-007,-1.03526e-006,-0.337329,0.0444026,2.81223e-006,0.4343,-0.00285386,0.000484091,-4.55047,0.044478,3.71241e-006,-0.00799514,0.622558,0.64034,1
360,4.55748,0.440589,0.440589,-1648.24,2.79882e-007,-1.00586e-006,-0.337603,0.0444026,2.80713e-006,0.432612,-0.00294327,0.000500269,-4.61139,0.0444834,4.05068e-006,-0.00797681,0.622558,0.64034,1
370,4.58996,0.438888,0.438888,-1648.28,1.0353e-007,-9.75505e-007,-0.33788,0.0444026,2.80217e-006,0.430923,-0.00295823,0.000519003,-4.67341,0.0444785,4.47411e-006,-0.00796464,0.622585,0.640375,1
380,4.58889,0.437199,0.437199,-1648.28,-7.37561e-008,-9.43659e-007,-0.33816,0.0444026,2.79737e-006,0.429233,-0.00300873,0.000550158,-4.73597,0.044468,5.02658e-006,-0.00796611,0.622585,0.640375,1
390,4.59047,0.435517,0.435517,-1648.28,-2.59908e-007,-9.09811e-007,-0.338445,0.0444026,2.79274e-006,0.427542,-0.00326769,0.000583386,-4.79858,0.0444672,5.30798e-006,-0.00797516,0.622585,0.640375,1
400,4.60953,0.433833,0.433833,-1648.3,-4.65881e-007,-8.74209e-007,-0.338733,0.0444026,2.78828e-006,0.425849,-0.00362773,0.000609492,-4.86143,0.0444755,4.92501e-006,-0.00798374,0.622585,0.640375,1
410,4.59357,0.432141,0.432141,-1648.28,-6.88774e-007,-8.36861e-007,-0.339025,0.0444026,2.784e-006,0.424155,-0.00379843,0.000646842,-4.92516,0.044485,4.03009e-006,-0.00798687,0.622611,0.640411,1
420,4.59241,0.430443,0.430443,-1648.28,-9.15294e-007,-7.96209e-007,-0.339321,0.0444026,2.77992e-006,0.422459,-0.00378783,0.000723932,-4.99006,0.0444861,3.29842e-006,-0.00798435,0.622611,0.640411,1
430,4.61796,0.428739,0.428739,-1648.31,-1.14311e-006,-7.49534e-007,-0.33962,0.0444026,2.77605e-006,0.420761,-0.00388391,0.000846895,-5.05591,0.0444816,2.89731e-006,-0.00797805,0.622611,0.640411,1
440,4.61277,0.427034,0.427034,-1648.3,-1.38225e-006,-6.94664e-007,-0.339924,0.0444026,2.77243e-006,0.419062,-0.00414,0.000994227,-5.12245,0.0444762,2.61006e-006,-0.00797132,0.622636,0.640443,1
450,4.617,0.425334,0.425334,-1648.31,-1.63482e-006,-6.30825e-007,-0.340232,0.0444026,2.76912e-006,0.417362,-0.0042886,0.00114559,-5.18918,0.0444782,2.23858e-006,-0.00797181,0.622636,0.640443,1
