step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
10,1.75702,0.498849,-0.498849,-1646.88,-1.27214e-007,6.87745e-008,0.210178,0.0444915,1.75645e-008,-0.506405,-0.00204078,0.00110208,2.8588,0.04449,4.20983e-009,-0.0075555,0.622824,0.639982,1
20,1.76551,0.497817,-0.497817,-1646.89,-2.49502e-007,1.34673e-007,0.21035,0.0444915,1.80731e-008,-0.505353,-0.0020568,0.00110613,2.88408,0.0444882,-4.94384e-008,-0.00753659,0.622824,0.639982,1
30,1.7729,0.496792,-0.496792,-1646.9,-3.72397e-007,2.00684e-007,0.210522,0.0444915,1.89115e-008,-0.504301,-0.00206108,0.00110576,2.90979,0.0444859,-9.43974e-008,-0.00750916,0.622824,0.639982,1
40,1.78334,0.495749,-0.495749,-1646.91,-4.95308e-007,2.66523e-007,0.210697,0.0444914,2.00796e-008,-0.503248,-0.00205698,0.00110037,2.93599,0.0444882,7.14272e-008,-0.00749877,0.622824,0.639982,1
50,1.78956,0.494674,-0.494674,-1646.91,-6.17564e-007,3.31919e-007,0.210873,0.0444914,2.1576e-008,-0.502194,-0.00203867,0.0010912,2.96268,0.0444914,4.39232e-007,-0.00752023,0.622824,0.639982,1
60,1.78699,0.493592,-0.493592,-1646.91,-7.38201e-007,3.9667e-007,0.21105,0.0444914,2.33977e-008,-0.501139,-0.00200046,0.00107854,2.98965,0.044493,7.47065e-007,-0.00754752,0.622803,0.639969,1
70,1.79134,0.492533,-0.492533,-1646.92,-8.55772e-007,4.6052e-007,0.21123,0.0444914,2.55412e-008,-0.500084,-0.00193803,0.0010608,3.01666,0.0444901,8.65261e-007,-0.00755049,0.622783,0.639955,1
80,1.79615,0.491489,-0.491489,-1646.92,-9.69246e-007,5.2316e-007,0.21141,0.0444914,2.80009e-008,-0.499027,-0.00186348,0.00103824,3.04372,0.0444874,9.71658e-007,-0.00753846,0.622762,0.639941,1
90,1.79824,0.490422,-0.490422,-1646.93,-1.07801e-006,5.84339e-007,0.211593,0.0444914,3.07704e-008,-0.49797,-0.0017835,0.00101183,3.07117,0.0444836,1.07925e-006,-0.00754736,0.622742,0.639926,1
100,1.80209,0.489325,-0.489325,-1646.93,-1.1824e-006,6.4382e-007,0.211777,0.0444914,3.38415e-008,-0.496911,-0.00171875,0.000981389,3.0992,0.0444777,1.02679e-006,-0.00758607,0.622722,0.639911,1
110,1.80772,0.488221,-0.488221,-1646.94,-1.28349e-006,7.01402e-007,0.211963,0.0444914,3.72054e-008,-0.495852,-0.0016724,0.000948548,3.12778,0.0444699,8.70603e-007,-0.00763126,0.622722,0.639911,1
