step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	115.894	-1645.85	-1524.44	-1645.86	0	0	0	1	1	
10	41.4872	-1598.55	-1555.09	-1598.86	0	0	0	0	0	
20	35.512	-1608.1	-1570.9	-1608	0	0	0	0	0	
30	28.6243	-1613.4	-1583.42	-1613.45	0	0	0	0	0	
40	26.2669	-1621.87	-1594.35	-1621.95	0	0	0	0	0	
50	17.5508	-1622.11	-1603.72	-1622.07	0	0	0	0	0	
60	19.0932	-1630.78	-1610.78	-1630.78	0	0	0	0	0	
70	12.8319	-1630.71	-1617.27	-1630.71	0	0	0	0	0	
80	11.9448	-1635.03	-1622.52	-1635.02	0	0	0	0	0	
90	9.11277	-1636.04	-1626.5	-1636.05	0	0	0	0	0	
100	8.27899	-1638.84	-1630.17	-1638.9	0	0	0	0	0	
110	13.7985	-1637.61	-1623.15	-1637.61	0	0	0	0	0	
120	17.5006	-1635.7	-1617.37	-1635.72	0	0	0	0	0	
130	17.3787	-1631.03	-1612.82	-1631	0	0	0	0	0	
140	20.6202	-1629.98	-1608.38	-1629.95	0	0	0	0	0	
150	20.3621	-1626.02	-1604.68	-1625.97	0	0	0	0	0	
160	22.9585	-1625.54	-1601.49	-1625.49	0	0	0	0	0	
170	22.7338	-1622.78	-1598.96	-1622.76	0	0	0	0	0	
180	21.376	-1617.83	-1595.44	-1617.91	0	0	0	0	0	
190	23.7501	-1617.8	-1592.92	-1617.83	0	0	0	0	0	
200	26.0667	-1617.75	-1590.44	-1617.75	0	0	0	0	0	
210	33.418	-1614.25	-1579.24	-1614.26	0	0	0	0	0	
220	39.5375	-1611.43	-1570.01	-1611.52	0	0	0	0	0	
230	45.3633	-1610.73	-1563.21	-1610.85	0	0	0	0	0	
240	48.8011	-1609.35	-1558.23	-1609.33	0	0	0	0	0	
250	49.4835	-1606.17	-1554.33	-1606.12	0	0	0	0	0	
260	52.7877	-1605.59	-1550.29	-1605.31	0	0	0	0	0	
270	45.3681	-1594.59	-1547.06	-1594.59	0	0	0	0	0	
280	47.3841	-1590.34	-1540.7	-1590.4	0	0	0	0	0	
290	51.1299	-1590.51	-1536.94	-1590.51	0	0	0	0	0	
300	54.9818	-1591.54	-1533.94	-1591.54	0	0	0	0	0	
310	65.9468	-1592.01	-1522.93	-1592	0	0	0	0	0	
320	71.2129	-1588.35	-1513.75	-1588.32	0	0	0	0	0	
330	73.1396	-1584.18	-1507.55	-1584.13	0	0	0	0	0	
340	75.503	-1579.48	-1500.38	-1579.44	0	0	0	0	0	
350	83.2907	-1584.02	-1496.76	-1584.02	0	0	0	0	0	
360	87.1186	-1585.79	-1494.53	-1585.8	0	0	0	0	0	
370	83.8701	-1581.31	-1493.45	-1581.19	0	0	0	0	0	
380	82.0363	-1576.06	-1490.12	-1575.9	0	0	0	0	0	
390	78.4379	-1568.98	-1486.81	-1568.91	0	0	0	0	0	
400	82.3728	-1568.48	-1482.18	-1568.48	0	0	0	0	0	
410	96.7461	-1572.46	-1471.11	-1572.44	0	0	0	0	0	
420	101.893	-1569.16	-1462.42	-1569.15	0	0	0	0	0	
430	102.202	-1563.14	-1456.07	-1563.16	0	0	0	0	0	
440	100.365	-1553.43	-1448.28	-1554.01	0	0	0	0	0	
450	107.018	-1554.68	-1442.57	-1555.31	0	0	0	0	0	
460	116.947	-1562.18	-1439.67	-1562.22	0	0	0	0	0	
470	112.305	-1556.36	-1438.7	-1556.29	0	0	0	0	0	
480	114.03	-1554.65	-1435.19	-1554.65	0	0	0	0	0	
490	115.085	-1553.83	-1433.26	-1553.83	0	0	0	0	0	
500	123.641	-1562.24	-1432.71	-1562.15	0	0	0	0	0	
510	128.758	-1558.89	-1424	-1558.83	0	0	0	0	0	
520	135.267	-1558.07	-1416.36	-1558.07	0	0	0	0	0	
530	136.342	-1554.71	-1411.88	-1554.66	0	0	0	0	0	
540	139.333	-1551.98	-1406.02	-1551.97	0	0	0	0	0	
550	130.065	-1537.81	-1401.55	-1538.23	0	0	0	0	0	
560	132.558	-1532.09	-1393.21	-1532.07	0	0	0	0	0	
570	138.175	-1532.96	-1388.2	-1533.31	0	0	0	0	0	
580	137.336	-1527.64	-1383.77	-1528.31	0	0	0	0	0	
590	138.577	-1525.27	-1380.09	-1525.21	0	0	0	0	0	
600	148.541	-1532.06	-1376.45	-1532.03	0	0	0	0	0	
610	165.293	-1542.38	-1369.22	-1542.41	0	0	0	0	0	
620	166.851	-1537.19	-1362.39	-1537.12	0	0	0	0	0	
630	170.328	-1537.5	-1359.06	-1537.36	0	0	0	0	0	
640	172.18	-1535.75	-1355.37	-1535.76	0	0	0	0	0	
650	165.159	-1524.47	-1351.44	-1526.13	0	0	0	0	0	
660	161.007	-1513.89	-1345.22	-1514.89	0	0	0	0	0	
670	187.16	-1541.06	-1344.99	-1542.26	0	0	0	0	0	
680	157.795	-1508.6	-1343.29	-1508.66	0	0	0	0	0	
690	158.016	-1500.41	-1334.87	-1500.56	0	0	0	0	0	
700	170.029	-1504.94	-1326.82	-1505.18	0	0	0	0	0	
710	203.761	-1531.97	-1318.51	-1531.91	0	0	0	0	0	
720	192.821	-1516.08	-1314.07	-1515.98	0	0	0	0	0	
730	218.497	-1539.78	-1310.88	-1539.77	0	0	0	0	0	
740	200.759	-1521.59	-1311.27	-1521.66	0	0	0	0	0	
750	211.459	-1531.17	-1309.63	-1531.13	0	0	0	0	0	
760	193.311	-1507.91	-1305.4	-1507.88	0	0	0	0	0	
770	210.032	-1522.08	-1302.05	-1522.03	0	0	0	0	0	
780	199.451	-1509.07	-1300.12	-1508.98	0	0	0	0	0	
790	198.771	-1503.15	-1294.91	-1503.19	0	0	0	0	0	
800	185.868	-1482.96	-1288.24	-1482.95	0	0	0	0	0	
810	221
