step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,246.174,0.499912,-0.499912,-1459.83,9.89911e-005,7.90507e-007,0.0509784,-0.00421139,0.0527737,-0.267596,1.56546,0.0163036,9.53973,-0.00478105,0.0527029,0.232316,0.618722,0.637919,1
3520,267.92,0.499913,-0.49991,-1480.67,0.000192676,1.9963e-006,0.0517765,-0.00421066,0.0527737,-0.267339,1.55402,0.0245953,9.58995,-0.00594808,0.0527642,0.232571,0.61888,0.63764,1
3530,250.06,0.49969,-0.499668,-1460.38,0.000285975,3.76541e-006,0.0525146,-0.00420946,0.0527737,-0.267078,1.5481,0.0335387,9.62635,-0.0088877,0.0524697,0.23259,0.619062,0.637311,1
3540,233.629,0.499558,-0.4995,-1440.06,0.000380732,5.80754e-006,0.0534564,-0.0042078,0.0527737,-0.266814,1.55104,0.0312399,9.64078,-0.0116764,0.0516363,0.232687,0.619144,0.637149,1
3550,270.555,0.499748,-0.499662,-1476.73,0.00047564,7.28311e-006,0.0542927,-0.00420566,0.0527737,-0.266544,1.56227,0.0155165,9.66712,-0.01333,0.0510955,0.233118,0.619144,0.637149,1
3560,275.433,0.499689,-0.499563,-1480.77,0.000570188,7.64431e-006,0.0549709,-0.00420304,0.0527738,-0.266271,1.57416,-0.00324642,9.72587,-0.0152975,0.0509805,0.233292,0.619144,0.637149,1
3570,280.834,0.498888,-0.498718,-1485.08,0.000665688,7.06744e-006,0.0556707,-0.00419996,0.0527738,-0.265994,1.58241,-0.0150613,9.79426,-0.0170548,0.0508734,0.232724,0.619144,0.637149,1
3580,264.835,0.497941,-0.497762,-1466.81,0.0007619,6.14451e-006,0.056387,-0.00419639,0.0527738,-0.265714,1.58512,-0.0135452,9.87948,-0.0174811,0.0513482,0.232047,0.619144,0.637149,1
3590,245.28,0.497457,-0.497275,-1443.8,0.000862341,5.32171e-006,0.0572369,-0.00419233,0.0527739,-0.26543,1.69094,-0.0210802,10.0963,-0.0176357,0.0530772,0.231845,0.619144,0.637149,1
3600,259.845,0.497089,-0.496845,-1456.78,0.000966889,4.24142e-006,0.0581177,-0.00418776,0.0527739,-0.265142,1.66231,-0.0183541,10.1693,-0.0196484,0.0547002,0.231703,0.619144,0.637149,1
3610,247.914,0.496304,-0.495977,-1441.72,0.0010669,-1.33188e-006,0.0589765,-0.00418267,0.0527739,-0.264849,1.56368,-0.120164,10.0953,-0.0220658,0.0549061,0.231127,0.619243,0.636953,1
3620,243.503,0.495395,-0.495018,-1434.58,0.00116576,-8.46645e-006,0.059903,-0.00417709,0.0527739,-0.264552,1.62765,-0.103995,10.291,-0.0234517,0.0540736,0.230466,0.619243,0.636953,1
3630,256.224,0.494904,-0.494482,-1445.27,0.00126796,-1.47575e-005,0.0608355,-0.00417101,0.0527738,-0.264251,1.5845,-0.104855,10.3744,-0.0246031,0.0533817,0.230232,0.619347,0.636708,1
3640,231.69,0.494801,-0.49428,-1416.82,0.00136469,-2.0598e-005,0.0617874,-0.00416443,0.0527737,-0.263944,1.42583,-0.0921763,10.2936,-0.026876,0.0531027,0.230336,0.619347,0.636708,1
3650,255.752,0.4945,-0.493871,-1439.15,0.00146143,-2.78609e-005,0.0627832,-0.00415736,0.0527736,-0.263633,1.49706,-0.145507,10.4029,-0.0290696,0.0538017,0.230238,0.619347,0.636708,1
3660,260.31,0.494028,-0.493302,-1441.75,0.00155539,-3.83351e-005,0.0636451,-0.00414982,0.0527735,-0.263317,1.45937,-0.203847,10.3641,-0.0308181,0.0551092,0.229986,0.619437,0.636546,1
3670,261.357,0.49395,-0.493093,-1441.01,0.00164751,-5.24804e-005,0.0644982,-0.00414182,0.0527732,-0.262996,1.43192,-0.26224,10.3135,-0.0330356,0.0560483,0.230097,0.619542,0.636369,1
3680,266.058,0.494411,-0.493373,-1444.46,0.00173766,-6.95308e-005,0.0653232,-0.00413335,0.0527729,-0.262672,1.40465,-0.29853,10.3368,-0.0360422,0.0554618,0.230701,0.619542,0.636369,1
3690,253.438,0.494535,-0.493375,-1429,0.00182757,-8.82889e-005,0.0662118,-0.00412444,0.0527725,-0.262343,1.36018,-0.317722,10.4078,-0.0379417,0.0542922,0.231032,0.619542,0.636369,1
3700,241.502,0.493828,-0.492632,-1413.64,0.00191654,-0.000108162,0.0671703,-0.00411509,0.052772,-0.26201,1.30554,-0.33071,10.4725,-0.0384443,0.0537934,0.230622,0.619542,0.636369,1
3710,252.663,0.493023,-0.491781,-1422.47,0.00200412,-0.000128762,0.0681787,-0.00410528,0.0527714,-0.261672,1.26427,-0.335421,10.5874,-0.0390353,0.0545145,0.23011,0.619542,0.636369,1
3720,243.914,0.492873,-0.491503,-1410.33,0.00208975,-0.000149242,0.0691806,-0.00409505,0.0527708,-0.261328,1.24179,-0.322234,10.7392,-0.0407303,0.0552213,0.230175,0.619542,0.636369,1
3730,276.875,0.493086,-0.491568,-1443.44,0.00217043,-0.000168038,0.0700585,-0.0040844,0.05277,-0.26098,1.2219,-0.286545,10.8152,-0.0426384,0.0555484,0.230588,0.619667,0.63624,1
3740,244.016,0.493574,-0.491834,-1406.44,0.00225116,-0.000184359,0.0709737,-0.00407335,0.0527691,-0.260628,1.20038,-0.237043,10.8132,-0.0453523,0.0559815,0.231207,0.619862,0.636044,1
3750,232.117,0.494446,-0.49238,-1390.87,0.00233809,-0.000198503,0.0721087,-0.00406188,0.0527681,-0.26027,1.18655,-0.195709,10.762,-0.0490853,0.0562268,0.23211,0.620166,0.635752,1
3760,244.491,0.495372,-0.493041,-1401.57,0.00242313,-0.000210629,0.0731889,-0.00404998,0.0527671,-0.259907,1.17944,-0.171503,10.6402,-0.0519317,0.0561231,0.233134,0.620383,0.635553,1
3770,246.867,0.495961,-0.49358,-1401.23,0.00250746,-0.000221719,0.0742412,-0.00403766,0.052766,-0.259539,1.17421,-0.160702,10.5102,-0.0524389,0.0564755,0.234041,0.620383,0.635553,1
3780,249.976,0.496601,-0.494169,-1402.08,0.00258896,-0.000232264,0.0752074,-0.00402492,0.0527649,-0.259165,1.16552,-0.158456,10.4054,-0.0528956,0.057431,0.235004,0.620383,0.635553,1
