step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	0.877595	-1647.06	-1646.13	-1647.06	0	0	0	1	1	
10	0.882204	-1647.07	-1646.13	-1647.06	0	0	0	0	0	
20	0.885687	-1647.07	-1646.13	-1647.07	0	0	0	0	0	
30	0.887804	-1647.07	-1646.13	-1647.07	0	0	0	0	0	
40	0.890983	-1647.07	-1646.13	-1647.07	0	0	0	0	0	
50	0.893923	-1647.08	-1646.13	-1647.08	0	0	0	0	0	
60	0.89705	-1647.08	-1646.13	-1647.08	0	0	0	0	0	
70	0.900783	-1647.09	-1646.13	-1647.08	0	0	0	0	0	
80	0.904181	-1647.09	-1646.13	-1647.09	0	0	0	0	0	
90	0.907764	-1647.09	-1646.13	-1647.09	0	0	0	0	0	
100	0.911108	-1647.1	-1646.13	-1647.1	0	0	0	0	0	
110	0.914927	-1647.1	-1646.13	-1647.1	0	0	0	0	0	
120	0.917214	-1647.1	-1646.13	-1647.1	0	0	0	0	0	
130	0.920668	-1647.11	-1646.13	-1647.1	0	0	0	0	0	
140	0.92455	-1647.11	-1646.13	-1647.11	0	0	0	0	0	
150	0.927559	-1647.11	-1646.13	-1647.11	0	0	0	0	0	
160	0.929534	-1647.12	-1646.13	-1647.11	0	0	0	0	0	
170	0.932834	-1647.12	-1646.13	-1647.12	0	0	0	0	0	
180	0.935452	-1647.12	-1646.13	-1647.12	0	0	0	0	0	
190	0.937082	-1647.12	-1646.13	-1647.12	0	0	0	0	0	
200	0.938778	-1647.13	-1646.13	-1647.12	0	0	0	0	0	
210	0.940973	-1647.13	-1646.13	-1647.13	0	0	0	0	0	
220	0.942531	-1647.13	-1646.13	-1647.13	0	0	0	0	0	
230	0.944108	-1647.13	-1646.13	-1647.13	0	0	0	0	0	
240	0.945351	-1647.13	-1646.13	-1647.13	0	0	0	0	0	
250	0.94558	-1647.13	-1646.13	-1647.13	0	0	0	0	0	
260	0.94683	-1647.13	-1646.13	-1647.13	0	0	0	0	0	
270	0.948503	-1647.14	-1646.13	-1647.13	0	0	0	0	0	
280	0.949688	-1647.14	-1646.13	-1647.13	0	0	0	0	0	
290	0.951442	-1647.14	-1646.13	-1647.14	0	0	0	0	0	
300	0.952899	-1647.14	-1646.13	-1647.14	0	0	0	0	0	
310	0.954172	-1647.14	-1646.13	-1647.14	0	0	0	0	0	
320	0.955765	-1647.14	-1646.13	-1647.14	0	0	0	0	0	
330	0.957306	-1647.15	-1646.13	-1647.14	0	0	0	0	0	
340	0.95905	-1647.15	-1646.13	-1647.15	0	0	0	0	0	
350	0.961435	-1647.15	-1646.13	-1647.15	0	0	0	0	0	
360	0.964138	-1647.15	-1646.13	-1647.15	0	0	0	0	0	
370	0.966295	-1647.15	-1646.13	-1647.15	0	0	0	0	0	
380	0.968814	-1647.16	-1646.13	-1647.16	0	0	0	0	0	
390	0.971607	-1647.16	-1646.13	-1647.16	0	0	0	0	0	
400	0.974373	-1647.16	-1646.13	-1647.16	0	0	0	0	0	
410	0.977347	-1647.17	-1646.13	-1647.16	0	0	0	0	0	
420	0.980521	-1647.17	-1646.13	-1647.17	0	0	0	0	0	
430	0.984149	-1647.17	-1646.13	-1647.17	0	0	0	0	0	
440	0.987854	-1647.18	-1646.13	-1647.18	0	0	0	0	0	
450	0.990396	-1647.18	-1646.13	-1647.18	0	0	0	0	0	
460	0.992706	-1647.18	-1646.13	-1647.18	0	0	0	0	0	
470	0.996314	-1647.19	-1646.13	-1647.18	0	0	0	0	0	
480	1.00025	-1647.19	-1646.13	-1647.19	0	0	0	0	0	
490	1.00365	-1647.19	-1646.13	-1647.19	0	0	0	0	0	
500	1.00683	-1647.2	-1646.13	-1647.2	0	0	0	0	0	
510	1.00961	-1647.2	-1646.13	-1647.2	0	0	0	0	0	
520	1.01278	-1647.2	-1646.13	-1647.2	0	0	0	0	0	
530	1.0157	-1647.21	-1646.13	-1647.2	0	0	0	0	0	
540	1.01917	-1647.21	-1646.13	-1647.21	0	0	0	0	0	
550	1.0222	-1647.21	-1646.13	-1647.21	0	0	0	0	0	
560	1.0263	-1647.22	-1646.13	-1647.22	0	0	0	0	0	
570	1.02914	-1647.22	-1646.13	-1647.22	0	0	0	0	0	
580	1.03083	-1647.22	-1646.13	-1647.22	0	0	0	0	0	
590	1.03387	-1647.23	-1646.13	-1647.22	0	0	0	0	0	
600	1.03771	-1647.23	-1646.13	-1647.23	0	0	0	0	0	
610	1.04087	-1647.23	-1646.13	-1647.23	0	0	0	0	0	
620	1.04462	-1647.24	-1646.13	-1647.24	0	0	0	0	0	
630	1.04798	-1647.24	-1646.13	-1647.24	0	0	0	0	0	
640	1.05086	-1647.24	-1646.13	-1647.24	0	0	0	0	0	
650	1.05413	-1647.25	-1646.13	-1647.25	0	0	0	0	0	
660	1.05775	-1647.25	-1646.13	-1647.25	0	0	0	0	0	
670	1.06056	-1647.25	-1646.13	-1647.25	0	0	0	0	0	
680	1.06396	-1647.29	-1646.16	-1647.29	0	0	0	0	0	
690	1.06815	-1647.3	-1646.16	-1647.29	0	0	0	0	0	
700	1.07083	-1647.3	-1646.16	-1647.3	0	0	0	0	0	
710	1.07318	-1647.3	-1646.16	-1647.3	0	0	0	0	0	
720	1.07649	-1647.3	-1646.16	-1647.3	0	0	0	0	0	
730	1.07914	-1647.31	-1646.16	-1647.3	0	0	0	0	0	
740	1.08232	-1647.31	-1646.16	-1647.31	0	0	0	0	0	
750	1.08591	-1647.31	-1646.16	-1647.31	0	0	0	0	0	
760	1.08855	-1647.32	-1646.16	-1647.31	0	0	0	0	0	
770	1.09176	-1647.32	-1646.16	-1647.32	0	0	0	0	0	
780	1.09589	-1647.32	-1646.16	-1647.32	0	0	0	0	0	
790	1.09811	-1647.33	-1646.16	-1647.32	0	0	0	0	0	
800	1.1008	-1647.33	-1646.16	-1647.33	0	0	0	0	0	
810	1.10396	-1647.33	-1646.16	-1647.33	0	0	0	0	0	
820	1.10788	-1647.34	-1646.16	-1647.34	0	0	0	0	0	
830	1.1104	-1647.34	-1646.16	-1647.34	0	0	0	0	0	
840	1.11339	-1647.34	-1646.16	-1647.34	0	0	0	0	0	
850	1.11735	-1647.35	-1646.16	-1647.35	0	0	0	0	0	
860	1.12073	-1647.35	-1646.16	-1647.35	0	0	0	0	0	
870	1.12409	-1647.35	-1646.16	-1647.35	0	0	0	0	0	
880	1.12834	-1647.36	-1646.16	-1647.36	0	0	0	0	0	
