step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
10,0.867766,0.499185,0.499185,-1647.18,1.33954e-008,-2.04333e-008,-0.148171,0.044459,2.35882e-007,0.491689,0.00021521,-0.000326629,-2.74261,0.044459,2.36683e-007,-0.00749616,0.622393,0.639425,1
20,0.869703,0.498443,0.498443,-1647.18,2.63318e-008,-3.99128e-008,-0.148335,0.044459,2.35731e-007,0.490948,0.000218388,-0.00032606,-2.75972,0.0444587,2.47313e-007,-0.0074956,0.622393,0.639425,1
30,0.871659,0.497701,0.497701,-1647.18,3.94401e-008,-5.93059e-008,-0.148501,0.044459,2.35483e-007,0.490206,0.000220847,-0.000323593,-2.77696,0.0444583,2.80619e-007,-0.00749497,0.622393,0.639425,1
40,0.873627,0.496957,0.496957,-1647.18,5.26765e-008,-7.84628e-008,-0.148667,0.044459,2.35138e-007,0.489463,0.000222866,-0.000317907,-2.79432,0.0444581,3.08048e-007,-0.00749442,0.622393,0.639425,1
50,0.875604,0.496213,0.496213,-1647.19,6.60483e-008,-9.71644e-008,-0.148834,0.044459,2.34699e-007,0.488719,0.000225486,-0.000308408,-2.81181,0.0444582,3.1774e-007,-0.00749395,0.622393,0.639425,1
60,0.877592,0.495468,0.495468,-1647.19,7.95905e-008,-1.15219e-007,-0.149002,0.044459,2.34167e-007,0.487975,0.000228382,-0.000296599,-2.82942,0.0444582,3.23159e-007,-0.00749361,0.622393,0.639425,1
70,0.879595,0.494723,0.494723,-1647.19,9.32801e-008,-1.32555e-007,-0.149172,0.044459,2.33548e-007,0.487229,0.000230247,-0.000284584,-2.84714,0.0444577,3.41161e-007,-0.00749346,0.622393,0.639425,1
80,0.881609,0.493976,0.493976,-1647.19,1.07034e-007,-1.49192e-007,-0.149342,0.044459,2.32843e-007,0.486483,0.000230517,-0.000273225,-2.86498,0.0444571,3.42495e-007,-0.00749346,0.622393,0.639425,1
90,0.883635,0.493229,0.493229,-1647.2,1.20757e-007,-1.65175e-007,-0.149514,0.044459,2.32057e-007,0.485736,0.000229225,-0.000262646,-2.88295,0.0444567,3.06763e-007,-0.00749354,0.622393,0.639425,1
100,0.885676,0.492481,0.492481,-1647.2,1.34358e-007,-1.8055e-007,-0.149686,0.044459,2.31192e-007,0.484988,0.000226454,-0.00025284,-2.90103,0.0444562,2.43415e-007,-0.00749382,0.622393,0.639425,1
110,0.887737,0.491733,0.491733,-1647.2,1.47754e-007,-1.95351e-007,-0.14986,0.044459,2.30252e-007,0.484239,0.000222347,-0.0002432,-2.91923,0.0444558,1.85305e-007,-0.0074943,0.622393,0.639425,1
120,0.889815,0.490984,0.490984,-1647.2,1.60853e-007,-2.09558e-007,-0.150034,0.044459,2.2924e-007,0.483489,0.000216259,-0.000232901,-2.93756,0.0444558,1.48136e-007,-0.00749476,0.622393,0.639425,1
130,0.891911,0.490233,0.490233,-1647.2,1.73481e-007,-2.23139e-007,-0.15021,0.044459,2.28158e-007,0.482738,0.000206217,-0.00022245,-2.95602,0.0444558,1.35446e-007,-0.00749492,0.622393,0.639425,1
140,0.894025,0.489482,0.489482,-1647.21,1.85356e-007,-2.36128e-007,-0.150387,0.044459,2.27009e-007,0.481987,0.000191055,-0.000213189,-2.97461,0.0444557,1.25167e-007,-0.00749479,0.622393,0.639425,1
150,0.896153,0.488729,0.488729,-1647.21,1.96211e-007,-2.48604e-007,-0.150565,0.044459,2.25797e-007,0.481235,0.000172524,-0.000205086,-2.99333,0.0444557,9.31265e-008,-0.00749463,0.622393,0.639425,1
160,0.898297,0.487976,0.487976,-1647.21,2.05943e-007,-2.60592e-007,-0.150744,0.044459,2.24524e-007,0.480481,0.000153883,-0.000196565,-3.01218,0.0444562,4.5452e-008,-0.00749459,0.622393,0.639425,1
170,0.900456,0.487222,0.487222,-1647.21,2.14605e-007,-2.72033e-007,-0.150925,0.044459,2.23192e-007,0.479727,0.000136655,-0.000186729,-3.03118,0.0444569,2.16282e-008,-0.00749454,0.622393,0.639425,1
180,0.902627,0.486466,0.486466,-1647.22,2.22254e-007,-2.82856e-007,-0.151106,0.044459,2.21805e-007,0.478972,0.000119581,-0.000175938,-3.05031,0.0444575,3.52544e-008,-0.00749433,0.622393,0.639425,1
190,0.904812,0.48571,0.48571,-1647.22,2.28838e-007,-2.93011e-007,-0.151289,0.044459,2.20365e-007,0.478216,0.000100753,-0.000164259,-3.0696,0.0444579,4.85432e-008,-0.00749398,0.622393,0.639425,1
200,0.907014,0.484953,0.484953,-1647.22,2.34234e-007,-3.02427e-007,-0.151472,0.044459,2.18876e-007,0.477459,7.98025e-005,-0.000151076,-3.08905,0.0444582,1.91262e-008,-0.00749343,0.622393,0.639425,1
210,0.909231,0.484194,0.484194,-1647.22,2.38337e-007,-3.11005e-007,-0.151657,0.044459,2.17342e-007,0.476701,5.76053e-005,-0.000136209,-3.10865,0.0444582,-5.47803e-008,-0.00749258,0.622393,0.639425,1
220,0.911465,0.483434,0.483434,-1647.22,2.41096e-007,-3.1865e-007,-0.151843,0.044459,2.15767e-007,0.475943,3.48018e-005,-0.000119792,-3.1284,0.044458,-1.39122e-007,-0.00749156,0.622393,0.639425,1
230,0.913717,0.482674,0.482674,-1647.23,2.42482e-007,-3.2526e-007,-0.152031,0.044459,2.14157e-007,0.475183,1.16064e-005,-0.000101375,-3.1483,0.044458,-2.03174e-007,-0.00749063,0.622393,0.639425,1
240,0.915985,0.481912,0.481912,-1647.23,2.42478e-007,-3.307e-007,-0.152219,0.044459,2.12517e-007,0.474422,-1.17007e-005,-8.0632e-005,-3.16835,0.044458,-2.29939e-007,-0.00748971,0.622393,0.639425,1
250,0.918273,0.481149,0.481149,-1647.23,2.411e-007,-3.3485e-007,-0.152409,0.044459,2.10852e-007,0.473661,-3.4282e-005,-5.83066e-005,-3.18855,0.0444576,-2.40186e-007,-0.00748852,0.622393,0.639425,1
260,0.920579,0.480385,0.480385,-1647.23,2.38427e-007,-3.37641e-007,-0.1526,0.044459,2.0917e-007,0.472898,-5.4879e-005,-3.50658e-005,-3.20889,0.0444572,-2.76749e-007,-0.00748707,0.622393,0.639425,1
270,0.922907,0.47962,0.47962,-1647.24,2.34602e-007,-3.39006e-007,-0.152792,0.044459,2.07478e-007,0.472135,-7.29804e-005,-1.04047e-005,-3.22935,0.0444569,-3.62479e-007,-0.00748573,0.622393,0.639425,1
280,0.925249,0.478855,0.478855,-1647.24,2.29743e-007,-3.38851e-007,-0.152985,0.0444591,2.05783e-007,0.47137,-8.9871e-005,1.57546e-005,-3.24995,0.0444569,-4.41855e-007,-0.00748467,0.622393,0.639425,1
290,0.927607,0.478088,0.478088,-1647.24,2.23868e-007,-3.37131e-007,-0.15318,0.0444591,2.04092e-007,0.470605,-0.000107188,4.16728e-005,-3.27069,0.0444569,-4.50181e-007,-0.00748359,0.622393,0.639425,1
300,0.929982,0.477321,0.477321,-1647.24,2.16939e-007,-3.33922e-007,-0.153375,0.0444591,2.02414e-007,0.469838,-0.000125107,6.54619e-005,-3.29158,0.0444567,-3.82162e-007,-0.00748213,0.622393,0.639425,1
310,0.932373,0.476551,0.476551,-1647.25,2.0895e-007,-3.29364e-007,-0.153572,0.0444591,2.00755e-007,0.469071,-0.00014249,8.70109e-005,-3.31263,0.0444566,-3.00271e-007,-0.00748032,0.622393,0.639425,1
320,0.934785,0.475781,0.475781,-1647.25,1.99962e-007,-3.23571e-007,-0.153771,0.0444591,1.99122e-007,0.468303,-0.000158596,0.000106929,-3.33384,0.0444565,-2.38632e-007,-0.00747824,0.622393,0.639425,1
330,0.937216,0.475009,0.475009,-1647.25,1.90035e-007,-3.16637e-007,-0.15397,0.0444591,1.97521e-007,0.467533,-0.000174248,0.000125237,-3.35521,0.0444562,-1.95616e-007,-0.00747568,0.622393,0.639425,1
340,0.939668,0.474235,0.474235,-1647.25,1.79134e-007,-3.08653e-007,-0.154171,0.0444591,1.95958e-007,0.466763,-0.000191577,0.000142232,-3.37674,0.0444562,-1.39508e-007,-0.0074724,0.622393,0.639425,1
350,0.94214,0.47346,0.47346,-1647.26,1.67122e-007,-2.99666e-007,-0.154373,0.0444591,1.94437e-007,0.465992,-0.000211366,0.000159113,-3.39844,0.0444564,-5.25746e-008,-0.0074685,0.622393,0.639425,1
360,0.944633,0.472684,0.472684,-1647.26,1.53909e-007,-2.89658e-007,-0.154577,0.0444591,1.92963e-007,0.465219,-0.000231218,0.000176322,-3.4203,0.0444564,7.41051e-008,-0.00746424,0.622393,0.639425,1
370,0.947153,0.471906,0.471906,-1647.26,1.39599e-007,-2.78638e-007,-0.154781,0.0444591,1.91542e-007,0.464446,-0.000247778,0.000192856,-3.44232,0.0444563,2.00785e-007,-0.0074597,0.622393,0.639425,1
380,0.949694,0.471126,0.471126,-1647.27,1.24411e-007,-2.66676e-007,-0.154987,0.0444591,1.90178e-007,0.463672,-0.000260976,0.000207873,-3.46449,0.0444563,2.83862e-007,-0.00745477,0.622393,0.639425,1
390,0.952256,0.470346,0.470346,-1647.27,1.08459e-007,-2.53859e-007,-0.155195,0.0444591,1.88876e-007,0.462896,-0.000274003,0.000221558,-3.48682,0.0444564,3.02647e-007,-0.00744948,0.622393,0.639425,1
400,0.954838,0.469563,0.469563,-1647.27,9.16753e-008,-2.40262e-007,-0.155403,0.0444591,1.87641e-007,0.46212,-0.000288784,0.000234003,-3.50931,0.0444564,2.87028e-007,-0.00744392,0.622393,0.639425,1
410,0.957434,0.46878,0.46878,-1647.27,7.4008e-008,-2.25956e-007,-0.155613,0.0444591,1.86475e-007,0.461342,-0.000303001,0.000245468,-3.53196,0.0444565,2.49487e-007,-0.00743818,0.622393,0.639425,1
420,0.960051,0.467996,0.467996,-1647.28,5.55994e-008,-2.10955e-007,-0.155825,0.0444591,1.85382e-007,0.460563,-0.000313244,0.000257683,-3.55479,0.044457,1.95059e-007,-0.00743225,0.622393,0.639425,1
430,0.962684,0.46721,0.46721,-1647.28,3.67195e-008,-1.95148e-007,-0.156038,0.0444591,1.84367e-007,0.459784,-0.000318982,0.000272686,-3.57779,0.0444574,1.31096e-007,-0.0074262,0.622393,0.639425,1
440,0.965337,0.466423,0.466423,-1647.28,1.7597e-008,-1.78367e-007,-0.156252,0.0444591,1.83432e-007,0.459003,-0.00032155,0.000290037,-3.60095,0.0444574,8.61507e-008,-0.0074201,0.622393,0.639425,1
450,0.968008,0.465635,0.465635,-1647.28,-1.59544e-009,-1.60533e-007,-0.156467,0.0444591,1.82585e-007,0.458221,-0.000321306,0.000307662,-3.62429,0.0444572,4.55392e-008,-0.00741395,0.622393,0.639425,1
460,0.970699,0.464846,0.464846,-1647.29,-2.06905e-008,-1.41657e-007,-0.156684,0.0444591,1.81829e-007,0.457438,-0.000318369,0.00032518,-3.64781,0.0444571,-2.59456e-008,-0.00740768,0.622393,0.639425,1
470,0.973417,0.464056,0.464056,-1647.29,-3.95494e-008,-1.21699e-007,-0.156903,0.0444591,1.8117e-007,0.456654,-0.000313517,0.000344171,-3.6715,0.044457,-1.46345e-007,-0.00740132,0.622393,0.639425,1
480,0.976159,0.463264,0.463264,-1647.29,-5.80648e-008,-1.00543e-007,-0.157122,0.0444591,1.80614e-007,0.455869,-0.000306705,0.000365268,-3.69536,0.0444567,-2.78924e-007,-0.00739501,0.622393,0.639425,1
490,0.978927,0.462472,0.462472,-1647.3,-7.60885e-008,-7.80888e-008,-0.157344,0.0444591,1.80167e-007,0.455083,-0.000296924,0.000387468,-3.71939,0.0444566,-3.88265e-007,-0.0073889,0.622393,0.639425,1
500,0.981719,0.461679,0.461679,-1647.3,-9.34435e-008,-5.43058e-008,-0.157566,0.0444591,1.79835e-007,0.454296,-0.000284518,0.000409669,-3.74361,0.0444565,-4.56846e-007,-0.00738295,0.622393,0.639425,1
510,0.984528,0.460885,0.460885,-1647.3,-1.10027e-007,-2.92237e-008,-0.15779,0.0444591,1.79626e-007,0.453508,-0.00027142,0.000430753,-3.76801,0.0444561,-4.9596e-007,-0.007377,0.622393,0.639425,1
520,0.987361,0.460089,0.460089,-1647.31,-1.25848e-007,-2.96513e-009,-0.158016,0.0444591,1.79545e-007,0.452718,-0.000259035,0.000448765,-3.79259,0.0444555,-5.22337e-007,-0.0073709,0.622393,0.639425,1
530,0.990213,0.459292,0.459292,-1647.31,-1.40958e-007,2.424e-008,-0.158243,0.0444591,1.79598e-007,0.451927,-0.000247677,0.000462454,-3.81737,0.0444553,-5.51703e-007,-0.00736475,0.622393,0.639425,1
540,0.993089,0.458494,0.458494,-1647.31,-1.55439e-007,5.2152e-008,-0.158471,0.0444591,1.79788e-007,0.451136,-0.000238133,0.000472742,-3.84233,0.0444554,-5.67142e-007,-0.00735873,0.622393,0.639425,1
550,0.99599,0.457696,0.457696,-1647.31,-1.69436e-007,8.06129e-008,-0.158701,0.0444591,1.8012e-007,0.450343,-0.000231577,0.000480937,-3.8675,0.0444556,-5.32497e-007,-0.00735288,0.622393,0.639425,1
560,0.998914,0.456896,0.456896,-1647.32,-1.8312e-007,1.09493e-007,-0.158933,0.0444591,1.80595e-007,0.449549,-0.000227258,0.00048664,-3.89285,0.0444558,-4.30148e-007,-0.00734722,0.622393,0.639425,1
