step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
10,0.880066,0.499181,-0.499181,-1647.18,-1.12747e-007,5.81754e-008,0.149178,0.0444706,4.19868e-007,-0.506804,-0.00180198,0.000931025,2.85634,0.0444711,4.30375e-007,-0.00762301,0.622573,0.639897,1
20,0.88222,0.498435,-0.498435,-1647.18,-2.20242e-007,1.13779e-007,0.149349,0.0444706,4.20298e-007,-0.506057,-0.00180066,0.00093217,2.87423,0.0444725,4.67257e-007,-0.00762247,0.622573,0.639897,1
30,0.884573,0.497687,-0.497687,-1647.18,-3.27542e-007,1.69347e-007,0.149521,0.0444706,4.21006e-007,-0.50531,-0.00179506,0.000930024,2.89225,0.0444734,4.85973e-007,-0.00762326,0.622573,0.639897,1
40,0.886904,0.496937,-0.496937,-1647.19,-4.34315e-007,2.24722e-007,0.149694,0.0444706,4.21991e-007,-0.504562,-0.00178301,0.000925893,2.91044,0.0444737,4.27071e-007,-0.00762549,0.622573,0.639897,1
50,0.889148,0.496185,-0.496185,-1647.19,-5.4026e-007,2.79799e-007,0.149869,0.0444706,4.23253e-007,-0.503813,-0.00176818,0.000919917,2.92877,0.0444733,3.05766e-007,-0.00762853,0.622573,0.639897,1
60,0.891491,0.495431,-0.495431,-1647.19,-6.45223e-007,3.34438e-007,0.150044,0.0444706,4.24789e-007,-0.503063,-0.00174815,0.000911017,2.94725,0.0444729,2.4704e-007,-0.00763261,0.622573,0.639897,1
70,0.893736,0.494675,-0.494675,-1647.19,-7.48504e-007,3.88439e-007,0.15022,0.0444706,4.26596e-007,-0.502313,-0.0017107,0.00089848,2.96589,0.0444723,3.02579e-007,-0.00763779,0.622573,0.639897,1
80,0.896027,0.493918,-0.493918,-1647.19,-8.49092e-007,4.41591e-007,0.150398,0.0444706,4.28672e-007,-0.501561,-0.0016598,0.000882728,2.98464,0.0444717,4.13203e-007,-0.0076427,0.622573,0.639897,1
90,0.898305,0.493162,-0.493162,-1647.2,-9.4648e-007,4.93734e-007,0.150577,0.0444706,4.3101e-007,-0.500809,-0.00160361,0.000864812,3.00351,0.0444711,5.18032e-007,-0.00764652,0.622573,0.639897,1
100,0.900525,0.492404,-0.492404,-1647.2,-1.0402e-006,5.4475e-007,0.150756,0.0444706,4.33607e-007,-0.500055,-0.00153482,0.00084484,3.02258,0.0444709,6.33052e-007,-0.0076511,0.622573,0.639897,1
110,0.9029,0.491643,-0.491643,-1647.2,-1.12931e-006,5.94481e-007,0.150937,0.0444706,4.36456e-007,-0.499301,-0.00145074,0.000821438,3.04187,0.044471,7.43166e-007,-0.00765813,0.622573,0.639897,1
120,0.905196,0.49088,-0.49088,-1647.2,-1.21322e-006,6.42685e-007,0.151119,0.0444706,4.39549e-007,-0.498546,-0.00136107,0.000793668,3.06133,0.0444713,8.09893e-007,-0.00766634,0.622573,0.639897,1
130,0.907544,0.490117,-0.490117,-1647.21,-1.29163e-006,6.89117e-007,0.151303,0.0444705,4.4288e-007,-0.49779,-0.00126645,0.00076216,3.08094,0.0444715,8.4393e-007,-0.00767303,0.622573,0.639897,1
140,0.909824,0.489355,-0.489355,-1647.21,-1.36426e-006,7.33568e-007,0.151487,0.0444705,4.46437e-007,-0.497033,-0.00116776,0.000727238,3.10065,0.0444716,8.98525e-007,-0.00767787,0.622573,0.639897,1
150,0.912281,0.488592,-0.488592,-1647.21,-1.43103e-006,7.75814e-007,0.151673,0.0444705,4.50212e-007,-0.496275,-0.00107086,0.000688065,3.12047,0.0444714,9.68501e-007,-0.00768321,0.622573,0.639897,1
160,0.914679,0.487825,-0.487825,-1647.21,-1.49197e-006,8.15584e-007,0.151859,0.0444705,4.54191e-007,-0.495516,-0.000970051,0.00064434,3.14046,0.044471,1.01961e-006,-0.00769081,0.622573,0.639897,1
170,0.917206,0.487057,-0.487057,-1647.22,-1.54661e-006,8.52635e-007,0.152047,0.0444705,4.58363e-007,-0.494756,-0.000861123,0.000597203,3.16064,0.0444703,1.04851e-006,-0.00769984,0.622573,0.639897,1
180,0.91972,0.486287,-0.486287,-1647.22,-1.59474e-006,8.86814e-007,0.152237,0.0444705,4.62713e-007,-0.493996,-0.000752365,0.000548261,3.18099,0.0444696,1.05959e-006,-0.00770915,0.622573,0.639897,1
190,0.921976,0.485515,-0.485515,-1647.22,-1.6363e-006,9.18041e-007,0.152427,0.0444705,4.67226e-007,-0.493234,-0.0006384,0.000498317,3.2015,0.0444692,1.02487e-006,-0.00771906,0.622573,0.639897,1
200,0.924312,0.484742,-0.484742,-1647.22,-1.67058e-006,9.46248e-007,0.152619,0.0444705,4.71888e-007,-0.492471,-0.000508104,0.000446809,3.22218,0.0444693,9.46619e-007,-0.00772954,0.622573,0.639897,1
210,0.926479,0.483968,-0.483968,-1647.23,-1.69678e-006,9.71309e-007,0.152811,0.0444705,4.76684e-007,-0.491708,-0.000369897,0.000392773,3.24301,0.0444697,8.96023e-007,-0.00773971,0.622573,0.639897,1
220,0.928755,0.483193,-0.483193,-1647.23,-1.71464e-006,9.93065e-007,0.153006,0.0444705,4.81596e-007,-0.490943,-0.000227502,0.000336093,3.26401,0.0444697,9.14989e-007,-0.00774991,0.622573,0.639897,1
230,0.930934,0.482416,-0.482416,-1647.23,-1.72368e-006,1.01137e-006,0.153201,0.0444705,4.86608e-007,-0.490178,-7.35445e-005,0.000276989,3.28521,0.0444693,9.48619e-007,-0.00776146,0.622573,0.639897,1
