step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	3.42377e-005	-1646.72	-1646.72	-1646.72	0	0	0	1	1	
10	0.0059367	-1646.73	-1646.72	-1646.73	0	0	0	0	0	
20	0.00852104	-1646.73	-1646.72	-1646.73	0	0	0	0	0	
30	0.0109877	-1646.74	-1646.73	-1646.74	0	0	0	0	0	
40	0.0128052	-1646.74	-1646.73	-1646.74	0	0	0	0	0	
50	0.0129233	-1646.75	-1646.74	-1646.75	0	0	0	0	0	
60	0.0120573	-1646.75	-1646.74	-1646.75	0	0	0	0	0	
70	0.0105104	-1646.76	-1646.75	-1646.76	0	0	0	0	0	
80	0.00845293	-1646.76	-1646.75	-1646.76	0	0	0	0	0	
90	0.00668369	-1646.76	-1646.75	-1646.76	0	0	0	0	0	
100	0.00502165	-1646.76	-1646.75	-1646.76	0	0	0	0	0	
110	6.8497	-1646.43	-1639.26	-1646.43	0	0	0	0	0	
120	12.9222	-1645.18	-1631.64	-1645.18	0	0	0	0	0	
130	16.0861	-1642.4	-1625.55	-1642.4	0	0	0	0	0	
140	16.8976	-1638.06	-1620.36	-1638.06	0	0	0	0	0	
150	16.2664	-1632.26	-1615.21	-1632.26	0	0	0	0	0	
160	14.8838	-1625.25	-1609.66	-1625.25	0	0	0	0	0	
170	13.9363	-1618.26	-1603.66	-1618.26	0	0	0	0	0	
180	14.1414	-1612.27	-1597.46	-1612.27	0	0	0	0	0	
190	15.6312	-1607.91	-1591.54	-1607.91	0	0	0	0	0	
200	18.6058	-1606	-1586.51	-1606	0	0	0	0	0	
210	32.7505	-1607.53	-1573.22	-1607.53	0	0	0	0	0	
220	44.3456	-1611.22	-1564.76	-1611.22	0	0	0	0	0	
230	52.0835	-1614.5	-1559.94	-1614.5	0	0	0	0	0	
240	56.6999	-1617.21	-1557.81	-1617.21	0	0	0	0	0	
250	59.2091	-1619.09	-1557.06	-1619.09	0	0	0	0	0	
260	58.7273	-1618.44	-1556.91	-1618.44	0	0	0	0	0	
270	55.7306	-1614.44	-1556.06	-1614.44	0	0	0	0	0	
280	51.1221	-1607.09	-1553.54	-1607.09	0	0	0	0	0	
290	47.4159	-1599.19	-1549.52	-1599.19	0	0	0	0	0	
300	42.1561	-1587.85	-1543.69	-1587.85	0	0	0	0	0	
310	45.7637	-1573.9	-1525.96	-1573.9	0	0	0	0	0	
320	47.7721	-1559.4	-1509.35	-1559.4	0	0	0	0	0	
330	48.0865	-1543.45	-1493.08	-1543.45	0	0	0	0	0	
340	47.5232	-1526.94	-1477.16	-1526.94	0	0	0	0	0	
350	46.257	-1509.06	-1460.6	-1509.06	0	0	0	0	0	
360	46.303	-1492.15	-1443.64	-1492.15	0	0	0	0	0	
370	50.6776	-1480.64	-1427.55	-1480.64	0	0	0	0	0	
380	56.8214	-1472.9	-1413.38	-1472.9	0	0	0	0	0	
390	60.3172	-1464.13	-1400.94	-1464.13	0	0	0	0	0	
400	78.5145	-1474.24	-1391.98	-1474.24	0	0	0	0	0	
410	109.039	-1495.47	-1381.24	-1495.47	0	0	0	0	0	
420	129.679	-1516.61	-1380.75	-1516.61	0	0	0	0	0	
430	145.425	-1539.94	-1387.59	-1539.94	0	0	0	0	0	
440	150.124	-1556.21	-1398.94	-1556.21	0	0	0	0	0	
450	144.079	-1561.04	-1410.09	-1561.04	0	0	0	0	0	
460	129.615	-1552.93	-1417.15	-1552.93	0	0	0	0	0	
470	111.902	-1535.07	-1417.84	-1535.07	0	0	0	0	0	
480	96.4296	-1512.64	-1411.62	-1512.64	0	0	0	0	0	
490	86.5692	-1491.03	-1400.33	-1491.03	0	0	0	0	0	
500	78.2269	-1467.78	-1385.83	-1467.78	0	0	0	0	0	
510	84.6444	-1447.52	-1358.84	-1447.52	0	0	0	0	0	
520	100.791	-1441.86	-1336.27	-1441.86	0	0	0	0	0	
530	115.423	-1440.42	-1319.5	-1440.42	0	0	0	0	0	
540	129.358	-1443.56	-1308.04	-1443.56	0	0	0	0	0	
550	156.432	-1468.45	-1304.57	-1468.45	0	0	0	0	0	
560	179.439	-1499.24	-1311.25	-1499.24	0	0	0	0	0	
570	194.852	-1530.2	-1326.07	-1530.2	0	0	0	0	0	
580	193.026	-1545.94	-1343.72	-1545.94	0	0	0	0	0	
590	188.358	-1557.09	-1359.77	-1557.09	0	0	0	0	0	
600	173.572	-1555.05	-1373.22	-1555.05	0	0	0	0	0	
610	158.863	-1534.56	-1368.13	-1534.56	0	0	0	0	0	
620	138.196	-1501.24	-1356.46	-1501.24	0	0	0	0	0	
630	120.657	-1463.08	-1336.67	-1463.08	0	0	0	0	0	
640	116.189	-1434.3	-1312.57	-1434.3	0	0	0	0	0	
650	113.962	-1406.94	-1287.55	-1406.94	0	0	0	0	0	
660	118.354	-1385.94	-1261.95	-1385.94	0	0	0	0	0	
670	134.245	-1381.28	-1240.64	-1381.28	0	0	0	0	0	
680	161.258	-1396.02	-1227.08	-1396.02	0	0	0	0	0	
690	172.715	-1403.37	-1222.43	-1403.37	0	0	0	0	0	
700	191.095	-1422.12	-1221.92	-1422.12	0	0	0	0	0	
710	219.479	-1450.43	-1220.5	-1450.43	0	0	0	0	0	
720	222.616	-1457.85	-1224.64	-1457.85	0	0	0	0	0	
730	233.957	-1477.05	-1231.95	-1477.05	0	0	0	0	0	
740	234.113	-1486.09	-1240.83	-1486.09	0	0	0	0	0	
750	231.602	-1493.35	-1250.71	-1493.35	0	0	0	0	0	
760	225.527	-1494.42	-1258.15	-1494.42	0	0	0	0	0	
770	202.953	-1473.21	-1260.59	-1473.21	0	0	0	0	0	
780	190.095	-1454.3	-1255.16	-1454.3	0	0	0	0	0	
