step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,316.29,0.496997,0.496997,-1357.61,3.55785e-006,-1.54896e-005,-0.320772,0.0450571,-0.00138241,0.472655,0.039674,0.0096524,-3.07319,0.0450799,-0.00202596,-0.0243419,0.623229,0.640526,1
3520,298.646,0.494358,0.494357,-1341.76,1.64548e-005,-8.41336e-006,-0.321538,0.0450572,-0.00138247,0.471049,0.068116,0.0410211,-3.11003,0.0451012,-0.00205397,-0.0233084,0.623077,0.640883,1
3530,280.101,0.491505,0.491505,-1322.69,3.78659e-005,6.18905e-006,-0.322314,0.0450573,-0.00138248,0.469439,0.10667,0.0737951,-3.15266,0.044536,-0.00203707,-0.0220652,0.622769,0.641044,1
3540,275.83,0.488268,0.488265,-1318.69,7.02755e-005,2.85034e-005,-0.323102,0.0450576,-0.0013824,0.467826,0.154419,0.0988855,-3.2057,0.0435169,-0.00210002,-0.0204393,0.622245,0.641406,1
3550,298.318,0.48498,0.484976,-1343.99,0.000113612,5.326e-005,-0.323903,0.045058,-0.00138219,0.466208,0.192654,0.0984555,-3.25912,0.0429815,-0.00178612,-0.0187674,0.621708,0.64182,1
3560,334.628,0.482109,0.482106,-1384.18,0.00016399,7.61353e-005,-0.324717,0.0450587,-0.00138187,0.464587,0.208942,0.0760639,-3.30509,0.0433109,-0.000922481,-0.017519,0.621626,0.641942,1
3570,338.302,0.479659,0.479657,-1388.12,0.000215843,9.28039e-005,-0.325542,0.0450597,-0.00138144,0.462961,0.206776,0.0579892,-3.35857,0.0442403,-0.000346574,-0.0166962,0.621626,0.641942,1
3580,329.016,0.477094,0.477093,-1378.28,0.000265257,0.000104869,-0.326382,0.0450609,-0.00138095,0.461331,0.190062,0.0399087,-3.42037,0.0449328,-0.000270817,-0.0157616,0.621626,0.641942,1
3590,316.051,0.474085,0.474083,-1364.32,0.000309186,0.000113078,-0.327238,0.0450623,-0.0013804,0.459697,0.163459,0.0278192,-3.49394,0.0449998,-0.000149011,-0.0143857,0.621626,0.641942,1
3600,310.371,0.470792,0.470788,-1358.31,0.000346248,0.000119661,-0.328114,0.0450639,-0.00137982,0.458059,0.136874,0.0278203,-3.57734,0.0441809,0.000213222,-0.0127293,0.621626,0.641942,1
3610,302.896,0.467575,0.467568,-1350.39,0.000377614,0.00011983,-0.329017,0.0450658,-0.00137921,0.456416,0.115118,-0.0923003,-3.75768,0.043087,0.000170524,-0.0111518,0.621626,0.641942,1
3620,311.124,0.464694,0.464685,-1358.97,0.000413575,0.000101435,-0.329946,0.0450677,-0.00137866,0.454769,0.185614,-0.0440032,-3.72249,0.0424511,-0.000297215,-0.00991623,0.621626,0.641942,1
3630,323.535,0.462423,0.462418,-1372.15,0.000460896,9.51429e-005,-0.33088,0.0450699,-0.00137817,0.453117,0.134532,-0.0383418,-3.94067,0.0429373,-0.000790204,-0.00930104,0.62159,0.641988,1
3640,329.273,0.460848,0.460847,-1378.13,0.000498182,9.21678e-005,-0.331865,0.0450723,-0.00137771,0.45146,0.168719,0.0159664,-4.00738,0.0439773,-0.00114287,-0.009387,0.621305,0.642185,1
3650,326.781,0.459709,0.459709,-1375.97,0.000545605,0.000103469,-0.332866,0.0450749,-0.00137723,0.449798,0.215877,0.0747981,-4.06885,0.0449728,-0.00134999,-0.00991152,0.620684,0.642471,1
3660,331.166,0.458445,0.458445,-1382.42,0.000605931,0.000128546,-0.33388,0.0450778,-0.00137665,0.448131,0.276128,0.128932,-4.11366,0.0455148,-0.000984682,-0.0103136,0.619715,0.642913,1
3670,315.634,0.456752,0.456749,-1369.93,0.000680095,0.0001632,-0.334905,0.045081,-0.00137592,0.446459,0.320928,0.146482,-4.15567,0.0458364,-9.51239e-005,-0.0102903,0.618684,0.64338,1
3680,282.149,0.454912,0.454907,-1338.97,0.000783813,0.000219535,-0.335916,0.0450846,-0.00137498,0.444782,0.464204,0.302905,-4.1774,0.0457436,0.000516819,-0.0101252,0.617542,0.643851,1
