step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,360.93,0.499337,-0.499335,-1405.92,-7.00835e-005,7.59422e-005,0.0806857,0.0449233,0.000841757,-0.516714,-0.3273,0.352857,2.51314,0.0440305,0.00213918,-0.017379,0.622591,0.640275,1
3520,349.753,0.499785,-0.499781,-1394.3,-0.000154346,0.000160285,0.0813048,0.0449227,0.00084235,-0.516309,-0.353727,0.327542,2.48445,0.0435945,0.00222673,-0.0165279,0.622663,0.640299,1
3530,330.324,0.500321,-0.500318,-1373.64,-0.000245902,0.000237849,0.0819168,0.0449217,0.000843349,-0.515901,-0.386478,0.297622,2.45619,0.0433164,0.00139324,-0.0155829,0.622887,0.640408,1
3540,330.52,0.500168,-0.500165,-1374.28,-0.00034634,0.000307442,0.0825228,0.0449202,0.000844715,-0.51549,-0.424712,0.26387,2.43743,0.043174,-1.63336e-005,-0.015325,0.623244,0.640609,1
3550,337.793,0.499957,-0.499946,-1382.84,-0.000470257,0.000360797,0.0830977,0.0449182,0.000846392,-0.515076,-0.525603,0.194657,2.30481,0.0429033,-0.00170486,-0.0151296,0.623526,0.640792,1
3560,332.983,0.500454,-0.500437,-1378.13,-0.000614194,0.000399355,0.0836555,0.0449155,0.000848307,-0.514659,-0.717427,0.0702404,2.07731,0.0427108,-0.00267544,-0.0142215,0.62402,0.641155,1
3570,321.829,0.501078,-0.501064,-1367.88,-0.000793067,0.000411921,0.0841767,0.044912,0.000850341,-0.514239,-0.694124,-0.0597108,2.24043,0.0426614,-0.00219004,-0.0131751,0.624462,0.641519,1
3580,294.478,0.500817,-0.500809,-1340.39,-0.000966479,0.000392215,0.0847383,0.0449076,0.000852356,-0.513817,-0.705897,-0.0996954,2.29173,0.0428721,-0.000992641,-0.0130075,0.624525,0.641657,1
3590,260.653,0.500072,-0.500067,-1304.57,-0.00113889,0.000357543,0.0853184,0.0449023,0.000854244,-0.513392,-0.652698,-0.220415,2.44488,0.0430811,-0.000156131,-0.0133244,0.624525,0.641657,1
3600,261.926,0.499744,-0.499742,-1305.94,-0.00130218,0.000298749,0.0859285,0.0448962,0.000855888,-0.512964,-0.665714,-0.252425,2.47791,0.0433667,0.000385289,-0.013222,0.624525,0.641657,1
3610,266.246,0.499409,-0.499407,-1310.39,-0.00146872,0.000233246,0.0865453,0.0448893,0.000857221,-0.512532,-0.678086,-0.275129,2.49925,0.0436866,0.00103442,-0.013125,0.624525,0.641657,1
3620,261.348,0.49824,-0.498239,-1305.15,-0.00163799,0.000162725,0.0871661,0.0448815,0.000858212,-0.512098,-0.688224,-0.294085,2.51021,0.0440587,0.00152545,-0.0138589,0.624525,0.641657,1
3630,273.229,0.497031,-0.49703,-1317.62,-0.00181357,7.68094e-005,0.0877755,0.0448729,0.000858828,-0.511661,-0.732522,-0.408747,2.3991,0.044359,0.0016472,-0.0146306,0.624525,0.641657,1
3640,304.062,0.497192,-0.497191,-1350.43,-0.00199665,-2.72962e-005,0.0883725,0.0448634,0.000858954,-0.51122,-0.74536,-0.432937,2.41895,0.0448107,0.00171092,-0.0140296,0.624525,0.641657,1
3650,322.054,0.49836,-0.498359,-1369.32,-0.00218277,-0.0001384,0.0889739,0.0448529,0.000858544,-0.510777,-0.756636,-0.465045,2.43471,0.0454343,0.00156422,-0.0124183,0.624525,0.641657,1
3660,319.657,0.498852,-0.49885,-1366.61,-0.00238985,-0.000269627,0.089531,0.0448415,0.000857535,-0.510331,-0.863878,-0.563346,2.19535,0.0462057,0.000657351,-0.0114808,0.624623,0.641764,1
3670,294.749,0.498163,-0.498155,-1340.15,-0.00260483,-0.000414135,0.090079,0.044829,0.000855829,-0.509882,-0.871847,-0.603951,2.2304,0.0470821,-0.00100549,-0.0117269,0.624623,0.641764,1
3680,281.337,0.497416,-0.497395,-1325.95,-0.00282201,-0.000569097,0.0906369,0.0448155,0.000853376,-0.50943,-0.881258,-0.646651,2.27342,0.047765,-0.00270632,-0.012035,0.624623,0.641764,1
3690,250.051,0.497281,-0.497249,-1292.65,-0.0030414,-0.000734144,0.0912053,0.0448008,0.000850122,-0.508975,-0.889132,-0.684253,2.31294,0.047733,-0.00403256,-0.0117267,0.624623,0.641764,1
3700,226.799,0.497169,-0.497131,-1268.24,-0.0032621,-0.000907274,0.0917813,0.0447851,0.000846021,-0.508518,-0.890876,-0.711114,2.332,0.0470089,-0.00487916,-0.0113868,0.624623,0.641764,1
3710,229.972,0.496489,-0.496454,-1271.77,-0.00348215,-0.0010855,0.0923592,0.0447682,0.000841041,-0.508058,-0.884465,-0.725893,2.33057,0.0461516,-0.00491962,-0.011604,0.624623,0.641764,1
