step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.00209227,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.0004938,0.0552899,-0.0469495,0.636075,0.498992,1
10,0.338366,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000479895,0.0552682,-0.0469531,0.636184,0.499053,1
20,0.517601,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000439402,0.0552353,-0.0469543,0.636234,0.499088,1
30,0.658047,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000389135,0.0552253,-0.0469601,0.63631,0.499141,1
40,0.753088,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000367778,0.0552352,-0.0469511,0.636387,0.49919,1
50,0.825146,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000357524,0.0552363,-0.0469355,0.636481,0.499243,1
60,0.85237,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000340117,0.0552297,-0.0469284,0.636614,0.499306,1
70,0.925989,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000330682,0.0552318,-0.0469433,0.636635,0.499311,1
80,0.869992,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000342753,0.0552394,-0.0469441,0.636794,0.499354,1
90,0.887578,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000355236,0.0552425,-0.0469105,0.63682,0.499357,1
100,0.841134,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000359999,0.0552445,-0.0468585,0.637001,0.499382,1
110,9.6677,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000373825,0.0552467,-0.0467596,0.637044,0.499387,1
120,16.3123,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000410161,0.0552386,-0.0466368,0.637294,0.499417,1
130,20.688,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000434306,0.0552276,-0.0465011,0.637451,0.499435,1
140,23.3868,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000432132,0.0552222,-0.0463315,0.637676,0.49946,1
150,24.9912,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000457321,0.055207,-0.0461477,0.637875,0.49948,1
160,25.8453,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000534419,0.0551796,-0.0459502,0.638021,0.499493,1
170,26.1102,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000579627,0.0551507,-0.0457205,0.638165,0.499504,1
180,26.1502,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000541902,0.0551218,-0.045463,0.638303,0.499512,1
190,25.7003,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000471862,0.0550936,-0.0451987,0.63847,0.499519,1
200,25.2451,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00039695,0.0550719,-0.0448811,0.638498,0.49952,1
210,33.9564,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000309029,0.0550635,-0.0444089,0.638539,0.499519,1
220,39.5387,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000265692,0.0550686,-0.0438079,0.638539,0.499519,1
230,43.2285,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000295952,0.0550612,-0.0431709,0.638557,0.499518,1
240,45.4923,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000313924,0.0550394,-0.0424692,0.638581,0.499516,1
250,46.9714,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000332686,0.0550705,-0.0416108,0.638581,0.499516,1
260,48.2475,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000452934,0.0551622,-0.0406307,0.638621,0.499512,1
270,49.1789,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000629096,0.0552207,-0.0395898,0.638744,0.499497,1
280,49.9558,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000680176,0.0552198,-0.038475,0.638802,0.49949,1
290,50.9766,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000607676,0.0552198,-0.0372261,0.638858,0.499484,1
300,51.7397,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000549921,0.055189,-0.0359035,0.638926,0.499478,1
310,61.8941,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000569581,0.0550815,-0.0344731,0.639071,0.499467,1
320,68.7409,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000589651,0.0549821,-0.032888,0.639249,0.499455,1
330,73.2525,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000602659,0.0549646,-0.0311505,0.63941,0.499446,1
340,75.9593,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000611503,0.0549413,-0.0294407,0.639619,0.499436,1
350,77.4332,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00056036,0.0548524,-0.027845,0.639906,0.499422,1
360,77.1389,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000399358,0.0547647,-0.026301,0.640213,0.49941,1
370,76.4398,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000258401,0.0547374,-0.024693,0.640512,0.499399,1
380,75.2626,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000204708,0.0547127,-0.0231369,0.64081,0.499389,1
390,74.2644,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.000181067,0.0546292,-0.0216909,0.641133,0.49938,1
400,73.5405,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,0.00013048,0.0545347,-0.0203443,0.641508,0.49937,1
410,81.7449,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,8.43957e-005,0.0544952,-0.0189956,0.641888,0.499362,1
420,86.8649,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-1.00464e-005,0.054471,-0.0177482,0.642219,0.499357,1
430,89.2785,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000164023,0.0544355,-0.0166137,0.642571,0.499352,1
440,89.4133,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000320091,0.0544322,-0.0155405,0.642974,0.499348,1
450,88.0811,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000442408,0.0544052,-0.0144481,0.643347,0.499345,1
