step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.0187718,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-9.61125e-007,0.0557163,-0.0413235,0.636703,0.503175,1
10,2.48891,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,1.23454e-005,0.0557303,-0.0412717,0.636703,0.503175,1
20,1.9455,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-1.96947e-006,0.0557048,-0.0411909,0.636703,0.503175,1
30,3.08539,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-9.12728e-005,0.0556276,-0.0412039,0.636703,0.503175,1
40,3.16754,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000158598,0.055556,-0.0412513,0.636703,0.503175,1
50,3.35375,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000146319,0.055556,-0.0412797,0.636703,0.503175,1
60,3.13763,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000123912,0.0555866,-0.0412524,0.636703,0.503175,1
70,3.23011,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000168368,0.0555946,-0.0412118,0.636703,0.503175,1
80,2.91306,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000222776,0.0555622,-0.0411726,0.636703,0.503175,1
90,2.86444,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000241136,0.0555356,-0.0411662,0.636729,0.503186,1
100,2.64398,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000252007,0.0555275,-0.0411739,0.636744,0.503192,1
110,11.5987,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000285154,0.0555182,-0.0411729,0.636778,0.503203,1
120,18.5185,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000291093,0.0554964,-0.0410931,0.636784,0.503204,1
130,22.7759,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000297137,0.0555031,-0.0409556,0.636833,0.503215,1
140,25.2993,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000379694,0.0555199,-0.0408482,0.63685,0.503218,1
150,26.5622,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000484496,0.0555006,-0.0408382,0.636857,0.503219,1
160,27.0837,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000491402,0.0554637,-0.0408421,0.636893,0.503222,1
170,26.9699,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000438285,0.0554608,-0.0407872,0.636924,0.503224,1
180,26.6785,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000420952,0.0554598,-0.0407048,0.63695,0.503224,1
190,25.9595,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000432247,0.0554212,-0.040689,0.636965,0.503223,1
200,25.3896,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000408259,0.0553664,-0.0407482,0.637019,0.503219,1
210,33.3584,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000352634,0.0553237,-0.040875,0.637164,0.503202,1
220,38.7073,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000297529,0.0552837,-0.0410751,0.637324,0.503177,1
230,41.165,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000253717,0.0552241,-0.0413006,0.637383,0.503165,1
240,42.5181,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000248875,0.0551647,-0.0414921,0.637497,0.503136,1
250,42.3303,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00034878,0.0551287,-0.0417159,0.637672,0.503088,1
260,41.7343,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000514212,0.0550996,-0.042122,0.637887,0.503022,1
270,40.6053,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000548996,0.0550493,-0.0426355,0.638008,0.50298,1
280,39.3224,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000346537,0.0550401,-0.0430627,0.638219,0.502903,1
