step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.0168589,1.02142,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-7.39768e-005,0.0557306,-0.0380818,0.636364,0.503093,1
10,2.38814,1.02144,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-9.43552e-005,0.0557032,-0.0381004,0.6365,0.503143,1
20,2.66669,1.02146,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000106456,0.0556517,-0.0381239,0.636504,0.503145,1
30,3.44226,1.02146,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-7.50072e-005,0.0556012,-0.0381271,0.636519,0.503148,1
40,3.63725,1.0215,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000136214,0.0555934,-0.0381637,0.636699,0.503186,1
50,3.44113,1.02157,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000217245,0.0556151,-0.0382347,0.636849,0.503212,1
60,3.23961,1.02163,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000219776,0.0556296,-0.038299,0.636989,0.503232,1
70,3.23733,1.02167,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000168266,0.0556123,-0.0383345,0.637155,0.503251,1
80,2.89133,1.02171,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000187599,0.0555937,-0.0383799,0.637338,0.503265,1
90,2.86026,1.02177,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000241957,0.055587,-0.0384411,0.637479,0.50327,1
100,2.67232,1.02182,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000278963,0.0555876,-0.0384874,0.637618,0.50327,1
110,11.5675,1.02184,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000299505,0.0555794,-0.0385082,0.637823,0.503262,1
120,18.3954,1.02185,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000334305,0.055555,-0.038521,0.638097,0.503243,1
130,22.4941,1.02187,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000341968,0.0555121,-0.0385451,0.638355,0.503216,1
140,25.0955,1.02191,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000333753,0.0554867,-0.0385808,0.638596,0.503183,1
150,26.5568,1.02196,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000364962,0.0554984,-0.0386343,0.638861,0.503138,1
160,26.9337,1.02205,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000446804,0.055522,-0.0387264,0.639184,0.503076,1
170,26.9871,1.02216,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000462278,0.0555195,-0.038835,0.639416,0.503024,1
180,26.8726,1.02226,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000356994,0.0554897,-0.0389329,0.639537,0.502992,1
190,25.9564,1.02239,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000236305,0.055442,-0.0390661,0.639704,0.502943,1
200,25.3061,1.02261,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000189158,0.0553876,-0.0392939,0.63987,0.50289,1
210,33.2916,1.02296,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000139737,0.0553308,-0.0396454,0.639921,0.502872,1
220,38.2028,1.02341,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-2.94116e-005,0.0552759,-0.0400957,0.639941,0.502864,1
230,41.085,1.02393,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,7.0122e-006,0.0552398,-0.0406203,0.639995,0.50284,1
240,41.9678,1.02451,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-7.35136e-005,0.0552187,-0.0412069,0.640007,0.502835,1
250,42.1581,1.02519,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000170765,0.0551917,-0.0418828,0.640009,0.502833,1
260,42.1704,1.02595,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000220786,0.0551521,-0.0426529,0.640065,0.502803,1
270,41.2314,1.02676,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000271661,0.0551294,-0.043463,0.640148,0.502755,1
280,41.3091,1.02754,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-0.000194752,0.0551091,-0.0442445,0.640241,0.502699,1
290,40.6358,1.02832,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,2.486e-005,0.0550761,-0.0450258,0.640349,0.50263,1
300,41.0503,1.02914,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000286329,0.0550111,-0.0458516,0.640393,0.502601,1
310,50.3422,1.03009,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000433389,0.0549409,-0.0468077,0.640393,0.502601,1
320,57.0491,1.03119,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000520268,0.054913,-0.0479036,0.640393,0.502601,1
330,61.2688,1.03236,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.00051073,0.0549504,-0.0490797,0.640393,0.502601,1
340,65.4026,1.03356,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000530588,0.0549016,-0.0502778,0.640393,0.502601,1
350,69.342,1.03478,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000553966,0.0547419,-0.0515086,0.640393,0.502601,1
360,73.6976,1.03606,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000554266,0.0546527,-0.0527942,0.640393,0.502601,1
370,78.6978,1.03744,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000402874,0.0547558,-0.054171,0.640393,0.502601,1
380,84.1114,1.03885,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,0.000261094,0.0548492,-0.0555831,0.640393,0.502601,1
390,87.8218,1.04008,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,9.86788e-005,0.0548503,-0.0568193,0.640393,0.502601,1
400,91.514,1.04104,0,0,0,-5.36442e-008,7.58605e-009,0.981818,0,0,0,-4.64529e-006,0.0548462,-0.0577716,0.640393,0.502601,1
