step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
0	0.0179129	-2623.5	-2623.48	-2623.5	0	0	0	1	1	
10	2.12077	-2625.32	-2623.89	-2625.31	0	0	0	0	0	
20	2.28163	-2625.87	-2624.34	-2625.86	0	0	0	0	0	
30	2.99935	-2627.19	-2625.17	-2627.19	0	0	0	0	0	
40	3.38024	-2628.16	-2625.88	-2628.15	0	0	0	0	0	
50	3.38687	-2628.85	-2626.57	-2628.85	0	0	0	0	0	
60	3.19067	-2629.7	-2627.55	-2629.71	0	0	0	0	0	
70	3.30251	-2630.62	-2628.39	-2630.62	0	0	0	0	0	
80	2.99945	-2631.22	-2629.2	-2631.22	0	0	0	0	0	
90	2.89773	-2631.85	-2629.9	-2631.86	0	0	0	0	0	
100	2.69169	-2632.44	-2630.63	-2632.44	0	0	0	0	0	
110	11.6219	-2633.04	-2625.21	-2633.06	0	0	0	0	0	
120	18.4424	-2634.03	-2621.61	-2634.07	0	0	0	0	0	
130	22.586	-2634.52	-2619.31	-2634.55	0	0	0	0	0	
140	24.947	-2634.45	-2617.65	-2634.49	0	0	0	0	0	
150	26.2549	-2634.27	-2616.59	-2634.33	0	0	0	0	0	
160	26.4877	-2633.46	-2615.62	-2633.58	0	0	0	0	0	
170	26.426	-2632.58	-2614.78	-2632.63	0	0	0	0	0	
180	26.0299	-2631.42	-2613.88	-2631.49	0	0	0	0	0	
190	25.2674	-2629.95	-2612.94	-2630.05	0	0	0	0	0	
200	24.6781	-2628.4	-2611.78	-2628.56	0	0	0	0	0	
210	32.7105	-2626.04	-2604.02	-2626.24	0	0	0	0	0	
220	37.7736	-2623.5	-2598.06	-2623.62	0	0	0	0	0	
230	40.4571	-2620.07	-2592.83	-2620.18	0	0	0	0	0	
240	41.2492	-2615.94	-2588.16	-2616.18	0	0	0	0	0	
250	41.1816	-2611.28	-2583.55	-2611.62	0	0	0	0	0	
260	40.6974	-2606.36	-2578.95	-2606.63	0	0	0	0	0	
270	39.6936	-2601.13	-2574.39	-2601.37	0	0	0	0	0	
280	38.5196	-2595.42	-2569.48	-2595.94	0	0	0	0	0	
290	37.5791	-2589.75	-2564.44	-2590.42	0	0	0	0	0	
300	36.8086	-2584.2	-2559.41	-2584.54	0	0	0	0	0	
310	45.327	-2578.05	-2547.52	-2578.21	0	0	0	0	0	
320	51.2064	-2571.77	-2537.28	-2571.92	0	0	0	0	0	
330	55.2734	-2565.49	-2528.26	-2565.55	0	0	0	0	0	
340	59.9193	-2560.34	-2519.99	-2560.34	0	0	0	0	0	
350	66.3106	-2557.64	-2512.98	-2557.62	0	0	0	0	0	
360	71.8432	-2556.2	-2507.81	-2556.15	0	0	0	0	0	
370	80.4831	-2558.26	-2504.05	-2558.2	0	0	0	0	0	
380	86.6213	-2560.56	-2502.22	-2560.5	0	0	0	0	0	
390	93.1839	-2565.15	-2502.4	-2565.11	0	0	0	0	0	
400	98.3447	-2569.98	-2503.75	-2569.95	0	0	0	0	0	
410	109.824	-2573.48	-2499.52	-2573.5	0	0	0	0	0	
420	116.256	-2576.29	-2497.99	-2576.34	0	0	0	0	0	
430	120.735	-2579.22	-2497.9	-2579.27	0	0	0	0	0	
440	121.422	-2579.99	-2498.21	-2580.25	0	0	0	0	0	
450	124.248	-2583.14	-2499.47	-2583.42	0	0	0	0	0	
460	126.067	-2585.98	-2501.07	-2586.2	0	0	0	0	0	
470	123.794	-2586.19	-2502.82	-2586.46	0	0	0	0	0	
480	124.699	-2588.12	-2504.13	-2588.18	0	0	0	0	0	
490	122.665	-2587.95	-2505.34	-2587.94	0	0	0	0	0	
500	123.362	-2589.27	-2506.19	-2589.26	0	0	0	0	0	
510	133.179	-2590.6	-2500.9	-2590.6	0	0	0	0	0	
520	138.844	-2590.86	-2497.35	-2590.86	0	0	0	0	0	
530	141.427	-2590.27	-2495.03	-2590.33	0	0	0	0	0	
540	142.876	-2589.39	-2493.16	-2589.45	0	0	0	0	0	
550	141.696	-2586.67	-2491.24	-2586.67	0	0	0	0	0	
560	141.93	-2584.89	-2489.31	-2584.89	0	0	0	0	0	
570	139.686	-2581.05	-2486.97	-2581.04	0	0	0	0	0	
580	137.915	-2576.97	-2484.09	-2576.95	0	0	0	0	0	
590	134.184	-2570.79	-2480.42	-2570.79	0	0	0	0	0	
600	131.106	-2564.61	-2476.32	-2564.6	0	0	0	0	0	
610	137.681	-2557.65	-2464.93	-2557.63	0	0	0	0	0	
620	142.298	-2550.44	-2454.6	-2550.43	0	0	0	0	0	
630	144.039	-2542.49	-2445.48	-2542.49	0	0	0	0	0	
640	149.812	-2538.18	-2437.29	-2538.19	0	0	0	0	0	
650	155.447	-2535.15	-2430.46	-2535.16	0	0	0	0	0	
660	162.743	-2534.74	-2425.13	-2534.71	0	0	0	0	0	
670	171.422	-2537.01	-2421.56	-2536.97	0	0	0	0	0	
680	175.245	-2538.11	-2420.08	-2538.1	0	0	0	0	0	
690	177.802	-2539.19	-2419.45	-2539.21	0	0	0	0	0	
700	181.688	-2541.97	-2419.6	-2541.95	0	0	0	0	0	
710	188.766	-2540.35	-2413.22	-2540.36	0	0	0	0	0	
720	197.864	-2542.36	-2409.1	-2542.49	0	0	0	0	0	
730	199.951	-2541.1	-2406.43	-2541.26	0	0	0	0	0	
740	202.722	-2541.19	-2404.66	-2541.45	0	0	0	0	0	
750	208.196	-2544.12	-2403.9	-2544.31	0	0	0	0	0	
760	212.164	-2546.96	-2404.07	-2547.03	0	0	0	0	0	
770	217.487	-2551.47	-2405	-2551.48	0	0	0	0	0	
780	222.487	-2557.37	-2407.53	-2557.37	0	0	0	0	0	
790	224.379	-2561.71	-2410.6	-2561.69	0	0	0	0	0	
800	224.287	-2565.52	-2414.47	-2565.46	0	0	0	0	0	
810	233.264	-2568.83	-2411.74	-2568.78	0	0	0	0	0	
820	234.337	-2568.22	-2410.4	-2568.22	0	0	0	0	0	
830	233.055	-2565.72	-2408.76	-2565.69	0	0	0	0	0	
840	226.842	-2559.24	-2406.47	-2559.17	0	0	0	0	0	
850	216.421	-2547.95	-2402.19	-2547.9	0	0	0	0	0	
860	205.224	-2533.05	-2394.83	-2533.01	0	0	0	0	0	
870	193.64	-2515.02	-2384.61	-2514.99	0	0	0	0	0	
880	188.342	-2498.9	-2372.06	-2498.97	0	0	0	0	0	
890	189.174	-2487.35	-2359.94	-2487.35	0	0	0	0	0	
900	190.625	-2475.59	-2347.21	-2475.59	0	0	0	0	0	
910	197.796	-2461.71	-2328.5	-2462.42	0	0	0	0	0	
920	197.634	-2444.38	-2311.28	-2444.96	0	0	0	0	0	
930	200.485	-2428.78	-2293.76	-2428.8	0	0	0	0	0	
940	206.611	-2415.83	-2276.68	-2416.1	0	0	0	0	0	
950	217.273	-2408.73	-2262.4	-2410.13	0	0	0	0	0	
960	228.642	-2405.96	-2251.98	-2406.62	0	0	0	0	0	
970	236.816	-2403.21	-2243.72	-2403.37	0	0	0	0	0	
980	234.316	-2393.12	-2235.31	-2393.33	0	0	0	0	0	
990	233.633	-2383.95	-2226.6	-2384.05	0	0	0	0	0	
1000	233.656	-2374.94	-2217.58	-2374.97	0	0	0	0	0	
1010	228.634	-2369.06	-2215.08	-2369.08	0	0	0	0	0	
1020	224.179	-2363.22	-2212.24	-2363.45	0	0	0	0	0	
1030	223.819	-2360.91	-2210.17	-2361.07	0	0	0	0	0	
1040	217.431	-2354.28	-2207.85	-2354.31	0	0	0	0	0	
1050	214.924	-2349.75	-2205	-2349.81	0	0	0	0	0	
1060	224.326	-2353.33	-2202.25	-2353.48	0	0	0	0	0	
1070	234.267	-2357.67	-2199.9	-2357.7	0	0	0	0	0	
1080	261.937	-2374.54	-2198.14	-2374.59	0	0	0	0	0	
1090	290.617	-2393.44	-2197.72	-2393.65	0	0	0	0	0	
1100	319.845	-2413.72	-2198.31	-2413.96	0	0	0	0	0	
1110	346.963	-2433.41	-2199.74	-2433.9	0	0	0	0	0	
1120	367.426	-2449.68	-2202.23	-2450.23	0	0	0	0	0	
1130	373.993	-2456.98	-2205.11	-2457.04	0	0	0	0	0	
1140	377.618	-2461.9	-2207.58	-2461.9	0	0	0	0	0	
1150	359.108	-2451.53	-2209.68	-2451.52	0	0	0	0	0	
1160	342.904	-2442.13	-2211.19	-2442.08	0	0	0	0	0	
1170	322.558	-2429.17	-2211.93	-2429.08	0	0	0	0	0	
1180	311.964	-2422.79	-2212.69	-2422.69	0	0	0	0	0	
1190	303.083	-2416.87	-2212.75	-2416.75	0	0	0	0	0	
1200	302.18	-2416.57	-2213.06	-2416.49	0	0	0	0	0	
1210	299.115	-2414.15	-2212.71	-2414.15	0	0	0	0	0	
1220	306.217	-2418.97	-2212.74	-2419.03	0	0	0	0	0	
1230	318.083	-2427.64	-2213.42	-2427.64	0	0	0	0	0	
1240	334.449	-2439.74	-2214.5	-2439.95	0	0	0	0	0	
1250	352.972	-2454.55	-2216.83	-2454.61	0	0	0	0	0	
1260	367.958	-2466.81	-2219	-2466.8	0	0	0	0	0	
1270	373.92	-2472.98	-2221.15	-2473.04	0	0	0	0	0	
1280	379.688	-2479.65	-2223.94	-2479.72	0	0	0	0	0	
1290	378.15	-2481.33	-2226.65	-2481.34	0	0	0	0	0	
1300	373.591	-2481.12	-2229.51	-2481.22	0	0	0	0	0	
1310	359	-2473.3	-2231.52	-2473.41	0	0	0	0	0	
1320	336.579	-2459.81	-2233.13	-2460.07	0	0	0	0	0	
1330	324.38	-2453.1	-2234.64	-2453.97	0	0	0	0	0	
1340	325.084	-2455.47	-2236.54	-2456.94	0	0	0	0	0	
1350	338.102	-2466.41	-2238.7	-2468.3	0	0	0	0	0	
1360	350.376	-2478.23	-2242.26	-2480.25	0	0	0	0	0	
1370	352.736	-2482.96	-2245.4	-2484.96	0	0	0	0	0	
1380	334.098	-2474.23	-2249.23	-2475.96	0	0	0	0	0	
1390	302.857	-2456.11	-2252.14	-2456.94	0	0	0	0	0	
1400	258.18	-2426.14	-2252.26	-2426.46	0	0	0	0	0	
1410	217.595	-2397.17	-2250.62	-2397.25	0	0	0	0	0	
1420	195.235	-2378.87	-2247.38	-2378.86	0	0	0	0	0	
1430	197.759	-2376.98	-2243.8	-2376.95	0	0	0	0	0	
