step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.0179129,1.02382,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-7.92245e-007,0.0557951,-0.0404818,0.637453,0.503679,1
10,2.12077,1.0238,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,1.59663e-005,0.055806,-0.0404594,0.637453,0.503679,1
20,2.28163,1.02376,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-1.372e-005,0.0557758,-0.0404231,0.637453,0.503679,1
30,2.99935,1.02375,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-6.14839e-005,0.0557041,-0.0404198,0.637453,0.503679,1
40,3.38024,1.02374,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000124716,0.0556388,-0.0404074,0.637453,0.503679,1
50,3.38687,1.02371,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000145703,0.0556303,-0.0403772,0.637453,0.503679,1
60,3.19067,1.02368,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000169248,0.0556504,-0.0403524,0.637459,0.50368,1
70,3.30251,1.0237,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000191568,0.0556654,-0.0403637,0.637464,0.503681,1
80,2.99945,1.02371,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000235317,0.0556378,-0.0403742,0.63747,0.503682,1
90,2.89773,1.02369,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000263813,0.055597,-0.0403596,0.63751,0.503685,1
100,2.69169,1.02365,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000289535,0.0555747,-0.0403241,0.637525,0.503685,1
110,11.6219,1.02359,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000327575,0.0555632,-0.0402612,0.637573,0.503685,1
120,18.4424,1.02347,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000376039,0.0555387,-0.0401481,0.637649,0.503682,1
130,22.586,1.02334,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.00037662,0.0555363,-0.04001,0.637717,0.503675,1
140,24.947,1.02323,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.00038816,0.0555553,-0.0399032,0.637873,0.50365,1
150,26.2549,1.02317,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000460137,0.0555495,-0.0398465,0.637992,0.503626,1
160,26.4877,1.02309,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000526089,0.0555127,-0.0397612,0.638163,0.503586,1
170,26.426,1.02295,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000495798,0.0554837,-0.0396267,0.638269,0.503556,1
180,26.0299,1.02284,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000446872,0.0554565,-0.0395165,0.6384,0.503513,1
190,25.2674,1.0228,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000452183,0.0554252,-0.0394771,0.638555,0.503456,1
200,24.6781,1.02279,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000449625,0.055396,-0.0394666,0.638756,0.503375,1
210,32.7105,1.02279,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000401614,0.0553502,-0.0394758,0.63898,0.503277,1
220,37.7736,1.02286,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000358991,0.0552782,-0.0395519,0.63915,0.503195,1
230,40.4571,1.02301,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000365473,0.0551947,-0.0396968,0.639312,0.50311,1
240,41.2492,1.02318,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000387334,0.0551115,-0.0398729,0.63957,0.502963,1
250,41.1816,1.0234,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000478582,0.0550442,-0.0401041,0.639859,0.502791,1
260,40.6974,1.02378,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000613074,0.05502,-0.0404859,0.640114,0.502629,1
270,39.6936,1.02427,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000693611,0.0550008,-0.0409752,0.640353,0.502469,1
280,38.5196,1.0247,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000574674,0.0549604,-0.0414076,0.6407,0.502226,1
290,37.5791,1.02502,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000378692,0.0548872,-0.0417349,0.641092,0.501943,1
300,36.8086,1.02546,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000224012,0.0547653,-0.0421735,0.641366,0.501736,1
310,45.327,1.02606,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000169049,0.0545888,-0.0427899,0.641549,0.501592,1
320,51.2064,1.0267,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-3.52172e-005,0.0544707,-0.0434316,0.641728,0.501444,1
330,55.2734,1.02734,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,7.51781e-005,0.0543932,-0.0440843,0.641837,0.501349,1
340,59.9193,1.02828,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,0.000112319,0.0542694,-0.0450309,0.641837,0.501349,1
350,66.3106,1.02934,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,7.81143e-005,0.0541074,-0.0460958,0.641837,0.501349,1
360,71.8432,1.03023,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,0.000121427,0.0540291,-0.0469944,0.641837,0.501349,1
370,80.4831,1.03105,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-4.13944e-005,0.0539971,-0.047816,0.641837,0.501349,1
380,86.6213,1.03211,0,0,0,-1.80169e-008,1.08372e-009,0.981818,0,0,0,-0.000325167,0.0540367,-0.048872,0.641837,0.501349,1
