step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
0	0.0035028	-2627.32	-2627.32	-2627.33	0	0	0	1	1	
10	0.539677	-2627.66	-2627.29	-2627.65	0	0	0	0	0	
20	0.697144	-2628.04	-2627.57	-2628.03	0	0	0	0	0	
30	1.00393	-2628.46	-2627.79	-2628.45	0	0	0	0	0	
40	1.33041	-2628.99	-2628.09	-2628.97	0	0	0	0	0	
50	1.45107	-2629.42	-2628.45	-2629.41	0	0	0	0	0	
60	1.58802	-2629.92	-2628.85	-2629.91	0	0	0	0	0	
70	1.67443	-2630.26	-2629.13	-2630.25	0	0	0	0	0	
80	1.7055	-2630.98	-2629.83	-2630.97	0	0	0	0	0	
90	1.74972	-2631.45	-2630.27	-2631.45	0	0	0	0	0	
100	1.72552	-2631.88	-2630.72	-2631.88	0	0	0	0	0	
110	11.0482	-2632.6	-2625.16	-2632.6	0	0	0	0	0	
120	18.2264	-2633.75	-2621.48	-2633.76	0	0	0	0	0	
130	23.1392	-2634.92	-2619.33	-2634.93	0	0	0	0	0	
140	26.2141	-2635.92	-2618.26	-2635.94	0	0	0	0	0	
150	28.0895	-2636.49	-2617.57	-2636.55	0	0	0	0	0	
160	29.0682	-2637	-2617.42	-2637.06	0	0	0	0	0	
170	29.4146	-2637.24	-2617.43	-2637.3	0	0	0	0	0	
180	29.3394	-2637.11	-2617.35	-2637.2	0	0	0	0	0	
190	28.9561	-2636.68	-2617.18	-2636.78	0	0	0	0	0	
200	28.5348	-2636.2	-2616.98	-2636.3	0	0	0	0	0	
210	37.3269	-2635.48	-2610.34	-2635.62	0	0	0	0	0	
220	43.1879	-2634.53	-2605.44	-2634.66	0	0	0	0	0	
230	47.0613	-2633.62	-2601.93	-2633.71	0	0	0	0	0	
240	49.4052	-2632.43	-2599.15	-2632.54	0	0	0	0	0	
250	50.7833	-2631.02	-2596.82	-2631.16	0	0	0	0	0	
260	51.3858	-2629.34	-2594.74	-2629.45	0	0	0	0	0	
270	51.4607	-2627.37	-2592.72	-2627.46	0	0	0	0	0	
280	51.2056	-2624.98	-2590.5	-2625.13	0	0	0	0	0	
290	50.6857	-2622.52	-2588.39	-2622.69	0	0	0	0	0	
300	50.2605	-2619.91	-2586.06	-2620.05	0	0	0	0	0	
310	58.7457	-2616.99	-2577.42	-2617.16	0	0	0	0	0	
320	64.1121	-2613.67	-2570.49	-2613.9	0	0	0	0	0	
330	67.0353	-2609.79	-2564.64	-2610.03	0	0	0	0	0	
340	68.3098	-2605.15	-2559.15	-2605.42	0	0	0	0	0	
350	68.7662	-2600.14	-2553.83	-2600.37	0	0	0	0	0	
360	68.4701	-2594.91	-2548.8	-2595.04	0	0	0	0	0	
370	68.1354	-2589.5	-2543.61	-2589.61	0	0	0	0	0	
380	67.8243	-2583.76	-2538.08	-2583.86	0	0	0	0	0	
390	67.6545	-2578.17	-2532.61	-2578.27	0	0	0	0	0	
400	68.2136	-2573.1	-2527.16	-2573.16	0	0	0	0	0	
410	78.0507	-2568.05	-2515.48	-2568.08	0	0	0	0	0	
420	85.1652	-2563.35	-2506	-2563.37	0	0	0	0	0	
430	90.2243	-2558.57	-2497.8	-2558.58	0	0	0	0	0	
440	93.4782	-2553.7	-2490.75	-2553.76	0	0	0	0	0	
450	95.5828	-2548.75	-2484.38	-2548.83	0	0	0	0	0	
460	96.3895	-2543.35	-2478.43	-2543.4	0	0	0	0	0	
470	96.6967	-2537.67	-2472.55	-2537.75	0	0	0	0	0	
480	96.173	-2531.72	-2466.95	-2531.82	0	0	0	0	0	
490	95.3712	-2525.22	-2460.99	-2525.36	0	0	0	0	0	
500	94.7022	-2518.77	-2454.99	-2518.93	0	0	0	0	0	
510	103.166	-2511.66	-2442.18	-2511.81	0	0	0	0	0	
