step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.00211544,1.03403,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000217207,0.0551641,-0.0507365,0.635813,0.499591,1
10,0.388181,1.034,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000222372,0.0551645,-0.0507082,0.635898,0.499646,1
20,0.523935,1.0339,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000234041,0.0551592,-0.0506048,0.63592,0.499658,1
30,0.85663,1.03375,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000258225,0.0551479,-0.050462,0.63592,0.499658,1
40,1.05063,1.03364,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000267403,0.0551592,-0.0503483,0.635944,0.499664,1
50,1.18649,1.03356,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000266637,0.0551894,-0.050268,0.635959,0.499665,1
60,1.27941,1.03342,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000265268,0.0552114,-0.0501262,0.635959,0.499665,1
70,1.34987,1.03321,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00026664,0.0552113,-0.0499115,0.635959,0.499665,1
80,1.3633,1.033,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000252809,0.0552073,-0.0497104,0.635965,0.499661,1
90,1.40241,1.03287,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00023817,0.0552072,-0.0495764,0.635981,0.499643,1
100,1.40357,1.03274,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000236309,0.0552076,-0.0494469,0.635981,0.499643,1
110,10.6744,1.03239,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000245565,0.0552025,-0.0490902,0.636013,0.499568,1
120,17.9175,1.03181,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000233289,0.0551983,-0.04851,0.636023,0.499545,1
130,22.8968,1.03115,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000211326,0.0551904,-0.0478565,0.636059,0.499474,1
140,26.0949,1.03046,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000196718,0.0551705,-0.0471653,0.636093,0.499417,1
150,28.0704,1.02974,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000166005,0.0551439,-0.0464464,0.636149,0.499334,1
160,29.1319,1.02904,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,9.85173e-005,0.0551267,-0.0457405,0.636212,0.499249,1
170,29.6041,1.02836,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,3.00277e-005,0.0551065,-0.0450599,0.636275,0.49917,1
180,29.7018,1.02764,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-1.90961e-005,0.0550632,-0.0443478,0.636346,0.499089,1
190,29.5145,1.0269,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-6.46957e-005,0.0550144,-0.0436084,0.636433,0.498997,1
200,29.2295,1.02623,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000113317,0.0549911,-0.0429347,0.636525,0.498903,1
210,38.2528,1.02559,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000159352,0.0549742,-0.0422979,0.636611,0.498823,1
220,44.2802,1.02487,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000214136,0.0549251,-0.041581,0.636704,0.49874,1
230,48.1944,1.02405,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000294927,0.054862,-0.0407606,0.636805,0.498656,1
240,50.63,1.02325,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000384215,0.0548227,-0.0399603,0.636909,0.498572,1
250,52.0735,1.02254,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000469217,0.0547924,-0.0392559,0.637027,0.498481,1
260,52.7841,1.02187,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000553515,0.0547334,-0.0385883,0.637157,0.498386,1
270,53.0059,1.02119,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000626063,0.0546583,-0.0379099,0.637288,0.498294,1
280,52.8209,1.02057,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000645191,0.0545952,-0.0372926,0.637433,0.498196,1
290,52.2918,1.02003,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000640999,0.0545511,-0.0367491,0.637593,0.49809,1
300,51.5657,1.01949,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.00067762,0.0545194,-0.0362157,0.637754,0.497989,1
310,59.7485,1.01892,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000765722,0.0545026,-0.0356442,0.637932,0.49788,1
320,64.5621,1.0184,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000830439,0.0544754,-0.0351233,0.638153,0.497749,1
330,66.8297,1.01793,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000857876,0.0544188,-0.0346537,0.638414,0.497597,1
340,67.4505,1.01741,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000881977,0.0543569,-0.0341428,0.6387,0.497435,1
350,67.2115,1.01682,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000918223,0.0543313,-0.0335471,0.639001,0.49727,1
360,66.1671,1.01624,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000921765,0.0543042,-0.0329706,0.639235,0.497144,1
370,65.1177,1.01565,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000896525,0.0542252,-0.032387,0.639458,0.497028,1
380,64.125,1.01498,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000853802,0.0541085,-0.031715,0.639673,0.496919,1
390,63.5889,1.0142,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000808916,0.0540159,-0.0309444,0.639868,0.496822,1
400,63.9582,1.01346,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000756886,0.0539563,-0.0302025,0.640015,0.496752,1
410,73.9456,1.01264,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000702039,0.0539165,-0.0293859,0.640111,0.496707,1
420,81.6363,1.01163,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.00059943,0.0538701,-0.0283773,0.64018,0.496676,1
430,87.6115,1.01048,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000446884,0.0538142,-0.0272246,0.640239,0.49665,1
440,92.2803,1.0094,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000289357,0.0537916,-0.0261444,0.64029,0.496629,1
450,95.962,1.00833,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-0.000170993,0.0538675,-0.0250735,0.640353,0.496603,1
460,98.7126,1.00715,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,-4.2262e-005,0.0539911,-0.023886,0.640383,0.496591,1
470,100.778,1.00587,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000145296,0.0540703,-0.0225925,0.640473,0.496556,1
480,101.862,1.00467,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000386956,0.0541021,-0.0213975,0.640579,0.496517,1
490,102.055,1.00356,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000640125,0.0541662,-0.0202757,0.640747,0.496457,1
500,101.217,1.00244,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.000913703,0.054271,-0.0191466,0.640951,0.496387,1
510,108.795,1.00125,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00124326,0.0543928,-0.0179561,0.641162,0.496318,1
520,113.137,1.0001,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00157084,0.0545109,-0.0167952,0.641384,0.496248,1
530,116.355,0.998943,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00177525,0.0546257,-0.0156282,0.641637,0.496171,1
540,119.713,0.997762,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00187761,0.0547184,-0.01444,0.641884,0.496099,1
550,123.589,0.996608,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00203122,0.0547983,-0.01328,0.642093,0.49604,1
560,127.18,0.995551,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00222685,0.0548527,-0.0122182,0.64231,0.495982,1
570,130.286,0.994492,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.0023635,0.0548636,-0.0111564,0.642561,0.495916,1
580,133.356,0.993401,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.0025712,0.0548412,-0.0100647,0.642803,0.495856,1
590,137.48,0.992433,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00306444,0.054849,-0.00909291,0.643023,0.495803,1
600,141.644,0.991735,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00365885,0.0548566,-0.00839191,0.643238,0.495753,1
610,156.289,0.991248,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00407204,0.0547969,-0.0079053,0.643432,0.495709,1
620,167.748,0.990852,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.0043908,0.0547088,-0.00751209,0.643608,0.495671,1
630,178.165,0.990577,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00478348,0.0546973,-0.00723572,0.64379,0.495634,1
640,188.097,0.990544,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00508054,0.0547449,-0.00719881,0.64396,0.495601,1
650,196.736,0.99085,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00517748,0.0547882,-0.00750273,0.644103,0.495575,1
660,203.96,0.991432,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00528117,0.0548288,-0.00808262,0.644249,0.495551,1
670,208.368,0.992207,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00549845,0.0548464,-0.00885628,0.644423,0.495523,1
680,210.451,0.993099,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00571335,0.0547865,-0.00975159,0.64461,0.495496,1
690,210.291,0.99413,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00592892,0.0546412,-0.0107916,0.644774,0.495476,1
700,207.624,0.995312,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00621177,0.0544524,-0.0119836,0.644909,0.495461,1
710,213.303,0.996734,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00641228,0.0542248,-0.013419,0.644929,0.495457,1
720,214.131,0.99836,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.0064315,0.0539898,-0.0150604,0.64496,0.495451,1
730,211.705,1.00005,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00638673,0.0537808,-0.0167689,0.64496,0.495451,1
740,207.678,1.00164,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00634933,0.0536139,-0.0183627,0.64496,0.495451,1
750,202.258,1.00318,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00616224,0.0534705,-0.019919,0.64496,0.495451,1
760,196.798,1.00478,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00583066,0.0533954,-0.0215254,0.64496,0.495451,1
770,191.607,1.00639,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00550476,0.0534244,-0.0231338,0.64496,0.495451,1
780,187.137,1.0078,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00526873,0.0535756,-0.024544,0.64496,0.495451,1
790,184.14,1.00906,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00501524,0.0537964,-0.0257896,0.64496,0.495451,1
800,182.305,1.01022,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00475803,0.0540777,-0.0269449,0.64496,0.495451,1
810,190.573,1.01134,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00452809,0.0544119,-0.0280472,0.64496,0.495451,1
820,196.368,1.01232,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00431802,0.0547906,-0.0290117,0.64496,0.495451,1
830,199.499,1.01322,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00402857,0.0551471,-0.0298876,0.64496,0.495451,1
840,200.552,1.014,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00375021,0.0554944,-0.0306583,0.64496,0.495451,1
850,198.732,1.01465,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00353423,0.0558076,-0.0312881,0.64496,0.495451,1
860,193.764,1.01513,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00331831,0.0560034,-0.0317572,0.64496,0.495451,1
870,187.551,1.0156,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00299515,0.0560008,-0.0322314,0.64496,0.495451,1
880,180.273,1.01608,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00272333,0.0558866,-0.0327199,0.64496,0.495451,1
890,174.344,1.01647,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00256685,0.0556863,-0.0331196,0.64496,0.495451,1
900,170.851,1.01666,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00244633,0.0553739,-0.0333322,0.64496,0.495451,1
910,178.9,1.01677,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00229713,0.0549338,-0.033468,0.64496,0.495451,1
920,189.008,1.01684,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00223155,0.0544598,-0.0335582,0.64496,0.495451,1
930,202.348,1.01684,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00214019,0.0539877,-0.0335805,0.64496,0.495451,1
940,219.655,1.01672,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00199342,0.0536203,-0.0334874,0.64496,0.495451,1
950,239.204,1.01654,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00201447,0.0534172,-0.0333178,0.64496,0.495451,1
960,256.637,1.01626,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00236867,0.0533672,-0.0330353,0.64496,0.495451,1
970,271.264,1.01581,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.0027727,0.0534042,-0.0325851,0.64496,0.495451,1
980,281.423,1.01517,0,0,0,-1.21919e-008,4.33488e-009,0.981818,0,0,0,0.00315528,0.0536043,-0.0319347,0.64496,0.495451,1
