step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.0119021,1.02768,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.000105965,0.0556995,-0.0443505,0.636786,0.502391,1
10,1.58472,1.02768,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,5.53738e-005,0.0556538,-0.0443544,0.636786,0.502391,1
20,1.85562,1.02763,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-3.87072e-005,0.0555667,-0.0443087,0.636786,0.502391,1
30,2.25328,1.02752,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-8.82804e-005,0.0554675,-0.0442052,0.636786,0.502391,1
40,2.79931,1.02743,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-9.84234e-005,0.0554254,-0.0441175,0.636786,0.502391,1
50,2.88102,1.02738,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000109174,0.0554307,-0.0440662,0.636786,0.502391,1
60,2.92727,1.02729,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000149619,0.0554635,-0.0439726,0.63682,0.502395,1
70,3.01888,1.02715,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000191366,0.055477,-0.0438299,0.636861,0.502397,1
80,2.87204,1.02703,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000215482,0.0554672,-0.043717,0.636908,0.502397,1
90,2.79244,1.02697,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000218534,0.0554315,-0.0436583,0.63707,0.502386,1
100,2.64118,1.02689,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00022628,0.0554019,-0.0435741,0.637108,0.502381,1
110,11.7279,1.02665,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000261017,0.0553777,-0.0433357,0.637256,0.502351,1
120,18.6739,1.02631,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000315402,0.0553705,-0.042994,0.637366,0.502319,1
130,23.035,1.02598,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000354506,0.0553666,-0.0426691,0.637536,0.502259,1
140,25.6677,1.02566,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000384517,0.0553723,-0.0423422,0.637697,0.50219,1
150,26.932,1.0253,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000416643,0.0553806,-0.0419875,0.637865,0.502109,1
160,27.2493,1.02495,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000454261,0.0553712,-0.0416337,0.638072,0.501998,1
170,27.3089,1.02459,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000494119,0.0553164,-0.0412796,0.638258,0.501887,1
180,26.7996,1.0242,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000531581,0.0552506,-0.0408877,0.638414,0.501782,1
190,26.1127,1.02381,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000553802,0.0552165,-0.0405007,0.638597,0.50165,1
200,25.5231,1.02352,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000560852,0.0551915,-0.0402088,0.638789,0.5015,1
210,33.6725,1.02328,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000550151,0.0551187,-0.0399807,0.638954,0.501361,1
220,38.8449,1.023,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000515403,0.0550095,-0.0397058,0.639118,0.501213,1
230,41.65,1.02266,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000506769,0.0549188,-0.0393667,0.639307,0.501032,1
240,42.8771,1.02236,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000574051,0.0548372,-0.0390731,0.63949,0.500848,1
250,43.037,1.02217,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000683088,0.0547588,-0.0388865,0.639655,0.500674,1
260,42.7651,1.02204,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000765828,0.0547042,-0.03876,0.639849,0.500465,1
270,41.8005,1.02192,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000831823,0.0546808,-0.0386411,0.640098,0.500192,1
280,41.0379,1.02182,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000862735,0.0546418,-0.0385353,0.640362,0.499898,1
290,40.3952,1.02168,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000825654,0.0545893,-0.0383992,0.640576,0.499656,1
300,40.7037,1.02146,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000734706,0.0544935,-0.0381875,0.640716,0.499493,1
310,49.2613,1.0212,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00068407,0.0543403,-0.0379352,0.640847,0.499339,1
320,55.8663,1.02105,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000709581,0.0541412,-0.037795,0.640996,0.499166,1
330,60.7232,1.02104,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000827174,0.053977,-0.0377921,0.641103,0.499038,1
340,64.5141,1.02105,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000949872,0.0538422,-0.0378125,0.64116,0.498963,1
350,69.4762,1.02099,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000995477,0.0537807,-0.0377574,0.64116,0.498963,1
360,74.1209,1.02094,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000979409,0.0537547,-0.0377073,0.64116,0.498963,1
370,78.2679,1.02092,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.001072,0.0537036,-0.0376915,0.64116,0.498963,1
380,82.409,1.02091,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00124618,0.0535881,-0.0376883,0.64116,0.498963,1
390,85.289,1.02089,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00136169,0.0535599,-0.0376666,0.64116,0.498963,1
400,88.2446,1.0209,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00135366,0.0536242,-0.0376762,0.64116,0.498963,1
410,99.1366,1.02086,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00132767,0.0537343,-0.0376296,0.64116,0.498963,1
420,106.863,1.02068,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00128036,0.0538602,-0.0374355,0.641236,0.498897,1
430,110.682,1.02034,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00121372,0.0540866,-0.0370914,0.641236,0.498897,1
440,112.967,1.02004,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.00109539,0.05431,-0.0367711,0.641281,0.498843,1
450,113.377,1.0198,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000929917,0.0544886,-0.0365214,0.641368,0.498744,1
460,114.141,1.01951,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000746519,0.0546829,-0.0362273,0.641401,0.498702,1
470,112.962,1.01903,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000678865,0.0549554,-0.0357311,0.64151,0.498558,1
480,111.655,1.01844,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000645844,0.0550655,-0.035136,0.641579,0.498465,1
490,111.844,1.01787,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000501251,0.0549528,-0.034564,0.641579,0.498465,1
500,110.945,1.01729,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-0.000242761,0.0548566,-0.0339916,0.641579,0.498465,1
510,121.105,1.01664,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,-1.83534e-005,0.0549644,-0.0333353,0.641621,0.498413,1
520,128.292,1.01599,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.000170971,0.0550255,-0.0326815,0.641621,0.498413,1
530,131.979,1.01536,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.000390709,0.0549362,-0.0320514,0.641621,0.498413,1
540,135.831,1.01467,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.000691944,0.0548557,-0.0313686,0.64166,0.498358,1
550,137.873,1.01398,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.000934828,0.0548489,-0.0306816,0.641699,0.498306,1
560,138.779,1.01346,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.00101079,0.0547665,-0.0301606,0.641699,0.498306,1
570,141.429,1.01315,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.00106197,0.0546904,-0.0298509,0.641699,0.498306,1
580,141.195,1.01296,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.00126536,0.0547261,-0.0296626,0.641699,0.498306,1
590,140.585,1.01286,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.00137902,0.0547598,-0.0295594,0.641699,0.498306,1
600,141.651,1.01289,0,0,0,-3.16988e-008,3.52209e-009,0.981818,0,0,0,0.00126157,0.05468,-0.0295942,0.641699,0.498306,1
