step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
0	0.00899837	-2627.74	-2627.73	-2627.74	0	0	0	0	0	
10	1.61411	-2629.01	-2627.92	-2629.01	0	0	0	0	0	
20	1.54675	-2629.39	-2628.35	-2629.39	0	0	0	0	0	
30	1.52269	-2629.63	-2628.61	-2629.63	0	0	0	0	0	
40	1.88374	-2630.45	-2629.18	-2630.45	0	0	0	0	0	
50	1.56321	-2630.77	-2629.72	-2630.77	0	0	0	0	0	
60	1.51261	-2631.14	-2630.12	-2631.14	0	0	0	0	0	
70	1.59773	-2631.94	-2630.86	-2631.94	0	0	0	0	0	
80	1.2589	-2632.08	-2631.23	-2632.08	0	0	0	0	0	
90	1.21112	-2632.37	-2631.56	-2632.37	0	0	0	0	0	
100	1.1329	-2632.61	-2631.85	-2632.61	0	0	0	0	0	
110	2.91467	-2632.5	-2630.53	-2632.5	0	0	0	0	0	
120	4.42241	-2633.02	-2630.04	-2633.02	0	0	0	0	0	
130	5.32866	-2633.48	-2629.89	-2633.48	0	0	0	0	0	
140	5.93021	-2633.91	-2629.91	-2633.91	0	0	0	0	0	
150	6.42154	-2634.24	-2629.91	-2634.24	0	0	0	0	0	
160	6.60775	-2634.67	-2630.22	-2634.67	0	0	0	0	0	
170	6.67544	-2634.96	-2630.47	-2634.96	0	0	0	0	0	
180	6.66886	-2635.13	-2630.64	-2635.13	0	0	0	0	0	
190	6.61499	-2635.26	-2630.81	-2635.26	0	0	0	0	0	
200	6.60677	-2635.41	-2630.96	-2635.41	0	0	0	0	0	
210	8.44715	-2635.65	-2629.97	-2635.65	0	0	0	0	0	
220	9.50574	-2635.6	-2629.2	-2635.6	0	0	0	0	0	
230	10.3823	-2635.79	-2628.8	-2635.79	0	0	0	0	0	
240	10.8925	-2635.79	-2628.46	-2635.79	0	0	0	0	0	
250	11.1864	-2635.6	-2628.07	-2635.6	0	0	0	0	0	
260	11.4556	-2635.58	-2627.86	-2635.58	0	0	0	0	0	
270	11.5327	-2635.64	-2627.87	-2635.64	0	0	0	0	0	
