step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
0,0.00899837,0,0,0,-0.00013752,-0.000322695,0.485705,0.000272103,0.0550097,-0.0392863
10,1.61411,0,0,0,-0.00013752,-0.000322695,0.485705,0.000285931,0.0550105,-0.0390894
20,1.54675,0,0,0,-0.00013752,-0.000322695,0.485705,0.000324051,0.055016,-0.0387115
30,1.52269,0,0,0,-0.00013752,-0.000322695,0.485705,0.000388539,0.0549994,-0.03845
40,1.88374,0,0,0,-0.00013752,-0.000322695,0.485705,0.000419987,0.0549992,-0.0384551
50,1.56321,0,0,0,-0.00013752,-0.000322695,0.485705,0.000436835,0.0549906,-0.0385577
60,1.51261,0,0,0,-0.00013752,-0.000322695,0.485705,0.000472806,0.0549691,-0.0384915
70,1.59773,0,0,0,-0.00013752,-0.000322695,0.485705,0.000518865,0.0549324,-0.0382416
80,1.2589,0,0,0,-0.00013752,-0.000322695,0.485705,0.00051818,0.0549136,-0.038047
90,1.21112,0,0,0,-0.00013752,-0.000322695,0.485705,0.000497692,0.0549048,-0.0380461
100,1.1329,0,0,0,-0.00013752,-0.000322695,0.485705,0.000491088,0.0549045,-0.0381229
110,2.91467,0,0,0,-0.00013752,-0.000322695,0.485705,0.000487329,0.0548994,-0.0381134
120,4.42241,0,0,0,-0.00013752,-0.000322695,0.485705,0.000460518,0.0549015,-0.037958
130,5.32866,0,0,0,-0.00013752,-0.000322695,0.485705,0.000456923,0.0549102,-0.0377554
140,5.93021,0,0,0,-0.00013752,-0.000322695,0.485705,0.00048574,0.0549242,-0.0376172
150,6.42154,0,0,0,-0.00013752,-0.000322695,0.485705,0.000484523,0.0549235,-0.037564
160,6.60775,0,0,0,-0.00013752,-0.000322695,0.485705,0.00043581,0.0549066,-0.0375559
170,6.67544,0,0,0,-0.00013752,-0.000322695,0.485705,0.000405249,0.0548687,-0.0375067
180,6.66886,0,0,0,-0.00013752,-0.000322695,0.485705,0.000404281,0.0548285,-0.0373307
190,6.61499,0,0,0,-0.00013752,-0.000322695,0.485705,0.000380058,0.0548182,-0.0370741
200,6.60677,0,0,0,-0.00013752,-0.000322695,0.485705,0.000336102,0.0548394,-0.0368944
210,8.44715,0,0,0,-0.00013752,-0.000322695,0.485705,0.000323524,0.0548477,-0.036821
220,9.50574,0,0,0,-0.00013752,-0.000322695,0.485705,0.000336207,0.0548252,-0.0366852
230,10.3823,0,0,0,-0.00013752,-0.000322695,0.485705,0.000318746,0.0548122,-0.0363747
240,10.8925,0,0,0,-0.00013752,-0.000322695,0.485705,0.000293212,0.0548203,-0.0360166
250,11.1864,0,0,0,-0.00013752,-0.000322695,0.485705,0.000291893,0.0548284,-0.0357738
260,11.4556,0,0,0,-0.00013752,-0.000322695,0.485705,0.000267784,0.0548213,-0.0356144
270,11.5327,0,0,0,-0.00013752,-0.000322695,0.485705,0.000175114,0.0548113,-0.0354152
280,11.4886,0,0,0,-0.00013752,-0.000322695,0.485705,9.64804e-005,0.0547878,-0.0351436
290,11.7264,0,0,0,-0.00013752,-0.000322695,0.485705,7.54984e-005,0.0547652,-0.0348427
300,11.7269,0,0,0,-0.00013752,-0.000322695,0.485705,5.59406e-005,0.0547523,-0.0345376
310,13.4943,0,0,0,-0.00013752,-0.000322695,0.485705,1.31479e-006,0.0547569,-0.0342527
320,14.8177,0,0,0,-0.00013752,-0.000322695,0.485705,1.3492e-005,0.0547389,-0.0340401
330,15.4135,0,0,0,-0.00013752,-0.000322695,0.485705,0.000113367,0.0546955,-0.0338698
340,15.8398,0,0,0,-0.00013752,-0.000322695,0.485705,0.000210455,0.0546457,-0.0336144
350,16.073,0,0,0,-0.00013752,-0.000322695,0.485705,0.000236562,0.0546354,-0.033268
360,15.857,0,0,0,-0.00013752,-0.000322695,0.485705,0.000246392,0.0546222,-0.032981
370,15.7569,0,0,0,-0.00013752,-0.000322695,0.485705,0.000231338,0.0545879,-0.0328091
380,15.503,0,0,0,-0.00013752,-0.000322695,0.485705,0.000186947,0.0545434,-0.0326082
390,15.153,0,0,0,-0.00013752,-0.000322695,0.485705,0.000167362,0.0545356,-0.0322779
400,14.7842,0,0,0,-0.00013752,-0.000322695,0.485705,0.000232731,0.0545409,-0.0318927
410,16.0867,0,0,0,-0.00013752,-0.000322695,0.485705,0.000283484,0.0545879,-0.0315294
420,16.7916,0,0,0,-0.00013752,-0.000322695,0.485705,0.000273372,0.054672,-0.0311773
430,17.2847,0,0,0,-0.00013752,-0.000322695,0.485705,0.000273538,0.0547554,-0.0308527
440,17.2933,0,0,0,-0.00013752,-0.000322695,0.485705,0.000355933,0.0547597,-0.0305773
450,17.6317,0,0,0,-0.00013752,-0.000322695,0.485705,0.000420713,0.0547434,-0.030257
460,17.5971,0,0,0,-0.00013752,-0.000322695,0.485705,0.00042618,0.0547537,-0.0297724
470,17.9495,0,0,0,-0.00013752,-0.000322695,0.485705,0.000400127,0.0548,-0.0292243
480,18.5237,0,0,0,-0.00013752,-0.000322695,0.485705,0.000393496,0.0548166,-0.028838
490,18.8635,0,0,0,-0.00013752,-0.000322695,0.485705,0.000400111,0.0548266,-0.0286349
500,19.6717,0,0,0,-0.00013752,-0.000322695,0.485705,0.000464329,0.0548256,-0.0284092
510,21.8908,0,0,0,-0.00013752,-0.000322695,0.485705,0.000571587,0.0548083,-0.0280562
520,23.5312,0,0,0,-0.00013752,-0.000322695,0.485705,0.000661332,0.0547648,-0.027697
530,24.9703,0,0,0,-0.00013752,-0.000322695,0.485705,0.000676101,0.0547917,-0.027463
540,25.5751,0,0,0,-0.00013752,-0.000322695,0.485705,0.000679673,0.0548777,-0.0273557
550,26.6182,0,0,0,-0.00013752,-0.000322695,0.485705,0.000727851,0.0549196,-0.0273519
560,27.3232,0,0,0,-0.00013752,-0.000322695,0.485705,0.000796364,0.0548446,-0.0273889
570,27.718,0,0,0,-0.00013752,-0.000322695,0.485705,0.000815449,0.0547287,-0.0273084
580,28.4684,0,0,0,-0.00013752,-0.000322695,0.485705,0.000811259,0.0546101,-0.027073
590,28.4552,0,0,0,-0.00013752,-0.000322695,0.485705,0.000843193,0.05452,-0.0269467
600,28.5249,0,0,0,-0.00013752,-0.000322695,0.485705,0.000912101,0.054492,-0.0271549
610,30.8429,0,0,0,-0.00013752,-0.000322695,0.485705,0.000970949,0.0545049,-0.0275346
620,31.196,0,0,0,-0.00013752,-0.000322695,0.485705,0.000983526,0.05449,-0.0277564
630,32.4719,0,0,0,-0.00013752,-0.000322695,0.485705,0.000925948,0.0544702,-0.0278201
640,33.1987,0,0,0,-0.00013752,-0.000322695,0.485705,0.000795593,0.0545025,-0.028034
650,33.7698,0,0,0,-0.00013752,-0.000322695,0.485705,0.000641603,0.0545248,-0.028592
660,35.8502,0,0,0,-0.00013752,-0.000322695,0.485705,0.000498256,0.0544882,-0.02937
670,36.9483,0,0,0,-0.00013752,-0.000322695,0.485705,0.000404961,0.0544321,-0.0301612
680,38.2796,0,0,0,-0.00013752,-0.000322695,0.485705,0.000386632,0.0544425,-0.0308873
690,40.0447,0,0,0,-0.00013752,-0.000322695,0.485705,0.000472953,0.0544918,-0.0315998
700,40.6666,0,0,0,-0.00013752,-0.000322695,0.485705,0.000611253,0.0545674,-0.0324123
710,43.3783,0,0,0,-0.00013752,-0.000322695,0.485705,0.000739465,0.0546363,-0.0334482
720,45.1671,0,0,0,-0.00013752,-0.000322695,0.485705,0.000758164,0.054691,-0.0346262
730,45.4299,0,0,0,-0.00013752,-0.000322695,0.485705,0.000658833,0.0546438,-0.0356978
740,46.2177,0,0,0,-0.00013752,-0.000322695,0.485705,0.000484758,0.0545612,-0.0365766
750,46.496,0,0,0,-0.00013752,-0.000322695,0.485705,0.000340654,0.0545312,-0.0374913
760,46.3054,0,0,0,-0.00013752,-0.000322695,0.485705,0.000234958,0.0545788,-0.0386507
770,46.6274,0,0,0,-0.00013752,-0.000322695,0.485705,0.000189878,0.0545307,-0.0399611
780,46.036,0,0,0,-0.00013752,-0.000322695,0.485705,0.000214483,0.0544229,-0.0411417
790,45.6729,0,0,0,-0.00013752,-0.000322695,0.485705,0.000316228,0.054358,-0.0421056
800,45.1501,0,0,0,-0.00013752,-0.000322695,0.485705,0.000414031,0.0544123,-0.0430071
810,45.7981,0,0,0,-0.00013752,-0.000322695,0.485705,0.000505114,0.0544829,-0.044015
820,45.5245,0,0,0,-0.00013752,-0.000322695,0.485705,0.000558569,0.0545744,-0.0450899
830,45.0335,0,0,0,-0.00013752,-0.000322695,0.485705,0.000522461,0.054595,-0.0461015
840,43.4564,0,0,0,-0.00013752,-0.000322695,0.485705,0.00036061,0.0545152,-0.0469793
850,42.7474,0,0,0,-0.00013752,-0.000322695,0.485705,0.000213173,0.0543752,-0.0477656
860,41.7162,0,0,0,-0.00013752,-0.000322695,0.485705,0.000149006,0.0543881,-0.0485384
870,40.7212,0,0,0,-0.00013752,-0.000322695,0.485705,0.000154716,0.0545132,-0.0493624
880,41.0222,0,0,0,-0.00013752,-0.000322695,0.485705,0.000194046,0.0546073,-0.0501929
890,40.8939,0,0,0,-0.00013752,-0.000322695,0.485705,0.000305554,0.0545651,-0.0508841
900,40.8165,0,0,0,-0.00013752,-0.000322695,0.485705,0.000424884,0.0545652,-0.0513213
910,43.2641,0,0,0,-0.00013752,-0.000322695,0.485705,0.000486275,0.0546617,-0.0516109
920,43.9926,0,0,0,-0.00013752,-0.000322695,0.485705,0.000446563,0.0547714,-0.05194
930,45.4367,0,0,0,-0.00013752,-0.000322695,0.485705,0.000316032,0.0547354,-0.0522925
940,47.0244,0,0,0,-0.00013752,-0.000322695,0.485705,0.000103761,0.0546153,-0.0524398
950,46.9682,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000113085,0.0544461,-0.0523268
960,48.6471,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000250116,0.054315,-0.0521384
970,49.7878,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000261699,0.05433,-0.0520001
980,50.7267,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000230375,0.0545505,-0.0518244
990,53.2336,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000220336,0.0547378,-0.0515402
1000,54.2373,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000160573,0.0547353,-0.0511815
1010,56.9261,0,0,0,-0.00013752,-0.000322695,0.485705,-1.6511e-006,0.0546552,-0.0507792
1020,60.5886,0,0,0,-0.00013752,-0.000322695,0.485705,0.000113852,0.0546867,-0.0503398
1030,61.873,0,0,0,-0.00013752,-0.000322695,0.485705,9.80234e-005,0.0547753,-0.0499426
1040,63.4669,0,0,0,-0.00013752,-0.000322695,0.485705,6.45504e-005,0.0547878,-0.0496398
1050,63.7412,0,0,0,-0.00013752,-0.000322695,0.485705,5.51917e-005,0.0546928,-0.0493223
1060,62.3051,0,0,0,-0.00013752,-0.000322695,0.485705,1.4176e-005,0.0545647,-0.0488774
1070,61.355,0,0,0,-0.00013752,-0.000322695,0.485705,1.59561e-005,0.0544824,-0.048396
1080,61.0599,0,0,0,-0.00013752,-0.000322695,0.485705,0.000165238,0.0544731,-0.0480113
1090,60.4623,0,0,0,-0.00013752,-0.000322695,0.485705,0.000294868,0.0545335,-0.0476507
1100,61.8474,0,0,0,-0.00013752,-0.000322695,0.485705,0.000278133,0.0545498,-0.0471893
1110,64.0499,0,0,0,-0.00013752,-0.000322695,0.485705,0.000236559,0.0544483,-0.0466596
1120,66.6071,0,0,0,-0.00013752,-0.000322695,0.485705,0.000299332,0.0543038,-0.0461565
1130,68.1516,0,0,0,-0.00013752,-0.000322695,0.485705,0.00030207,0.054316,-0.0456262
1140,67.7037,0,0,0,-0.00013752,-0.000322695,0.485705,0.000173772,0.0543939,-0.0449925
1150,66.7981,0,0,0,-0.00013752,-0.000322695,0.485705,5.68221e-006,0.0543768,-0.0442848
1160,65.6578,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000111861,0.0542512,-0.0435773
1170,64.4885,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000241505,0.0542181,-0.042828
1180,65.1267,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000351568,0.0542661,-0.0420312
1190,65.4645,0,0,0,-0.00013752,-0.000322695,0.485705,-0.0004175,0.0543654,-0.0412309
1200,64.8876,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000437543,0.0544069,-0.0404624
1210,66.8885,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000446431,0.0543586,-0.0396681
1220,66.3548,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000366931,0.0541716,-0.0388735
1230,66.329,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000218587,0.0540631,-0.0380826
1240,66.9829,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000120853,0.0541297,-0.0372492
1250,66.5377,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000191705,0.0543111,-0.036295
1260,67.5511,0,0,0,-0.00013752,-0.000322695,0.485705,-0.00029697,0.0543276,-0.0352882
1270,67.4494,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000317327,0.0542004,-0.034302
1280,65.5708,0,0,0,-0.00013752,-0.000322695,0.485705,-0.000270184,0.054059,-0.0333302
