step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
0,0.00234427,0,0,0,0.0958935,0.221149,-0.016502,6.74054e-005,0.0553117,-0.0293789
10,0.526941,0,0,0,0.0958935,0.221149,-0.016502,8.30949e-005,0.0552993,-0.0292057
20,0.754388,0,0,0,0.0958935,0.221149,-0.016502,0.000105089,0.0552758,-0.0289515
30,0.963659,0,0,0,0.0958935,0.221149,-0.016502,0.000114892,0.0552421,-0.0288977
40,1.17817,0,0,0,0.0958935,0.221149,-0.016502,0.000104483,0.0552191,-0.0289797
50,1.16177,0,0,0,0.0958935,0.221149,-0.016502,9.1838e-005,0.055202,-0.0290152
60,1.11938,0,0,0,0.0958935,0.221149,-0.016502,8.44659e-005,0.0551868,-0.0289538
70,1.08722,0,0,0,0.0958935,0.221149,-0.016502,8.66038e-005,0.0551669,-0.028879
80,0.935926,0,0,0,0.0958935,0.221149,-0.016502,9.16106e-005,0.0551556,-0.0288325
90,0.857076,0,0,0,0.0958935,0.221149,-0.016502,9.31268e-005,0.0551487,-0.0288167
100,0.79245,0,0,0,0.0958935,0.221149,-0.016502,8.19135e-005,0.0551384,-0.0288207
110,2.63333,0,0,0,0.0958935,0.221149,-0.016502,5.40081e-005,0.0551078,-0.0288299
120,4.03901,0,0,0,0.0958935,0.221149,-0.016502,1.69121e-005,0.0550616,-0.0287788
130,4.96535,0,0,0,0.0958935,0.221149,-0.016502,-2.28264e-005,0.0550136,-0.0286531
140,5.48155,0,0,0,0.0958935,0.221149,-0.016502,-7.47366e-005,0.0549877,-0.0285418
150,5.85538,0,0,0,0.0958935,0.221149,-0.016502,-0.000137192,0.05499,-0.0285287
160,5.95509,0,0,0,0.0958935,0.221149,-0.016502,-0.000204991,0.0549969,-0.0285625
170,5.95179,0,0,0,0.0958935,0.221149,-0.016502,-0.000275538,0.0549785,-0.0285428
180,5.92532,0,0,0,0.0958935,0.221149,-0.016502,-0.000347115,0.0549479,-0.0284459
190,5.84371,0,0,0,0.0958935,0.221149,-0.016502,-0.00041345,0.0549352,-0.0283279
200,5.77724,0,0,0,0.0958935,0.221149,-0.016502,-0.000475393,0.0549434,-0.0282378
210,7.62808,0,0,0,0.0958935,0.221149,-0.016502,-0.000545795,0.0549513,-0.0281798
220,8.75503,0,0,0,0.0958935,0.221149,-0.016502,-0.000625636,0.0549425,-0.0281202
230,9.60748,0,0,0,0.0958935,0.221149,-0.016502,-0.000703195,0.0549189,-0.027991
240,10.1885,0,0,0,0.0958935,0.221149,-0.016502,-0.00076992,0.0548915,-0.0277704
250,10.5519,0,0,0,0.0958935,0.221149,-0.016502,-0.000837553,0.0548842,-0.0275456
260,10.923,0,0,0,0.0958935,0.221149,-0.016502,-0.00092364,0.05491,-0.027425
270,11.1529,0,0,0,0.0958935,0.221149,-0.016502,-0.001034,0.0549462,-0.0273548
280,11.2587,0,0,0,0.0958935,0.221149,-0.016502,-0.00115145,0.054939,-0.0271784
290,11.4387,0,0,0,0.0958935,0.221149,-0.016502,-0.00126682,0.0548945,-0.02685
300,11.4713,0,0,0,0.0958935,0.221149,-0.016502,-0.00137579,0.0548764,-0.026517
310,13.3983,0,0,0,0.0958935,0.221149,-0.016502,-0.00148835,0.0549241,-0.0262678
320,14.7401,0,0,0,0.0958935,0.221149,-0.016502,-0.00160977,0.0549852,-0.0260442
330,15.5765,0,0,0,0.0958935,0.221149,-0.016502,-0.00174479,0.0550143,-0.025746
340,16.1146,0,0,0,0.0958935,0.221149,-0.016502,-0.00187139,0.0550229,-0.0254004
350,16.4819,0,0,0,0.0958935,0.221149,-0.016502,-0.00198015,0.0550597,-0.0250539
360,16.5805,0,0,0,0.0958935,0.221149,-0.016502,-0.00209268,0.0551295,-0.024713
370,16.6437,0,0,0,0.0958935,0.221149,-0.016502,-0.00224735,0.0552133,-0.0243595
380,16.5825,0,0,0,0.0958935,0.221149,-0.016502,-0.00242621,0.0552692,-0.0240273
390,16.4132,0,0,0,0.0958935,0.221149,-0.016502,-0.00258669,0.055303,-0.0236725
400,16.2261,0,0,0,0.0958935,0.221149,-0.016502,-0.00270085,0.0553608,-0.0232129
410,17.8279,0,0,0,0.0958935,0.221149,-0.016502,-0.00279636,0.0554989,-0.0226198
420,18.6234,0,0,0,0.0958935,0.221149,-0.016502,-0.00290271,0.0556755,-0.0220406
430,19.0932,0,0,0,0.0958935,0.221149,-0.016502,-0.00303742,0.0558095,-0.0215588
440,19.1793,0,0,0,0.0958935,0.221149,-0.016502,-0.00319078,0.0558763,-0.0210782
450,19.1165,0,0,0,0.0958935,0.221149,-0.016502,-0.00335797,0.0559575,-0.0204413
460,18.9388,0,0,0,0.0958935,0.221149,-0.016502,-0.00351711,0.0561059,-0.0196944
470,18.6639,0,0,0,0.0958935,0.221149,-0.016502,-0.00366112,0.0563135,-0.0189693
480,18.2603,0,0,0,0.0958935,0.221149,-0.016502,-0.00380712,0.0565435,-0.0183357
490,17.9352,0,0,0,0.0958935,0.221149,-0.016502,-0.0039816,0.0567911,-0.0177353
500,17.5458,0,0,0,0.0958935,0.221149,-0.016502,-0.00413966,0.057035,-0.0171379
510,19.1642,0,0,0,0.0958935,0.221149,-0.016502,-0.00422416,0.0572844,-0.0165069
520,20.271,0,0,0,0.0958935,0.221149,-0.016502,-0.00424527,0.0575856,-0.0158619
530,21.2085,0,0,0,0.0958935,0.221149,-0.016502,-0.00428483,0.0579805,-0.0152706
540,22.0485,0,0,0,0.0958935,0.221149,-0.016502,-0.00436757,0.0584102,-0.0148437
550,22.9721,0,0,0,0.0958935,0.221149,-0.016502,-0.00445088,0.0587949,-0.0145424
560,23.7087,0,0,0,0.0958935,0.221149,-0.016502,-0.00449586,0.0591496,-0.0142034
570,24.5404,0,0,0,0.0958935,0.221149,-0.016502,-0.00450142,0.0595797,-0.0137457
580,25.2514,0,0,0,0.0958935,0.221149,-0.016502,-0.0044711,0.0601304,-0.0133331
590,26.1172,0,0,0,0.0958935,0.221149,-0.016502,-0.00441968,0.0607373,-0.0131085
