step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,352.173,0.491699,3.11421e-005,-7.89455e-005,1.50032,-0.0539144,-0.00194552,-0.42146,0.325664,-0.646,2.59558,-0.0545312,-0.00121929,0.0702381,0.612956,0.634813,1
3520,363.056,0.483507,9.62932e-005,-0.00017317,1.50067,-0.0539141,-0.00194614,-0.413958,0.571069,-0.729103,3.04143,-0.0554854,-0.000340258,0.0695437,0.612548,0.633956,1
3530,349.955,0.475181,0.00016652,-0.000266816,1.50107,-0.0539134,-0.00194724,-0.406453,0.630673,-0.6995,3.38198,-0.0565581,0.000101977,0.0687157,0.612098,0.632912,1
3540,348.848,0.466986,0.000249576,-0.00034698,1.50151,-0.0539124,-0.00194878,-0.398947,0.703315,-0.612005,3.68587,-0.0576759,0.000100411,0.0680192,0.611934,0.632511,1
3550,356.26,0.459193,0.000337281,-0.000428842,1.502,-0.0539109,-0.00195072,-0.391438,0.720816,-0.680487,4.01431,-0.0585997,0.000123803,0.0677259,0.611831,0.632028,1
3560,372.461,0.45159,0.000433965,-0.000506207,1.50253,-0.053909,-0.00195306,-0.383927,0.822665,-0.601235,4.36962,-0.0589084,0.000354176,0.0676293,0.611839,0.631877,1
3570,377.879,0.444074,0.000539446,-0.000573955,1.50311,-0.0539066,-0.00195577,-0.376413,0.740475,-0.389968,5.01033,-0.0586144,0.000436102,0.0676296,0.611839,0.631877,1
3580,388.21,0.436393,0.000640113,-0.000636545,1.50376,-0.0539036,-0.00195879,-0.368896,0.845007,-0.520393,5.38397,-0.0582155,0.000413632,0.0674697,0.611839,0.631877,1
3590,403.595,0.428572,0.000750775,-0.00069894,1.50446,-0.0539002,-0.00196213,-0.361375,0.94652,-0.385196,5.77779,-0.0579618,0.000512906,0.06717,0.611839,0.631877,1
3600,401.884,0.420351,0.000872026,-0.000742685,1.5052,-0.0538961,-0.00196575,-0.353851,0.973457,-0.246084,6.19151,-0.0576646,0.000693419,0.0664749,0.611678,0.631717,1
3610,394.36,0.41203,0.000996849,-0.000771725,1.506,-0.0538914,-0.00196953,-0.346323,1.02279,-0.217528,6.558,-0.0571788,0.000764178,0.0656846,0.611324,0.631396,1
3620,392.207,0.403797,0.00112815,-0.000797029,1.50684,-0.0538861,-0.00197346,-0.338791,1.07539,-0.185334,6.95133,-0.0565356,0.00079784,0.0649878,0.611047,0.631252,1
3630,378.467,0.395764,0.00126651,-0.000817403,1.50774,-0.0538802,-0.0019775,-0.331255,1.13573,-0.137656,7.36573,-0.0558421,0.000704393,0.064495,0.610788,0.631216,1
3640,364.074,0.387378,0.00141085,-0.000836542,1.50869,-0.0538735,-0.00198162,-0.323713,1.1596,-0.205266,7.89064,-0.0552579,0.000193776,0.063656,0.610722,0.631252,1
3650,358.617,0.378516,0.00155964,-0.000857223,1.50971,-0.053866,-0.00198586,-0.316168,1.21752,-0.121855,8.3563,-0.05493,-0.000547736,0.0623444,0.610587,0.631292,1
3660,330.991,0.369436,0.0017152,-0.000866087,1.51079,-0.0538579,-0.00199018,-0.308616,1.26471,-0.0152925,8.84067,-0.0544653,-0.000978497,0.0608174,0.610246,0.631357,1
3670,313.161,0.360887,0.00187552,-0.000860059,1.51192,-0.0538489,-0.0019945,-0.30106,1.38964,0.0663708,9.43134,-0.0536119,-0.0010334,0.0598257,0.610125,0.631366,1
3680,293.46,0.352837,0.0020481,-0.000841299,1.51313,-0.0538391,-0.00199876,-0.293497,1.35988,0.239403,9.89108,-0.0528053,-0.0011949,0.0593375,0.610125,0.631366,1
3690,304.281,0.344891,0.00221398,-0.00079869,1.5144,-0.0538284,-0.00200287,-0.285928,1.28328,0.446964,10.319,-0.0526588,-0.00134377,0.0589599,0.609973,0.63134,1
3700,317.985,0.336511,0.0023667,-0.000727502,1.51571,-0.0538169,-0.0020067,-0.278353,1.03406,0.762393,10.7687,-0.0530183,-0.00102416,0.0581558,0.609643,0.631255,1
3710,328.187,0.327618,0.00250444,-0.000616658,1.5171,-0.0538048,-0.00201009,-0.270771,1.03116,1.10776,11.3377,-0.0537041,-0.00015295,0.0568422,0.609266,0.631188,1
3720,349.384,0.318376,0.00262695,-0.000449763,1.51855,-0.0537919,-0.00201278,-0.263182,1.01468,1.62405,11.8694,-0.0547056,0.000751058,0.0551804,0.608895,0.631148,1
3730,373.661,0.309282,0.00274358,-0.000220845,1.52005,-0.0537785,-0.00201448,-0.255585,0.789409,2.07593,12.1605,-0.055891,0.00174645,0.0536671,0.608895,0.631148,1
3740,379.615,0.301005,0.00283762,6.42467e-005,1.5216,-0.0537645,-0.0020149,-0.247981,0.717883,2.48194,12.535,-0.0565824,0.00275076,0.0529732,0.608895,0.631148,1
3750,363.705,0.293597,0.00292441,0.000400292,1.52319,-0.0537501,-0.00201376,-0.240369,0.671792,2.88576,12.9043,-0.0566406,0.00337668,0.0531639,0.608895,0.631148,1
3760,349.007,0.286703,0.0030059,0.000786184,1.52483,-0.0537353,-0.00201081,-0.232749,0.629352,3.27807,13.2457,-0.0563281,0.00319766,0.053895,0.608895,0.631148,1
3770,326.044,0.279722,0.00308505,0.0012136,1.52651,-0.0537201,-0.00200582,-0.225121,0.584629,3.508,13.6939,-0.056183,0.00281458,0.0545484,0.608656,0.631195,1
