step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
0	2.47694e-005	-836.433	-836.433	-836.433	0	0	0	1	1	
10	0.00385507	-836.436	-836.433	-836.436	0	0	0	0	0	
20	0.00490806	-836.439	-836.435	-836.439	0	0	0	0	0	
30	0.00524056	-836.441	-836.436	-836.441	0	0	0	0	0	
40	0.00574853	-836.443	-836.438	-836.443	0	0	0	0	0	
50	0.00523597	-836.444	-836.44	-836.444	0	0	0	0	0	
60	0.00487353	-836.445	-836.441	-836.445	0	0	0	0	0	
70	0.00464967	-836.447	-836.443	-836.447	0	0	0	0	0	
80	0.00420854	-836.448	-836.444	-836.448	0	0	0	0	0	
90	0.00385307	-836.449	-836.446	-836.449	0	0	0	0	0	
100	0.00377169	-836.45	-836.447	-836.45	0	0	0	0	0	
110	6.76154	-836.164	-830.598	-836.164	0	0	0	0	0	
120	13.0686	-835.405	-824.647	-835.405	0	0	0	0	0	
130	17.1262	-834.255	-820.158	-834.255	0	0	0	0	0	
140	19.315	-832.478	-816.579	-832.478	0	0	0	0	0	
150	20.5776	-830.425	-813.487	-830.425	0	0	0	0	0	
160	21.2598	-828.21	-810.71	-828.21	0	0	0	0	0	
170	21.232	-825.521	-808.045	-825.521	0	0	0	0	0	
180	20.9249	-822.538	-805.314	-822.538	0	0	0	0	0	
190	20.4204	-819.314	-802.506	-819.314	0	0	0	0	0	
200	18.9757	-815.032	-799.412	-815.032	0	0	0	0	0	
210	27.0081	-810.508	-788.277	-810.508	0	0	0	0	0	
220	32.5612	-805.917	-779.115	-805.917	0	0	0	0	0	
230	36.0056	-800.956	-771.318	-800.956	0	0	0	0	0	
240	38.2276	-795.699	-764.232	-795.699	0	0	0	0	0	
250	39.8486	-790.714	-757.913	-790.714	0	0	0	0	0	
260	40.7276	-785.295	-751.771	-785.295	0	0	0	0	0	
270	41.6485	-780.234	-745.951	-780.234	0	0	0	0	0	
280	42.2588	-775.114	-740.33	-775.114	0	0	0	0	0	
290	43.1872	-770.593	-735.044	-770.593	0	0	0	0	0	
300	45.0616	-767.123	-730.031	-767.123	0	0	0	0	0	
310	57.7122	-765.696	-718.191	-765.696	0	0	0	0	0	
320	68.4474	-766.166	-709.824	-766.166	0	0	0	0	0	
330	76.895	-767.812	-704.516	-767.812	0	0	0	0	0	
340	83.2623	-769.928	-701.392	-769.928	0	0	0	0	0	
350	84.2281	-768.817	-699.486	-768.817	0	0	0	0	0	
360	83.6073	-766.681	-697.86	-766.681	0	0	0	0	0	
370	81.8763	-762.964	-695.568	-762.964	0	0	0	0	0	
380	80.425	-759.211	-693.01	-759.211	0	0	0	0	0	
390	79.8098	-755.554	-689.859	-755.554	0	0	0	0	0	
400	80.3001	-752.809	-686.711	-752.809	0	0	0	0	0	
410	92.0741	-752.049	-676.259	-752.049	0	0	0	0	0	
420	99.6751	-750.825	-668.779	-750.825	0	0	0	0	0	
430	104.159	-748.975	-663.238	-748.975	0	0	0	0	0	
440	104.441	-744.208	-658.239	-744.208	0	0	0	0	0	
450	108.847	-743.674	-654.078	-743.674	0	0	0	0	0	
460	111.719	-743.078	-651.118	-743.078	0	0	0	0	0	
470	112.813	-741.639	-648.778	-741.639	0	0	0	0	0	
480	113.918	-740.507	-646.737	-740.507	0	0	0	0	0	
490	112.683	-737.561	-644.808	-737.561	0	0	0	0	0	
500	111.107	-733.721	-642.264	-733.721	0	0	0	0	0	
510	113.964	-725.02	-631.212	-725.02	0	0	0	0	0	
520	112.631	-712.925	-620.215	-712.925	0	0	0	0	0	
530	110.505	-699.317	-608.356	-699.317	0	0	0	0	0	
540	115.67	-692.249	-597.037	-692.249	0	0	0	0	0	
550	118.406	-684.027	-586.563	-684.027	0	0	0	0	0	
