step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,273.682,0.497163,-1.39602e-005,2.49323e-005,-0.600066,-0.0536569,-0.00367974,0.56261,-0.109246,0.190942,-0.50675,-0.0529707,-0.00439251,0.0654476,0.61237,0.634781,1
3520,268.685,0.495439,-2.78471e-005,4.89526e-005,-0.60013,-0.0536571,-0.00367955,0.559609,-0.11245,0.19301,-0.513329,-0.053238,-0.00393765,0.0641702,0.611656,0.634522,1
3530,254.691,0.49367,-4.21694e-005,7.33538e-005,-0.600194,-0.0536572,-0.00367925,0.556609,-0.116773,0.197426,-0.514931,-0.0545182,-0.00293933,0.0629402,0.610355,0.633974,1
3540,223.303,0.491071,-5.72111e-005,8.90972e-005,-0.600274,-0.0536575,-0.00367884,0.553607,-0.124433,0.115363,-0.665557,-0.0560579,-0.00196655,0.0625454,0.609418,0.633519,1
3550,206.759,0.487123,-7.34683e-005,0.000103926,-0.600358,-0.0536578,-0.00367836,0.550606,-0.135469,0.121689,-0.685691,-0.0570611,-0.0009101,0.0635029,0.60897,0.633219,1
3560,208.842,0.482938,-9.10313e-005,0.000119501,-0.600446,-0.0536582,-0.0036778,0.547604,-0.144586,0.126669,-0.709594,-0.057455,0.000362094,0.064698,0.60891,0.633098,1
3570,247.144,0.479404,-0.000102933,0.000139395,-0.600546,-0.0536587,-0.00367716,0.544601,-0.067478,0.177136,-0.85655,-0.0579772,0.00161273,0.0652461,0.60891,0.633098,1
3580,285.686,0.476543,-0.000111058,0.000161735,-0.600654,-0.0536592,-0.0036764,0.541598,-0.0615108,0.179812,-0.869994,-0.0586548,0.00234184,0.0651197,0.60891,0.633098,1
3590,311.096,0.473377,-0.000118298,0.000184415,-0.600764,-0.0536598,-0.00367554,0.538595,-0.0544786,0.182612,-0.883188,-0.0589417,0.0023188,0.0652853,0.60891,0.633098,1
3600,335.455,0.469677,-0.000130797,0.000204076,-0.600885,-0.0536604,-0.00367456,0.535591,-0.138651,0.135941,-1.03907,-0.0585027,0.0016296,0.0659684,0.608982,0.633003,1
3610,358.946,0.465819,-0.000140897,0.000216893,-0.60103,-0.0536611,-0.00367351,0.532586,-0.0629883,0.0913667,-1.21331,-0.0576902,0.000769599,0.0668052,0.609217,0.632643,1
3620,368.017,0.462499,-0.000149197,0.00022839,-0.601184,-0.0536618,-0.00367239,0.52958,-0.0697615,0.092515,-1.25696,-0.0567242,5.05617e-005,0.0671062,0.609413,0.632334,1
3630,344.606,0.459643,-0.000158232,0.000240071,-0.601344,-0.0536626,-0.00367122,0.526574,-0.0733233,0.0938867,-1.29138,-0.0557213,-0.000839652,0.0669442,0.609696,0.631928,1
3640,320.862,0.456822,-0.000167129,0.000251752,-0.601507,-0.0536634,-0.00366999,0.523567,-0.067412,0.0921316,-1.31727,-0.0547729,-0.00231146,0.0667479,0.610004,0.631539,1
3650,304.696,0.453893,-0.000174863,0.000262917,-0.601673,-0.0536643,-0.00366871,0.520559,-0.0554582,0.0849756,-1.33752,-0.0541415,-0.00374396,0.0666665,0.610326,0.631168,1
3660,299.844,0.451095,-0.000180961,0.000272665,-0.601842,-0.0536652,-0.00366737,0.51755,-0.042663,0.0698745,-1.35709,-0.0538789,-0.00405984,0.0664555,0.610772,0.630672,1
3670,291.193,0.448389,-0.000185798,0.000280328,-0.602013,-0.0536661,-0.00366598,0.514541,-0.0353368,0.0524166,-1.38319,-0.0538684,-0.00311614,0.0661523,0.611253,0.630167,1
3680,295.906,0.445576,-0.000189944,0.000285786,-0.602189,-0.053667,-0.00366457,0.51153,-0.0316559,0.0350783,-1.41627,-0.0538114,-0.00180396,0.0659576,0.611638,0.629796,1
3690,301.447,0.443012,-0.000193826,0.000289159,-0.602368,-0.053668,-0.00366313,0.508519,-0.0299416,0.0187384,-1.45666,-0.0536395,-0.000601089,0.0655175,0.611904,0.629573,1
3700,289.552,0.44111,-0.00019724,0.000290433,-0.602553,-0.053669,-0.00366168,0.505506,-0.0240315,0.00160167,-1.49204,-0.0535374,0.000651069,0.0644172,0.612075,0.629444,1
3710,259.343,0.43992,-0.000199653,0.000289598,-0.602742,-0.05367,-0.00366023,0.502493,-0.0133572,-0.0146427,-1.52711,-0.0538441,0.00186715,0.0626084,0.612077,0.629445,1
3720,243.372,0.438583,-0.000200444,0.000286945,-0.602935,-0.053671,-0.00365879,0.499479,5.70633e-005,-0.0268947,-1.56182,-0.0545329,0.00265732,0.0609423,0.61225,0.629484,1
3730,260.287,0.436659,-0.000199894,0.000282908,-0.603134,-0.053672,-0.00365736,0.496464,0.00776585,-0.0382025,-1.61792,-0.0552133,0.00290244,0.0598571,0.612664,0.629588,1
3740,275.097,0.434145,-0.000195509,0.000275202,-0.603344,-0.0536729,-0.00365596,0.493448,0.114988,-0.117741,-1.78298,-0.0555938,0.00289878,0.0593567,0.613354,0.629772,1
3750,296.576,0.432051,-0.0001817,0.000259092,-0.603571,-0.0536739,-0.00365462,0.49043,0.105277,-0.140334,-1.84949,-0.0557967,0.00289501,0.058434,0.614095,0.629982,1
3760,318.066,0.430455,-0.000168891,0.000236044,-0.603808,-0.0536748,-0.00365338,0.487412,0.102656,-0.292058,-1.99294,-0.0561575,0.00286691,0.0570134,0.614496,0.6301,1
3770,323.892,0.428996,-0.000163127,0.000194728,-0.604065,-0.0536756,-0.00365229,0.484392,-0.0218895,-0.374092,-2.12292,-0.0567163,0.0025708,0.0554523,0.614556,0.630144,1
3780,305.811,0.426807,-0.000172616,0.000139246,-0.604344,-0.0536764,-0.00365145,0.481371,-0.0944212,-0.475082,-2.26904,-0.05711,0.00191002,0.0546147,0.614556,0.630144,1
3790,284.401,0.42408,-0.000186367,7.9296e-005,-0.604629,-0.0536773,-0.00365091,0.478349,-0.20177,-0.436088,-2.21568,-0.0570187,0.00111975,0.0543086,0.614556,0.630144,1
3800,255.496,0.420949,-0.000210787,2.64347e-005,-0.604913,-0.0536783,-0.00365065,0.475325,-0.18762,-0.342587,-2.37227,-0.0565481,0.000658938,0.0544079,0.614598,0.630165,1
3810,234.689,0.41774,-0.000233514,-1.91386e-005,-0.605215,-0.0536794,-0.00365063,0.4723,-0.206722,-0.470034,-2.57735,-0.0558789,0.000535147,0.0545866,0.614663,0.630236,1
3820,227.699,0.414119,-0.000258559,-7.9873e-005,-0.605542,-0.0536807,-0.00365087,0.469273,-0.195118,-0.49919,-2.63691,-0.0552883,0.000374306,0.0551766,0.614676,0.630252,1
3830,241.954,0.410533,-0.000282726,-0.000144237,-0.605876,-0.053682,-0.00365143,0.466244,-0.19237,-0.53049,-2.69982,-0.055078,1.83074e-005,0.0557297,0.614798,0.63043,1
3840,299.724,0.407038,-0.000288829,-0.000219401,-0.606223,-0.0536834,-0.00365233,0.463214,0.0986888,-0.743526,-2.98462,-0.0554245,-9.89847e-005,0.056195,0.61505,0.630824,1
3850,328.191,0.403867,-0.000282181,-0.00032377,-0.606614,-0.0536849,-0.00365368,0.460182,0.0453037,-0.887913,-3.21149,-0.0560348,0.000293372,0.0563409,0.615233,0.631109,1
3860,344.372,0.400354,-0.000274897,-0.00043904,-0.607022,-0.0536863,-0.00365559,0.457148,0.0718648,-0.952974,-3.31037,-0.0565323,0.00111765,0.0568322,0.615259,0.631135,1
