step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,281.635,0.499316,0.499316,-577.076,-6.6403e-006,1.26956e-005,-0.100031,-0.0557938,-0.00593545,0.565981,-0.107616,0.201261,-0.506484,-0.0562224,-0.00593837,0.0666647,0.613153,0.633642,1
3520,280.003,0.498694,0.498694,-579.683,-1.31259e-005,2.44963e-005,-0.100061,-0.0557939,-0.00593536,0.56548,-0.10903,0.194683,-0.499794,-0.0557853,-0.00506297,0.0667867,0.612717,0.633163,1
3530,282.186,0.497984,0.497979,-583.261,-1.95278e-005,3.60397e-005,-0.100091,-0.055794,-0.00593521,0.56498,-0.105354,0.192472,-0.498669,-0.0553223,-0.00396703,0.0670005,0.611995,0.63236,1
3540,271.095,0.496892,0.496883,-578.325,-2.57674e-005,4.74533e-005,-0.100121,-0.0557941,-0.005935,0.564479,-0.104,0.190748,-0.492061,-0.0554638,-0.002984,0.0675968,0.611489,0.632032,1
3550,254.634,0.496041,0.496022,-565.76,-3.19266e-005,5.88706e-005,-0.10015,-0.0557942,-0.00593473,0.563979,-0.103114,0.191367,-0.496424,-0.0554412,-0.00160939,0.067957,0.610984,0.631724,1
3560,237.024,0.495006,0.494974,-552.097,-3.81934e-005,7.02065e-005,-0.10018,-0.0557944,-0.00593441,0.563478,-0.107048,0.189035,-0.493725,-0.0550043,-0.000386359,0.0685035,0.610595,0.63139,1
3570,234.893,0.493932,0.493892,-551.333,-4.46443e-005,8.1217e-005,-0.10021,-0.0557946,-0.00593403,0.562977,-0.108702,0.101342,-0.631946,-0.0545132,0.000195795,0.0690849,0.61058,0.631371,1
3580,248.962,0.492404,0.492361,-563.159,-5.12372e-005,8.70597e-005,-0.100247,-0.0557949,-0.00593361,0.562476,-0.111786,0.0948243,-0.631905,-0.0546857,0.000409432,0.0701144,0.61058,0.631371,1
3590,267.729,0.490869,0.490821,-578.826,-5.79117e-005,9.2562e-005,-0.100285,-0.0557951,-0.00593316,0.561974,-0.112356,0.0888451,-0.639897,-0.0551431,0.000912786,0.0711537,0.610557,0.631229,1
3600,307.823,0.489445,0.489393,-612.336,-6.47171e-005,9.76139e-005,-0.100324,-0.0557954,-0.00593269,0.561473,-0.115268,0.0814086,-0.643249,-0.0555027,0.00123062,0.0720803,0.610621,0.631191,1
3610,345.058,0.488726,0.488677,-643.561,-7.15611e-005,0.000102372,-0.100362,-0.0557958,-0.00593219,0.560971,-0.114031,0.0779569,-0.647014,-0.0555926,0.00100254,0.0722942,0.610621,0.631191,1
3620,371.407,0.488485,0.488444,-665.682,-7.83014e-005,0.000106963,-0.100401,-0.0557962,-0.00593166,0.560469,-0.110618,0.0773376,-0.639481,-0.0558126,0.000397068,0.0720254,0.610616,0.631166,1
3630,369.686,0.488787,0.488752,-664.34,-8.46252e-005,0.000111681,-0.100439,-0.0557966,-0.00593112,0.559967,-0.101526,0.0800146,-0.631745,-0.0560913,-6.11546e-005,0.0712152,0.610557,0.630808,1
3640,343.42,0.489115,0.489081,-642.938,-9.04547e-005,0.000116448,-0.100476,-0.055797,-0.00593055,0.559465,-0.093322,0.0801578,-0.621945,-0.0563747,-0.000208956,0.0703842,0.610504,0.630615,1
3650,295.213,0.4893,0.489263,-602.76,-9.74042e-005,0.000119528,-0.100515,-0.0557975,-0.00592995,0.558962,-0.092468,-0.0155208,-0.621949,-0.0565306,3.8002e-005,0.0696991,0.610504,0.630615,1
