step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,381.922,0.500823,-0.500822,-652.201,3.61077e-006,-5.54659e-005,0.100126,-0.055641,-0.00196248,-0.437482,0.0490956,-0.806017,2.05491,-0.0558607,-0.0010957,0.0633406,0.614647,0.635217,1
3520,363.09,0.501205,-0.501201,-639.074,7.22599e-006,-0.000102586,0.100249,-0.055641,-0.00196287,-0.436981,0.0719908,-0.771496,2.04671,-0.0558579,-5.57732e-005,0.0642203,0.614247,0.635365,1
3530,341.31,0.501346,-0.501335,-621.209,1.53091e-005,-0.000143656,0.100375,-0.0556409,-0.00196349,-0.436479,0.164647,-0.639741,2.13588,-0.0555893,0.00129613,0.0648562,0.614001,0.635358,1
3540,338.866,0.501245,-0.501226,-619.255,2.57752e-005,-0.000180129,0.100502,-0.0556408,-0.0019643,-0.435977,0.185326,-0.58212,2.10475,-0.0553278,0.00239731,0.0652495,0.613754,0.635433,1
3550,329.969,0.500857,-0.500838,-612.188,3.62574e-005,-0.000209768,0.100631,-0.0556406,-0.00196528,-0.435474,0.168246,-0.420126,2.19595,-0.0552443,0.00244651,0.0653635,0.613313,0.635648,1
3560,317.738,0.500257,-0.500241,-602.796,4.66422e-005,-0.000232674,0.10076,-0.0556404,-0.00196639,-0.434971,0.180129,-0.270006,2.03132,-0.0550374,0.00202224,0.0652705,0.612975,0.635755,1
3570,321.78,0.499485,-0.49947,-606.716,6.16751e-005,-0.000245393,0.100887,-0.0556402,-0.00196759,-0.434466,0.282362,-0.178011,2.15792,-0.0550185,0.0018503,0.065004,0.612372,0.635955,1
3580,320.189,0.49879,-0.498775,-606.66,8.42042e-005,-0.000253311,0.10102,-0.0556398,-0.00196884,-0.433962,0.434997,-0.0999425,2.26535,-0.0556794,0.00182611,0.0648135,0.611882,0.636161,1
3590,324.988,0.498151,-0.498138,-611.684,0.000110932,-0.000258227,0.101156,-0.0556393,-0.00197012,-0.433456,0.461179,-0.0656033,2.29733,-0.0566988,0.00153735,0.0646814,0.611327,0.63637,1
3600,338.918,0.497408,-0.497395,-624.449,0.000141178,-0.000261759,0.101295,-0.0556387,-0.00197142,-0.43295,0.618242,-0.0720441,2.42424,-0.0573231,0.00126404,0.0644444,0.610582,0.636625,1
3610,354.097,0.496376,-0.496364,-638.972,0.000178815,-0.000265116,0.101441,-0.0556379,-0.00197274,-0.432443,0.642488,-0.0397446,2.47923,-0.0576284,0.000881158,0.063921,0.610005,0.636829,1
3620,356.838,0.495495,-0.495483,-642.569,0.000219123,-0.000262337,0.101596,-0.0556369,-0.00197406,-0.431936,0.698402,0.107185,2.66253,-0.058076,0.000330294,0.0635474,0.609287,0.637057,1
3630,356.166,0.494627,-0.494613,-643.954,0.0002608,-0.000252828,0.101755,-0.0556357,-0.00197535,-0.431427,0.679624,0.260103,2.5999,-0.0585835,0.000268594,0.063186,0.608578,0.637253,1
