step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
0	0.00931365	-2625.91	-2625.9	-2625.91	0	0	0	1	1	
10	1.33263	-2627.11	-2626.21	-2627.08	0	0	0	0	0	
20	1.28612	-2627.4	-2626.54	-2627.36	0	0	0	0	0	
30	1.62312	-2627.99	-2626.9	-2627.95	0	0	0	0	0	
40	2.17886	-2628.87	-2627.4	-2628.84	0	0	0	0	0	
50	2.29896	-2629.52	-2627.97	-2629.49	0	0	0	0	0	
60	2.48184	-2630.25	-2628.57	-2630.23	0	0	0	0	0	
70	2.62732	-2631.01	-2629.24	-2630.98	0	0	0	0	0	
80	2.56023	-2631.71	-2629.98	-2631.68	0	0	0	0	0	
90	2.53155	-2632.35	-2630.65	-2632.34	0	0	0	0	0	
100	2.40714	-2632.91	-2631.29	-2632.9	0	0	0	0	0	
110	11.5806	-2633.64	-2625.84	-2633.62	0	0	0	0	0	
120	18.508	-2634.68	-2622.22	-2634.67	0	0	0	0	0	
130	23.1495	-2635.55	-2619.95	-2635.54	0	0	0	0	0	
140	25.7332	-2635.89	-2618.56	-2635.89	0	0	0	0	0	
150	27.1927	-2635.98	-2617.67	-2635.99	0	0	0	0	0	
160	27.6645	-2635.71	-2617.07	-2635.71	0	0	0	0	0	
170	27.6373	-2635.11	-2616.5	-2635.12	0	0	0	0	0	
180	27.2874	-2634.34	-2615.96	-2634.38	0	0	0	0	0	
190	26.7321	-2633.19	-2615.19	-2633.23	0	0	0	0	0	
200	26.2346	-2632.02	-2614.35	-2632.12	0	0	0	0	0	
210	34.7725	-2630.52	-2607.1	-2630.59	0	0	0	0	0	
220	40.2429	-2628.66	-2601.56	-2628.77	0	0	0	0	0	
230	43.7608	-2626.72	-2597.25	-2626.86	0	0	0	0	0	
240	45.5862	-2624.22	-2593.52	-2624.43	0	0	0	0	0	
250	46.46	-2621.54	-2590.25	-2621.83	0	0	0	0	0	
260	46.7564	-2618.59	-2587.1	-2618.93	0	0	0	0	0	
270	46.495	-2615.3	-2583.99	-2615.63	0	0	0	0	0	
280	46.1072	-2611.89	-2580.84	-2612.34	0	0	0	0	0	
