step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.0120904,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,9.28914e-005,0.0554549,-0.0478481,0.63612,0.501555,1
10,1.25458,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.000110806,0.0554656,-0.0478139,0.63612,0.501555,1
20,1.50595,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,6.90941e-005,0.0554288,-0.0477015,0.63612,0.501555,1
30,1.79463,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-5.29287e-005,0.0553643,-0.0475873,0.63612,0.501555,1
40,2.41482,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000108097,0.055306,-0.0474952,0.63612,0.501555,1
50,2.62335,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-8.62582e-005,0.0553189,-0.047411,0.63612,0.501555,1
60,2.70308,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-9.28128e-005,0.0553396,-0.0472457,0.63612,0.501555,1
70,2.89782,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000131589,0.0553472,-0.0470335,0.63612,0.501555,1
80,2.79762,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000136155,0.0553352,-0.046846,0.63612,0.501555,1
90,2.71091,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000127771,0.0553295,-0.046723,0.636128,0.501558,1
100,2.59898,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000145612,0.0553151,-0.0465967,0.636128,0.501558,1
110,11.8085,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000186997,0.0553115,-0.0463224,0.636137,0.501559,1
120,18.818,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000204176,0.0553283,-0.0458916,0.636204,0.501561,1
130,23.4122,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000222677,0.0553493,-0.0454195,0.636223,0.50156,1
140,26.2124,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000290564,0.0553315,-0.0449474,0.63636,0.501538,1
150,27.6384,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000363521,0.0553076,-0.0444955,0.636482,0.501508,1
160,28.3742,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000387439,0.055288,-0.0440294,0.636589,0.501473,1
170,28.487,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000419782,0.055267,-0.0435271,0.636692,0.501432,1
180,28.2526,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000506262,0.0552405,-0.0430156,0.636832,0.501365,1
190,28.0536,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000571335,0.0552177,-0.0425639,0.636966,0.501291,1
200,27.7848,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000568777,0.0551902,-0.0421859,0.6371,0.501208,1
210,36.5616,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000568956,0.0551464,-0.0418054,0.637267,0.501097,1
220,42.5987,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000582322,0.0550838,-0.0413639,0.637417,0.500989,1
230,46.1245,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000534694,0.0549897,-0.0408737,0.637598,0.500855,1
240,47.9063,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000499942,0.0548917,-0.0404109,0.637825,0.500687,1
250,48.9345,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000601849,0.0548184,-0.0400169,0.638046,0.500521,1
260,48.7652,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000740384,0.0547932,-0.0396895,0.638258,0.500358,1
270,48.1263,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000763687,0.0547678,-0.0393665,0.638487,0.50018,1
280,47.415,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000743023,0.0547403,-0.0390238,0.638732,0.499989,1
290,46.374,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000770055,0.0546983,-0.0386514,0.63898,0.499795,1
300,45.5304,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000795851,0.0546518,-0.0383344,0.639195,0.499626,1
310,54.2149,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000801981,0.0545329,-0.0380351,0.639374,0.499486,1
320,59.3456,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000865416,0.0544217,-0.0376988,0.639549,0.499349,1
330,62.7453,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000963733,0.0543695,-0.0372931,0.639723,0.499215,1
340,65.3905,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.00103747,0.0543441,-0.0369398,0.639857,0.499117,1
350,67.5551,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.0010915,0.0542138,-0.0365832,0.639935,0.499063,1
360,69.5388,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.00114882,0.0541303,-0.0361902,0.639943,0.499059,1
