step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.00235243,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000216598,0.055199,-0.0500508,0.636016,0.499946,1
10,0.342364,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000227343,0.0552093,-0.0500253,0.636016,0.499946,1
20,0.52439,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00025401,0.0552264,-0.0499446,0.636025,0.499947,1
30,0.762895,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000289151,0.0552196,-0.0498426,0.636061,0.499943,1
40,0.939214,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000295362,0.0552246,-0.0497405,0.636088,0.499931,1
50,1.06444,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000284233,0.055242,-0.0496472,0.636128,0.4999,1
60,1.13227,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000279702,0.0552594,-0.0495214,0.636156,0.499864,1
70,1.19838,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000282921,0.0552552,-0.0493629,0.636186,0.499808,1
80,1.2318,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000268304,0.0552476,-0.0491985,0.636207,0.499741,1
90,1.2838,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000248369,0.0552356,-0.0490578,0.63621,0.499716,1
100,1.29979,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000242067,0.0552189,-0.0489183,0.63621,0.499691,1
110,10.5255,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000248922,0.0551782,-0.0485849,0.636212,0.499562,1
120,17.7439,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000237288,0.0551581,-0.0480503,0.636214,0.499537,1
130,22.6233,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000213742,0.0551697,-0.0474326,0.63623,0.499386,1
140,25.8279,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000194907,0.0551788,-0.0467716,0.636245,0.499294,1
150,27.7825,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000162829,0.0551655,-0.0460896,0.636272,0.49917,1
160,28.9091,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,9.78989e-005,0.0551488,-0.0454098,0.636295,0.49909,1
170,29.4492,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,3.15373e-005,0.0551084,-0.0447467,0.636303,0.499066,1
180,29.5827,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-1.20782e-005,0.0550341,-0.0440705,0.63633,0.499002,1
190,29.4619,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-4.66737e-005,0.0549748,-0.0433733,0.63633,0.499002,1
200,29.1975,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-8.95411e-005,0.0549682,-0.0426949,0.63636,0.498949,1
210,38.1617,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000142105,0.0549711,-0.0420013,0.636394,0.498896,1
220,44.0912,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000209396,0.0549318,-0.0412467,0.636417,0.498862,1
230,47.8683,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000300772,0.0548735,-0.0404421,0.636439,0.498835,1
240,50.1124,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000395291,0.0548211,-0.0396575,0.636508,0.498755,1
250,51.3643,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000473089,0.0547602,-0.0389196,0.636572,0.498684,1
260,51.974,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000540364,0.0546786,-0.0382022,0.636625,0.498629,1
270,52.042,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000597425,0.0546247,-0.0374861,0.636709,0.498546,1
280,51.7109,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.00061001,0.0546046,-0.0368317,0.63681,0.498451,1
290,51.0845,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000605194,0.0545854,-0.0362394,0.636917,0.498354,1
300,50.2403,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000645455,0.0545376,-0.0356743,0.637055,0.498234,1
310,58.3547,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000744526,0.05451,-0.035063,0.637224,0.498092,1
320,63.0256,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000836955,0.0544983,-0.0344508,0.637419,0.497933,1
330,65.258,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000898691,0.0544676,-0.0338481,0.637664,0.49774,1
340,65.8937,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.00094046,0.0543964,-0.0332515,0.637935,0.497531,1
350,65.7343,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000972107,0.0543474,-0.0326202,0.638187,0.497341,1
360,64.9268,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000964991,0.0542875,-0.0319954,0.638426,0.497167,1
370,64.1529,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000920054,0.0541897,-0.031302,0.638664,0.497,1
380,63.6319,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000850623,0.0540552,-0.0305164,0.638884,0.496849,1
390,63.5474,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000785664,0.0539517,-0.0296489,0.639067,0.496726,1
400,64.2466,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000716755,0.0538815,-0.0288164,0.639192,0.496645,1
410,74.5678,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.00063057,0.0538774,-0.0278969,0.639249,0.496609,1
420,82.3053,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000499063,0.0538773,-0.026839,0.63926,0.496602,1
