step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.0196838,1.024,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,1.67961e-005,0.0557352,-0.0406638,0.636583,0.503234,1
10,2.37182,1.02398,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,2.03106e-005,0.0557392,-0.0406467,0.636583,0.503234,1
20,2.39943,1.02395,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,2.91025e-007,0.0556985,-0.0406125,0.636583,0.503234,1
30,3.07427,1.02396,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-8.49519e-005,0.0556213,-0.0406305,0.636583,0.503234,1
40,3.48077,1.02399,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000139023,0.0555693,-0.0406675,0.636583,0.503234,1
50,3.46907,1.02403,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000146403,0.0555877,-0.0407013,0.636583,0.503234,1
60,3.21381,1.02403,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000133894,0.0556124,-0.0407,0.636583,0.503234,1
70,3.31852,1.02402,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000153418,0.0556004,-0.0406951,0.636583,0.503234,1
80,2.98524,1.02402,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000192509,0.0555628,-0.0406956,0.636583,0.503234,1
90,2.91763,1.02405,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000235865,0.0555475,-0.0407192,0.636583,0.503234,1
100,2.73547,1.02407,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000254398,0.0555501,-0.0407421,0.636583,0.503234,1
110,11.6616,1.02409,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000268487,0.0555493,-0.0407616,0.636583,0.503234,1
120,18.5914,1.02406,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000281735,0.0555248,-0.04074,0.636583,0.503234,1
130,22.7991,1.02401,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000303235,0.0555048,-0.0406898,0.636583,0.503234,1
140,25.3643,1.02398,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000352669,0.0555006,-0.0406579,0.636583,0.503234,1
150,26.6017,1.02402,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000445518,0.0555005,-0.040697,0.636583,0.503234,1
160,27.2016,1.02408,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000486283,0.0554887,-0.0407586,0.636583,0.503234,1
170,27.1674,1.02411,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000437022,0.0554744,-0.0407887,0.636583,0.503234,1
180,26.8419,1.02412,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000389352,0.0554574,-0.0408031,0.636583,0.503234,1
190,26.2272,1.02419,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000393465,0.0554311,-0.040872,0.636583,0.503234,1
200,25.635,1.02433,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000365827,0.0553897,-0.0410088,0.636583,0.503234,1
210,33.7207,1.02454,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000281758,0.0553368,-0.0412243,0.636616,0.503243,1
220,39.0731,1.02484,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000207719,0.0552894,-0.0415257,0.63664,0.503248,1
230,41.7349,1.02517,0,0,0,-3.18343e-008,4.06395e-009,0.981818,0,0,0,-0.000164992,0.0552509,-0.0418645,0.63664,0.503248,1
