step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.00349134,1.03402,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.000198911,0.0551221,-0.050733,0.635945,0.499446,1
10,0.466362,1.03398,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.000198599,0.055123,-0.0506883,0.635963,0.499457,1
20,0.699943,1.03385,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.000157216,0.0551197,-0.0505586,0.635963,0.499457,1
30,1.06122,1.03369,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,9.3125e-005,0.055102,-0.0504009,0.635963,0.499457,1
40,1.44815,1.03354,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,6.57786e-005,0.0551022,-0.0502496,0.635992,0.499463,1
50,1.62428,1.0334,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,7.67134e-005,0.0551184,-0.0501144,0.635996,0.499463,1
60,1.79851,1.03322,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,6.69542e-005,0.0551344,-0.049925,0.636007,0.49946,1
70,1.92809,1.03297,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,4.80825e-005,0.0551385,-0.0496806,0.636019,0.499455,1
80,1.94806,1.03273,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,4.89873e-005,0.0551443,-0.0494413,0.636051,0.49943,1
90,1.99453,1.03255,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,6.24575e-005,0.0551457,-0.0492593,0.636069,0.499405,1
100,1.97218,1.03238,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,6.39569e-005,0.0551395,-0.049088,0.636069,0.499405,1
110,11.3264,1.03201,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,6.07066e-005,0.0551234,-0.0487188,0.636092,0.499327,1
120,18.5181,1.03143,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,6.42132e-005,0.0551158,-0.0481387,0.636102,0.499304,1
130,23.282,1.03077,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,6.45198e-005,0.0551069,-0.0474826,0.636136,0.49924,1
140,26.2352,1.03009,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,3.87487e-005,0.0550915,-0.0468008,0.636171,0.499182,1
150,27.9625,1.02941,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,5.06414e-006,0.0550874,-0.0461167,0.636222,0.499106,1
160,28.7332,1.02873,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-2.32772e-005,0.0550991,-0.0454393,0.636274,0.499037,1
170,28.9578,1.02807,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-7.19384e-005,0.0550876,-0.0447701,0.636332,0.498966,1
180,28.816,1.02738,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000161769,0.0550446,-0.0440848,0.6364,0.49889,1
190,28.4055,1.02669,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000247087,0.0550031,-0.0433929,0.636453,0.498834,1
200,27.9941,1.02604,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000298256,0.0549749,-0.0427491,0.636494,0.498795,1
210,36.8047,1.02542,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000356808,0.0549379,-0.0421257,0.636554,0.498742,1
220,42.5813,1.02474,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000429236,0.0548891,-0.0414546,0.636629,0.49868,1
230,46.3859,1.024,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000464685,0.0548377,-0.0407088,0.636691,0.498633,1
240,48.7373,1.02326,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000487566,0.0547732,-0.0399701,0.636761,0.498584,1
250,50.2194,1.02261,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000564894,0.0547043,-0.0393226,0.636858,0.498518,1
260,51.0765,1.02204,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000643833,0.0546542,-0.0387602,0.636963,0.498451,1
270,51.4561,1.0215,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000661589,0.0546162,-0.0382192,0.637078,0.498382,1
280,51.5866,1.021,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000658665,0.0545602,-0.037723,0.63722,0.498299,1
290,51.4017,1.02055,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000685756,0.0545013,-0.0372746,0.637401,0.498198,1
300,51.1714,1.02013,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000722135,0.0544635,-0.0368606,0.637549,0.498119,1
310,59.9216,1.01971,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000789547,0.0544335,-0.0364337,0.637761,0.49801,1
320,65.3585,1.01934,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000895217,0.0543776,-0.0360653,0.638006,0.497887,1
330,68.4114,1.01902,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000994728,0.0543245,-0.0357544,0.638288,0.49775,1
340,69.7594,1.01872,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.0010541,0.0543113,-0.0354547,0.638582,0.49761,1
350,69.9516,1.01835,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.00111449,0.0543142,-0.0350857,0.63888,0.497473,1
360,69.4154,1.01799,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.00116305,0.0542716,-0.0347272,0.639148,0.497354,1
370,68.5368,1.01763,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.00116632,0.054179,-0.0343699,0.639376,0.497255,1
380,67.7053,1.01725,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.00110979,0.0540464,-0.0339908,0.639596,0.497164,1
390,67.1801,1.01677,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.00103114,0.0539095,-0.0335193,0.639789,0.497086,1
400,67.2932,1.01629,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000957949,0.0538262,-0.0330472,0.639928,0.497032,1
410,77.2521,1.01575,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000900763,0.0538147,-0.0325032,0.640033,0.496993,1
420,84.6573,1.0151,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.00079844,0.0537953,-0.031852,0.640106,0.496967,1
430,90.4019,1.01432,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.00063043,0.0537759,-0.031077,0.640141,0.496955,1
440,94.9915,1.0136,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000443804,0.0538421,-0.0303465,0.640236,0.496924,1
450,98.4528,1.01285,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-0.000278236,0.053999,-0.0295922,0.640341,0.496891,1
460,100.886,1.01201,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,-9.02046e-005,0.0541414,-0.0287439,0.640394,0.496876,1
470,102.591,1.01103,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.000121386,0.054274,-0.0277534,0.640491,0.49685,1
480,103.416,1.0101,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.000325634,0.0544094,-0.026818,0.640622,0.496817,1
490,103.806,1.00923,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.000526196,0.0545414,-0.0259356,0.640788,0.496779,1
500,103.584,1.00837,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.000771819,0.05466,-0.0250673,0.640972,0.496739,1
510,112.314,1.00742,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00106208,0.0548122,-0.0241098,0.641204,0.496693,1
520,117.901,1.00649,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00132865,0.0549234,-0.0231677,0.641435,0.49665,1
530,121.507,1.00555,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00154294,0.0549739,-0.0222264,0.641711,0.496602,1
540,124.499,1.00461,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00177965,0.0550027,-0.0212879,0.64205,0.496546,1
550,127.717,1.00368,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00204456,0.0550553,-0.0203516,0.642326,0.496504,1
560,130.977,1.00285,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00222827,0.055042,-0.019518,0.642559,0.496471,1
570,134.548,1.00204,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00234759,0.0549645,-0.0187122,0.642865,0.496431,1
580,137.456,1.00121,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00256219,0.0548665,-0.0178839,0.643193,0.49639,1
590,139.8,1.00044,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00287821,0.0548134,-0.0171166,0.643482,0.496357,1
600,141.651,0.999915,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00316482,0.0547608,-0.0165915,0.643747,0.496329,1
610,152.997,0.999598,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00340804,0.0546932,-0.0162763,0.643958,0.496308,1
620,162.49,0.999346,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.0036619,0.05465,-0.0160258,0.644145,0.496291,1
630,170.454,0.999161,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00389751,0.0547023,-0.0158364,0.644361,0.496273,1
640,178.383,0.999198,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00409,0.0547975,-0.0158676,0.644495,0.496262,1
650,186.019,0.999546,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00423339,0.0548797,-0.0162109,0.644526,0.49626,1
660,192.601,1.00009,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00434389,0.0549726,-0.0167508,0.644686,0.49625,1
670,197.343,1.00075,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00440544,0.0550372,-0.0174073,0.644821,0.496243,1
680,200.369,1.00151,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00441041,0.0549956,-0.0181747,0.644886,0.49624,1
690,201.462,1.00243,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00436394,0.0548961,-0.0191024,0.644888,0.49624,1
700,202.109,1.00348,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00433069,0.0548139,-0.0201564,0.64489,0.49624,1
710,212.653,1.00472,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00425944,0.0546013,-0.0214047,0.64489,0.49624,1
720,220.902,1.0061,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00413483,0.0542264,-0.0228084,0.64489,0.49624,1
730,227.089,1.00754,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00401681,0.053819,-0.0242743,0.64489,0.49624,1
740,229.25,1.0089,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00397534,0.0534768,-0.025659,0.64489,0.49624,1
750,226.857,1.01027,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00389317,0.0531397,-0.027045,0.64489,0.49624,1
760,219.604,1.01167,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00374321,0.0528955,-0.0284649,0.64489,0.49624,1
770,208.586,1.01307,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.0035503,0.0527594,-0.029875,0.64489,0.49624,1
780,195.991,1.01425,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00339264,0.0527156,-0.0310602,0.64489,0.49624,1
790,183.992,1.01523,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00323595,0.0527369,-0.032039,0.64489,0.49624,1
800,173.823,1.01608,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00312,0.0529457,-0.0328771,0.64489,0.49624,1
810,175.833,1.01688,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00303263,0.0533403,-0.0336601,0.64489,0.49624,1
820,177.031,1.01749,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00298597,0.0539017,-0.0342356,0.64489,0.49624,1
830,178.246,1.01785,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00282843,0.0545036,-0.0345645,0.64489,0.49624,1
840,178.881,1.01791,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00258425,0.0551624,-0.0345947,0.64489,0.49624,1
850,178.599,1.01776,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00235721,0.0558489,-0.0344033,0.64489,0.49624,1
860,177.008,1.01736,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00223097,0.0565329,-0.0339663,0.64489,0.49624,1
870,174.826,1.01686,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.0020628,0.0570615,-0.0334344,0.64489,0.49624,1
880,173.138,1.01626,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00194463,0.0574786,-0.0328169,0.64489,0.49624,1
890,174.022,1.01556,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00196348,0.0577348,-0.0321024,0.64489,0.49624,1
900,178.868,1.01463,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.0020779,0.0577566,-0.0311634,0.64489,0.49624,1
910,197.616,1.01361,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00212126,0.0574824,-0.0301592,0.64489,0.49624,1
920,215.381,1.01259,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.0021836,0.0571209,-0.0291555,0.64489,0.49624,1
930,230.329,1.01156,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00222128,0.0567352,-0.0281438,0.64489,0.49624,1
940,242.101,1.01036,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00209984,0.0563251,-0.0269659,0.64489,0.49624,1
950,249.191,1.00906,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00183077,0.0558791,-0.0256934,0.64489,0.49624,1
960,255.232,1.00767,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00169385,0.0555321,-0.0243205,0.64489,0.49624,1
970,262.574,1.00627,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00170022,0.0553198,-0.0229273,0.64489,0.49624,1
980,269.594,1.00492,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00173164,0.0552703,-0.021581,0.64489,0.49624,1
990,279.384,1.00367,0,0,0,-5.64889e-008,1.5714e-008,0.981818,0,0,0,0.00183827,0.0553519,-0.0203238,0.64489,0.49624,1
