step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.00108332,1.03318,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000389745,0.0551752,-0.0498857,0.636771,0.498887,1
10,0.1804,1.03318,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000393712,0.0551821,-0.0498824,0.636771,0.498887,1
20,0.276344,1.03314,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000405289,0.0551998,-0.049849,0.636771,0.498887,1
30,0.43046,1.03309,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000421493,0.0552071,-0.049792,0.636746,0.498892,1
40,0.585969,1.03306,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000432801,0.055211,-0.0497617,0.636722,0.498898,1
50,0.685959,1.03304,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000429575,0.0552037,-0.0497477,0.636698,0.498905,1
60,0.768076,1.03299,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000418798,0.0551928,-0.0496939,0.636698,0.498905,1
70,0.838398,1.0329,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000411686,0.0551816,-0.0496034,0.636698,0.498905,1
80,0.859215,1.03282,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000406674,0.0551812,-0.049531,0.636698,0.498905,1
90,0.892602,1.03278,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000398906,0.0551821,-0.0494894,0.636698,0.498905,1
100,0.898184,1.03273,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.00039559,0.0551794,-0.0494414,0.636698,0.498905,1
110,9.95156,1.03256,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000403166,0.0551587,-0.0492702,0.636698,0.498905,1
120,17.1879,1.03229,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000400518,0.055133,-0.0489951,0.636698,0.498905,1
130,22.1524,1.03196,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.00035785,0.0551095,-0.0486711,0.636698,0.498905,1
140,25.4082,1.03158,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000291832,0.0550903,-0.0482913,0.636698,0.498905,1
150,27.4286,1.03117,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000246919,0.055072,-0.0478818,0.636698,0.498905,1
160,28.5806,1.03077,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.0002356,0.055061,-0.047484,0.636698,0.498905,1
170,29.1769,1.03035,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000232704,0.0550493,-0.0470625,0.636698,0.498905,1
180,29.4805,1.02986,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000219454,0.0550321,-0.0465681,0.636698,0.498905,1
190,29.569,1.02934,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000192341,0.0550126,-0.0460522,0.636698,0.498905,1
200,29.6276,1.02887,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000148615,0.0549959,-0.0455788,0.636698,0.498905,1
210,38.9732,1.02835,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000101213,0.0549787,-0.0450578,0.636698,0.498905,1
220,45.3084,1.02768,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,8.09804e-005,0.0549578,-0.0443933,0.636698,0.498905,1
230,49.3867,1.02692,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,7.26872e-005,0.0549397,-0.0436312,0.636698,0.498905,1
240,51.8773,1.02614,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,1.86998e-005,0.0549215,-0.0428468,0.636698,0.498905,1
250,53.1704,1.02532,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-7.34356e-005,0.0549042,-0.0420288,0.636698,0.498905,1
260,53.6301,1.02444,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000132208,0.0548833,-0.0411497,0.636698,0.498905,1
270,53.4381,1.02354,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000144487,0.0548679,-0.0402476,0.636698,0.498905,1
280,52.8643,1.02264,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000172043,0.0548531,-0.0393469,0.636698,0.498905,1
290,51.9366,1.0217,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000244595,0.0548505,-0.0384105,0.636698,0.498905,1
300,50.8578,1.02072,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000322377,0.054852,-0.0374315,0.636698,0.498905,1
310,58.8033,1.01971,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000371854,0.0548587,-0.0364116,0.636695,0.498919,1
320,63.5245,1.01864,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000385641,0.0548467,-0.0353398,0.636688,0.498947,1
330,66.0743,1.01747,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000359997,0.0548208,-0.0341742,0.636682,0.498975,1
340,67.3135,1.01621,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000315044,0.0547665,-0.0329172,0.63667,0.499038,1
350,67.9529,1.01494,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000310974,0.0547064,-0.0316501,0.636654,0.499132,1
360,68.3087,1.0137,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000354542,0.0546511,-0.0304063,0.636631,0.499266,1
370,68.756,1.01243,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000368841,0.0546229,-0.0291362,0.636605,0.49944,1
380,69.2978,1.01112,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000308154,0.0545829,-0.0278258,0.636577,0.499633,1
390,69.9758,1.00981,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000238952,0.0545458,-0.0265207,0.636549,0.499848,1
400,70.7976,1.00851,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000235977,0.0545195,-0.0252217,0.636517,0.5001,1
410,80.7743,1.00712,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.00028852,0.0545113,-0.0238259,0.636483,0.500403,1
420,87.2927,1.00562,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000306959,0.0544843,-0.0223214,0.636447,0.500731,1
430,91.5733,1.00409,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000248859,0.0544785,-0.0207902,0.636417,0.501037,1
440,93.6845,1.00257,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-0.000162514,0.0544817,-0.0192655,0.63639,0.501329,1
450,94.4718,1.00104,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,-7.60909e-005,0.0544622,-0.0177385,0.636364,0.501633,1
460,94.0331,0.999539,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,4.84353e-005,0.0544123,-0.0162385,0.63634,0.501931,1
470,92.5515,0.998093,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000185528,0.054417,-0.0147904,0.63632,0.502215,1
480,90.5545,0.996679,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000318997,0.0544507,-0.0133718,0.636303,0.502485,1
490,88.1919,0.99527,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000523202,0.054438,-0.0119623,0.63629,0.502709,1
500,86.0793,0.993896,0,0,0,-1.80169e-008,1.13791e-008,0.981818,0,0,0,0.000741176,0.0543713,-0.010589,0.636281,0.502905,1
