step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.0159348,1.02188,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,9.83725e-006,0.0557901,-0.0385388,0.636942,0.503576,1
10,2.28531,1.02191,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-2.2483e-005,0.0557743,-0.0385712,0.636942,0.503576,1
20,2.54659,1.02195,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-4.56827e-005,0.0557255,-0.0386093,0.636942,0.503576,1
30,3.46481,1.02196,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-3.56618e-005,0.0556491,-0.0386267,0.636942,0.503576,1
40,3.49352,1.02198,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-9.86442e-005,0.0556165,-0.0386486,0.636998,0.503588,1
50,3.38017,1.02203,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000175333,0.0556484,-0.0387007,0.637185,0.503619,1
60,3.23461,1.02209,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000175622,0.0556789,-0.038753,0.637242,0.503626,1
70,3.19684,1.02213,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000142877,0.0556572,-0.038796,0.637466,0.503642,1
80,2.91908,1.02218,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000170006,0.0556353,-0.0388417,0.637597,0.503644,1
90,2.83062,1.02223,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000220513,0.055639,-0.0388955,0.637749,0.503638,1
100,2.65325,1.02227,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000248546,0.0556371,-0.038933,0.637877,0.503626,1
110,11.5842,1.0223,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000266785,0.0556031,-0.0389641,0.638068,0.503596,1
120,18.4049,1.02233,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000302406,0.0555603,-0.0390036,0.638315,0.503545,1
130,22.5241,1.02239,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00032413,0.0555147,-0.0390631,0.638556,0.503482,1
140,25.1263,1.02245,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000325515,0.0554852,-0.0391216,0.638782,0.503411,1
150,26.4896,1.0225,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000358117,0.0555089,-0.0391757,0.639053,0.503313,1
160,26.8799,1.02257,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000438612,0.0555512,-0.0392448,0.639362,0.50319,1
170,26.9578,1.02266,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00046278,0.0555357,-0.0393375,0.639593,0.503086,1
180,26.7121,1.02276,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00037805,0.05547,-0.0394376,0.639763,0.503,1
190,25.9298,1.02288,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000287581,0.0554036,-0.0395639,0.639999,0.502871,1
200,25.0916,1.02306,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00025489,0.0553468,-0.0397464,0.640246,0.502726,1
210,33.1467,1.02333,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000202702,0.0552861,-0.0400167,0.640392,0.502632,1
220,38.1502,1.02369,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000119836,0.0552241,-0.0403789,0.640493,0.502561,1
230,40.8774,1.02412,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000133655,0.0551835,-0.0408134,0.640663,0.502431,1
240,41.6538,1.0246,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000232019,0.0551641,-0.041298,0.640853,0.502276,1
250,41.5763,1.02514,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00031856,0.0551416,-0.0418417,0.640995,0.502152,1
260,41.0943,1.02576,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000392573,0.0551052,-0.0424648,0.641148,0.502009,1
270,39.5328,1.02641,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000464034,0.0550907,-0.0431137,0.641348,0.501809,1
280,39.0247,1.02703,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000375597,0.0550723,-0.0437335,0.641569,0.501578,1
290,37.4503,1.02763,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00013053,0.0549999,-0.0443368,0.641786,0.501341,1
300,37.295,1.02826,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000120391,0.0548809,-0.0449798,0.641956,0.501145,1
310,45.6039,1.02898,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000284214,0.0547756,-0.0457076,0.642057,0.501022,1
320,51.1481,1.02983,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000422295,0.0546981,-0.0465551,0.642139,0.500915,1
330,54.2386,1.03075,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000471008,0.0546458,-0.0474863,0.642217,0.50081,1
340,58.2622,1.03176,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.00048006,0.0545544,-0.0484945,0.642217,0.50081,1
350,62.5919,1.0328,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.00053361,0.0544186,-0.0495441,0.642217,0.50081,1
360,68.7495,1.03391,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000615123,0.0543562,-0.0506619,0.642217,0.50081,1
370,75.6446,1.0351,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000515495,0.0544624,-0.0518502,0.642217,0.50081,1
380,83.3216,1.03637,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000282439,0.0545859,-0.053113,0.642217,0.50081,1
390,89.6372,1.03748,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,5.60975e-005,0.05463,-0.0542178,0.642217,0.50081,1
400,95.8722,1.03829,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-6.98541e-005,0.0546636,-0.0550303,0.642217,0.50081,1
410,106.599,1.03899,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00019469,0.0547883,-0.0557253,0.642217,0.50081,1
420,114.661,1.03977,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000295947,0.054993,-0.0564944,0.642371,0.500512,1
430,119.617,1.04036,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000323686,0.0552514,-0.057073,0.642524,0.500203,1
440,123.639,1.0406,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000267179,0.0554031,-0.0573103,0.642657,0.499922,1
450,127.109,1.04068,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000254497,0.0553422,-0.0573929,0.642822,0.499557,1
460,129.036,1.04072,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000243451,0.0551457,-0.0574365,0.642994,0.499162,1
470,129.656,1.04054,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000262421,0.055014,-0.057266,0.643103,0.498893,1
480,130.577,1.04014,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.00044851,0.054966,-0.0568728,0.643177,0.498702,1
490,129.104,1.03966,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000711889,0.0549243,-0.0563857,0.643228,0.498558,1
500,129.097,1.03909,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000650996,0.0548006,-0.0558258,0.643251,0.498488,1
510,136.046,1.03836,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000292269,0.054614,-0.0551021,0.643282,0.498382,1
520,140.647,1.03753,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-3.76784e-005,0.0544482,-0.0542824,0.643319,0.498238,1
530,140.139,1.03683,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,6.97309e-005,0.0543987,-0.0535804,0.643339,0.498139,1
540,138.48,1.03626,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000213045,0.0544328,-0.0530063,0.643355,0.498044,1
550,135.774,1.03554,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000192248,0.0544625,-0.0522909,0.643355,0.498044,1
560,134.146,1.03463,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-8.01605e-005,0.0544668,-0.0513749,0.643355,0.498044,1
570,132.847,1.03386,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,-0.000181465,0.054547,-0.0506054,0.643355,0.498044,1
580,132.232,1.03344,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,3.82314e-005,0.0547298,-0.0501711,0.643355,0.498044,1
590,132.409,1.03309,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000163216,0.0548525,-0.0498106,0.643355,0.498044,1
600,131.524,1.03256,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,9.90381e-005,0.0548153,-0.0492814,0.643355,0.498044,1
610,141.315,1.032,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000242431,0.0547106,-0.048727,0.643355,0.498044,1
620,143.85,1.0316,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000605776,0.0546337,-0.0483371,0.643355,0.498044,1
630,147.337,1.03126,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000731793,0.054617,-0.0479965,0.643269,0.497835,1
640,150.55,1.03076,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000565646,0.0548234,-0.0474844,0.64317,0.497616,1
650,157.421,1.03015,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000511782,0.0552299,-0.0468532,0.64317,0.497616,1
660,162.862,1.02951,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000539799,0.0554778,-0.0461976,0.64317,0.497616,1
670,168.506,1.02873,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000354534,0.0553714,-0.0454253,0.64317,0.497616,1
680,167.291,1.02778,0,0,0,-3.64401e-008,8.12791e-010,0.981818,0,0,0,0.000176457,0.0552542,-0.0444751,0.64317,0.497616,1
