step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
0,150.076,0,0,0,0,0,0.5,-0.000532808,0.0604242,0.001142
10,16544.7,0,0,0,0,0,0.5,-0.000530626,0.0610295,0.00114403
20,12589.9,0,0,0,0,0,0.5,-0.000476488,0.0648911,0.000983036
30,6929.57,0,0,0,0,0,0.5,-0.000461094,0.0717655,-0.000144756
40,9636.58,0,0,0,0,0,0.5,-0.00120877,0.0740338,-0.00326204
50,6634.51,0,0,0,0,0,0.5,-0.00238951,0.0686508,-0.00827309
60,4687.57,0,0,0,0,0,0.5,-0.00199912,0.063886,-0.0133285
70,4268.06,0,0,0,0,0,0.5,-0.000415671,0.0648036,-0.0147392
80,2645.34,0,0,0,0,0,0.5,0.000392673,0.0667863,-0.0120011
90,2570.91,0,0,0,0,0,0.5,0.000523399,0.0663493,-0.00570304
100,2118.43,0,0,0,0,0,0.5,-0.000228377,0.0660307,0.00274875
110,1650.81,0,0,0,0,0,0.5,-0.00175846,0.0672626,0.00890125
120,1441.77,0,0,0,0,0,0.5,-0.002465,0.0672928,0.0110374
130,1516.3,0,0,0,0,0,0.5,-0.00166754,0.0657567,0.0101695
140,1134.07,0,0,0,0,0,0.5,-0.00102332,0.0651856,0.0102866
150,784.829,0,0,0,0,0,0.5,-0.000634323,0.0665929,0.0117382
160,801.879,0,0,0,0,0,0.5,-0.000254267,0.0682359,0.0129639
170,576.036,0,0,0,0,0,0.5,4.09984e-005,0.0678912,0.0124621
180,393.779,0,0,0,0,0,0.5,-0.000285457,0.0662676,0.00985595
190,394.523,0,0,0,0,0,0.5,-0.000410491,0.0661835,0.00669262
200,350.874,0,0,0,0,0,0.5,-0.000226515,0.0674988,0.00430871
210,230.413,0,0,0,0,0,0.5,-0.000269464,0.0675873,0.00320111
220,213.511,0,0,0,0,0,0.5,-0.00119293,0.0664569,0.00284678
230,224.583,0,0,0,0,0,0.5,-0.00211552,0.0661589,0.00294643
240,155.521,0,0,0,0,0,0.5,-0.00191523,0.0670951,0.00299132
250,146.91,0,0,0,0,0,0.5,-0.0010546,0.067886,0.00307285
260,110.215,0,0,0,0,0,0.5,-0.00090597,0.0678953,0.00346233
270,83.3422,0,0,0,0,0,0.5,-0.00116217,0.0674479,0.0042258
280,88.7223,0,0,0,0,0,0.5,-0.00108401,0.0670179,0.00456809
290,51.5211,0,0,0,0,0,0.5,-0.000775258,0.0668,0.00437248
300,56.5124,0,0,0,0,0,0.5,-0.000515066,0.0668943,0.00390394
310,56.2588,0,0,0,0,0,0.5,-0.000231486,0.0671971,0.0038057
320,40.6433,0,0,0,0,0,0.5,-0.000192238,0.067344,0.00416105
330,44.0929,0,0,0,0,0,0.5,-0.000446413,0.067003,0.00473995
340,41.8922,0,0,0,0,0,0.5,-0.000760196,0.0666358,0.00485723
350,37.6297,0,0,0,0,0,0.5,-0.000909932,0.0668726,0.00448286
360,30.4205,0,0,0,0,0,0.5,-0.000855913,0.067458,0.00388936
370,28.5779,0,0,0,0,0,0.5,-0.000692027,0.067634,0.003583
380,27.5077,0,0,0,0,0,0.5,-0.000750137,0.0674369,0.00373235
390,21.6412,0,0,0,0,0,0.5,-0.00094048,0.0673482,0.00422972
400,25.1393,0,0,0,0,0,0.5,-0.000869756,0.0674712,0.00455673
410,25.9054,0,0,0,0,0,0.5,-0.000608022,0.0674886,0.00452009
420,26.7116,0,0,0,0,0,0.5,-0.000518077,0.0673238,0.00426548
430,29.9863,0,0,0,0,0,0.5,-0.000614041,0.0672476,0.00413496
440,24.7571,0,0,0,0,0,0.5,-0.00072138,0.0674595,0.00417906
450,28.6534,0,0,0,0,0,0.5,-0.000740242,0.0676875,0.00431405
460,23.3868,0,0,0,0,0,0.5,-0.000644738,0.0676695,0.00437864
470,20.4237,0,0,0,0,0,0.5,-0.000613989,0.0675257,0.0043571
480,25.7228,0,0,0,0,0,0.5,-0.00067737,0.0674468,0.00417182
490,26.4721,0,0,0,0,0,0.5,-0.000658143,0.0673835,0.00382707
500,27.7056,0,0,0,0,0,0.5,-0.000567431,0.0673912,0.00344826
510,27.7869,0,0,0,0,0,0.5,-0.000574839,0.0676325,0.0031917
520,30.1322,0,0,0,0,0,0.5,-0.00052506,0.0679434,0.00301904
530,29.9579,0,0,0,0,0,0.5,-0.00046055,0.067951,0.00281939
540,25.7635,0,0,0,0,0,0.5,-0.000561257,0.0677046,0.00261036
550,28.5842,0,0,0,0,0,0.5,-0.000702525,0.0676113,0.00245117
560,25.94,0,0,0,0,0,0.5,-0.000596156,0.0677678,0.00238709
570,27.9253,0,0,0,0,0,0.5,-0.000538047,0.0679404,0.00233172
580,30.572,0,0,0,0,0,0.5,-0.000709534,0.0680461,0.00236401
590,30.9445,0,0,0,0,0,0.5,-0.000846744,0.0682621,0.00251801
600,31.6536,0,0,0,0,0,0.5,-0.000713533,0.0684497,0.00273127
610,32.3194,0,0,0,0,0,0.5,-0.000600168,0.0683732,0.00278815
620,30.8326,0,0,0,0,0,0.5,-0.000587423,0.06813,0.0028101
630,32.086,0,0,0,0,0,0.5,-0.000512131,0.0680153,0.00288044
