step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
0,147.348,-6.84813e-007,-2.43941e-006,-3.58025e-005,0,0,0.5,-0.000532808,0.0604242,0.001142
10,16243.9,-1.34265e-005,-4.62489e-005,-0.000677738,-3.64539e-008,-1.27285e-007,0.499998,-0.000530626,0.0610295,0.00114403
20,12361,-2.45708e-005,-7.95473e-005,-0.00117104,-1.33103e-007,-4.48814e-007,0.499993,-0.000476488,0.0648911,0.000983036
30,6803.58,-3.31454e-005,-0.000106696,-0.00152782,-2.80416e-007,-9.21145e-007,0.499987,-0.000461094,0.0717655,-0.000144756
40,9461.37,-3.85406e-005,-0.000129013,-0.00176777,-4.62915e-007,-1.51807e-006,0.499978,-0.00120877,0.0740338,-0.00326204
50,6513.89,-3.87526e-005,-0.000147758,-0.0019185,-6.60777e-007,-2.21775e-006,0.499969,-0.00238951,0.0686508,-0.00827309
60,4602.34,-3.52472e-005,-0.000163895,-0.00200624,-8.47867e-007,-3.00592e-006,0.499959,-0.00199912,0.063886,-0.0133285
70,4190.46,-3.25007e-005,-0.000177777,-0.00205438,-1.01846e-006,-3.86914e-006,0.499949,-0.000415671,0.0648036,-0.0147392
80,2597.24,-2.98711e-005,-0.00018976,-0.00208188,-1.17623e-006,-4.79821e-006,0.499938,0.000392673,0.0667863,-0.0120011
90,2524.17,-2.74397e-005,-0.000197893,-0.00209997,-1.32053e-006,-5.77901e-006,0.499928,0.000523399,0.0663493,-0.00570304
100,2079.92,-2.57254e-005,-0.000200489,-0.00211272,-1.45447e-006,-6.78717e-006,0.499917,-0.000228377,0.0660307,0.00274875
110,1620.81,-2.49874e-005,-0.000199283,-0.00212989,-1.58187e-006,-7.79713e-006,0.499906,-0.00175847,0.0672626,0.00890129
120,1415.6,-2.50707e-005,-0.000197707,-0.00216075,-1.7081e-006,-8.79936e-006,0.499895,-0.00246502,0.0672928,0.0110375
130,1488.79,-2.53539e-005,-0.000195615,-0.00220416,-1.83527e-006,-9.79255e-006,0.499884,-0.00166755,0.0657567,0.0101697
140,1113.51,-2.64619e-005,-0.000193126,-0.00225787,-1.96576e-006,-1.07741e-005,0.499873,-0.00102332,0.0651856,0.0102867
150,770.623,-2.80029e-005,-0.000190744,-0.00231816,-2.10308e-006,-1.17429e-005,0.499862,-0.000634309,0.0665929,0.0117384
160,787.38,-3.02273e-005,-0.000188697,-0.00237746,-2.24974e-006,-1.27006e-005,0.49985,-0.000254238,0.068236,0.0129642
170,565.642,-3.25408e-005,-0.000188304,-0.00243407,-2.4085e-006,-1.36511e-005,0.499838,4.10519e-005,0.0678913,0.0124623
180,386.693,-3.41489e-005,-0.000190065,-0.00248607,-2.577e-006,-1.46057e-005,0.499825,-0.000285424,0.0662675,0.00985599
190,387.44,-3.55355e-005,-0.000191783,-0.00252677,-2.75304e-006,-1.55698e-005,0.499813,-0.000410464,0.0661834,0.00669233
200,344.6,-3.66378e-005,-0.000193115,-0.00255886,-2.93533e-006,-1.65414e-005,0.4998,-0.00022646,0.0674989,0.0043081
210,226.33,-3.72475e-005,-0.000195445,-0.00258943,-3.12205e-006,-1.75212e-005,0.499787,-0.000269423,0.0675874,0.00320025
220,209.763,-3.74585e-005,-0.000198861,-0.00261676,-3.3107e-006,-1.85162e-005,0.499774,-0.00119316,0.0664567,0.00284574
