step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,0.5,568.422,0,0.508181,-3.45236,0.00818125
1,0.49,567.398,-1.02417,0.487458,-4.43196,-0.00254207
2,0.48,567.277,-1.14515,0.477385,-4.99835,-0.00261546
3,0.47,567.224,-1.19756,0.467475,-5.48785,-0.00252528
4,0.46,567.167,-1.25505,0.457566,-6.01588,-0.00243354
5,0.45,567.104,-1.318,0.447658,-6.57897,-0.0023418
6,0.44,567.035,-1.38672,0.43775,-7.16895,-0.00225005
7,0.43,566.955,-1.46685,0.427842,-7.81721,-0.00215832
8,0.42,566.874,-1.548,0.417933,-8.40812,-0.00206658
9,0.41,566.787,-1.63481,0.408025,-8.93977,-0.00197483
10,0.4,566.661,-1.76048,0.398117,-9.52298,-0.00188308
11,0.39,566.565,-1.85678,0.388209,-9.68407,-0.00179134
12,0.38,566.436,-1.98603,0.3783,-9.5958,-0.00169961
13,0.37,566.344,-2.07782,0.368392,-8.62125,-0.00160786
14,0.36,566.229,-2.1932,0.358484,-6.69007,-0.00151611
15,0.35,566.174,-2.2477,0.348576,-2.74587,-0.00142437
16,0.34,566.106,-2.31589,0.338667,3.80947,-0.00133262
17,0.33,566.165,-2.25676,0.328759,15.2205,-0.00124089
18,0.32,566.407,-2.0147,0.318851,34.0357,-0.00114914
19,0.31,566.891,-1.53088,0.308943,63.3705,-0.0010574
20,0.3,566.868,-1.554,0.299034,57.0104,-0.000965673
21,0.29,565.371,-3.05071,0.288964,-19.2369,-0.0010356
22,0.28,565.895,-2.52625,0.276908,17.571,-0.00309194
23,0.27,564.303,-4.11913,0.266682,-11.2142,-0.00331842
24,0.26,564.649,-3.77285,0.254952,6.5894,-0.00504839
25,0.25,564.416,-4.00582,0.244219,13.3008,-0.00578088
26,0.24,564.332,-4.08943,0.233231,17.4496,-0.00676873
27,0.23,564.272,-4.15011,0.22289,36.4486,-0.00711018
28,0.22,564.306,-4.11588,0.212785,35.9465,-0.00721465
29,0.21,564.833,-3.58903,0.202422,58.3731,-0.00757795
30,0.2,565.936,-2.48525,0.192279,96.7158,-0.00772109
31,0.19,568.749,0.327013,0.182012,148.044,-0.00798845
32,0.18,574.923,6.50141,0.171788,205.922,-0.00821179
33,0.17,572.66,4.2383,0.16143,299.946,-0.0085703
34,0.16,577.032,8.6104,0.15066,403.495,-0.00934015
35,0.15,580.436,12.0142,0.140242,530.757,-0.0097583
36,0.14,624.781,56.3597,0.129119,1382.52,-0.0108807
37,0.13,592.994,24.572,0.118781,772.037,-0.0112187
38,0.12,604.278,35.8561,0.106151,1014.08,-0.0138486
39,0.11,609.799,41.3771,0.0958337,1099.8,-0.0141663
40,0.1,620.577,52.1556,0.0850015,1200.74,-0.0149985
41,0.09,632.451,64.0295,0.074114,1295.44,-0.015886
42,0.08,645.697,77.275,0.0621862,1380.27,-0.0178138
43,0.07,660.631,92.209,0.0506804,1213.84,-0.0193196
44,0.06,740.723,172.301,0.0273058,1593.96,-0.0326942
45,0.05,698.461,130.039,0.0168657,1348.25,-0.0331343
46,0.04,717.69,149.268,0.00194337,1350.36,-0.0380566
47,0.03,712.469,144.047,-0.00962102,1241.28,-0.039621
48,0.02,721.821,153.4,-0.020337,1121.59,-0.040337
49,0.01,731.498,163.076,-0.0308549,966.232,-0.0408549
50,-2.08167e-017,739.559,171.137,-0.0416091,775.683,-0.0416091
51,-0.01,746.027,177.605,-0.0531896,665.247,-0.0431896
52,-0.02,751.746,183.324,-0.062838,521.801,-0.042838
