step	rz	Epot	Epot00	prob_atom_crd[2]	prob_atom_f[2]	target_crd[2]
0	-0,5	578,741	0	-0,497058	-2,4057	0,00294195
1	-0,49	571,207	-7,53354	-0,485233	-3,07318	0,00476736
2	-0,48	570,671	-8,0701	-0,475733	-3,40534	0,00426654
3	-0,47	568,674	-10,0668	-0,466042	-3,8027	0,00395811
4	-0,46	568,608	-10,1325	-0,457403	-4,19679	0,00259653
5	-0,45	568,553	-10,1877	-0,447512	-4,69151	0,00248788
6	-0,44	568,504	-10,237	-0,437604	-5,17295	0,00239614
7	-0,43	568,427	-10,3138	-0,427696	-5,85996	0,00230441
8	-0,42	568,298	-10,4427	-0,417787	-6,9617	0,00221267
9	-0,41	568,225	-10,5157	-0,407879	-7,63558	0,00212091
10	-0,4	568,094	-10,6465	-0,397971	-8,74419	0,00202917
11	-0,39	567,952	-10,7888	-0,388063	-9,91971	0,00193743
12	-0,38	567,831	-10,9098	-0,378154	-10,8944	0,00184569
13	-0,37	567,718	-11,023	-0,368246	-11,7451	0,00175396
14	-0,36	567,596	-11,1445	-0,358338	-12,548	0,0016622
15	-0,35	567,467	-11,2735	-0,34843	-13,2293	0,00157045
16	-0,34	567,332	-11,4083	-0,338521	-13,6732	0,00147872
17	-0,33	567,195	-11,5456	-0,328613	-13,699	0,00138698
18	-0,32	567,061	-11,68	-0,318705	-13,0282	0,00129524
19	-0,31	566,938	-11,8025	-0,308797	-11,2319	0,00120349
20	-0,3	566,842	-11,8987	-0,298888	-7,65241	0,00111174
21	-0,29	566,794	-11,9462	-0,28898	-1,28241	0,00102001
22	-0,28	566,831	-11,9098	-0,279072	9,41846	0,000928258
23	-0,27	567,006	-11,7349	-0,269163	26,7979	0,000836526
24	-0,26	567,403	-11,3377	-0,259255	54,3959	0,000744772
25	-0,25	568,152	-10,5886	-0,249347	97,3833	0,000653022
26	-0,24	569,117	-9,62369	-0,239439	145,373	0,000561278
27	-0,23	567,793	-10,948	-0,229571	62,246	0,000428598
28	-0,22	567,479	-11,2614	-0,219524	72,5804	0,000476348
29	-0,21	569,182	-9,55841	-0,209359	120,327	0,000641051
30	-0,2	570,567	-8,1739	-0,200025	177,24	-2,51E-05
31	-0,19	572,323	-6,41797	-0,189887	251,338	0,000113407
32	-0,18	575,129	-3,61202	-0,179824	353,941	0,000176332
33	-0,17	578,987	0,246229	-0,170066	478,223	-6,60E-05
34	-0,16	584,54	5,79888	-0,159757	643,856	0,000243463
35	-0,15	592,09	13,3496	-0,14912	839,063	0,000879739
36	-0,14	600,528	21,7872	-0,138508	1023,24	0,00149223
37	-0,13	609,584	30,8436	-0,127399	1116,43	0,00260091
38	-0,12	620,872	42,1314	-0,112567	1317,34	0,00743294
39	-0,11	634,382	55,6418	-0,0995808	1595,89	0,0104192
40	-0,1	651,45	72,7098	-0,0885866	1874,08	0,0114134
41	-0,09	669,807	91,0668	-0,0782289	2042,06	0,0117711
42	-0,08	688,725	109,984	-0,0669373	2206,59	0,0130627
43	-0,07	707,025	128,284	-0,0546926	2205,02	0,0153074
44	-0,06	721,88	143,14	-0,0397748	2046,76	0,0202252
45	-0,05	742,808	164,068	-0,0139673	2144,99	0,0360327
46	-0,04	760,912	182,171	0,00136847	2085,04	0,0413685
47	-0,03	781,24	202,5	0,0138795	2034,25	0,0438795
48	-0,02	798,537	219,796	0,0243926	1774,42	0,0443926
49	-0,01	814,541	235,8	0,0376072	1625,69	0,0476072
50	0	829,569	250,828	0,0490271	1477,68	0,0490271
51	0,01	825,086	246,346	0,0591301	121,77	0,0491301
52	0,02	796,886	218,145	0,0688727	-339,709	0,0488727
53	0,03	765,288	186,547	0,0666991	-883,334	0,0366991
54	0,04	725,13	146,39	0,0506332	-1077,33	0,0106332
55	0,05	699,823	121,083	0,0432044	-1257,32	-0,00679562
56	0,06	681,688	102,947	0,0422426	-1288,05	-0,0177574
57	0,07	669,512	90,7713	0,0447787	-1276,59	-0,0252213
58	0,08	653,381	74,6399	0,0479957	-1185,74	-0,0320043
59	0,09	640,754	62,0131	0,0576331	-1129,72	-0,0323669
60	0,1	628,985	50,2444	0,0674132	-1059,88	-0,0325868
61	0,11	618,23	39,4896	0,0776032	-927,28	-0,0323968
62	0,12	608,913	30,172	0,0878058	-812,618	-0,0321942
63	0,13	601,059	22,3181	0,0984983	-680,316	-0,0315017
64	0,14	593,235	14,4943	0,108737	-584,117	-0,0312634
65	0,15	587,236	8,49525	0,122085	-454,705	-0,0279149
66	0,16	582,443	3,70194	0,132207	-351,701	-0,0277925
67	0,17	577,368	-1,37295	0,142892	-271,051	-0,0271079
68	0,18	572,474	-6,26696	0,156196	-197,55	-0,0238035
69	0,19	569,408	-9,3323	0,166793	-141,819	-0,0232072
70	0,2	568,03	-10,7111	0,178266	-90,1727	-0,0217337
71	0,21	567,51	-11,2305	0,188321	-57,0344	-0,0216788
72	0,22	566,848	-11,8928	0,198902	-32,3847	-0,0210982
73	0,23	566,71	-12,0306	0,208672	-16,1437	-0,021328
74	0,24	566,859	-11,8818	0,218528	-8,617	-0,0214724
75	0,25	566,302	-12,4387	0,228417	8,51572	-0,0215826
76	0,26	567,077	-11,6639	0,23935	-13,1336	-0,0206505
77	0,27	566,63	-12,1111	0,251166	10,0292	-0,0188339
78	0,28	566,912	-11,8284	0,260791	9,23481	-0,0192089
79	0,29	568,045	-10,6957	0,270543	-41,0486	-0,019457
80	0,3	567,751	-10,9896	0,280451	-18,9423	-0,0195488
81	0,31	567,635	-11,1059	0,290359	-5,2659	-0,0196405
82	0,32	567,627	-11,1141	0,300268	2,97465	-0,0197322
83	0,33	567,682	-11,0583	0,310176	7,74765	-0,019824
84	0,34	567,785	-10,9561	0,320084	10,2413	-0,0199157
85	0,35	567,899	-10,8414	0,329993	11,4043	-0,0200075
86	0,36	568,026	-10,7146	0,339901	11,6784	-0,0200992
87	0,37	568,142	-10,5983	0,349809	11,5217	-0,020191
88	0,38	568,255	-10,4852	0,359717	11,0627	-0,0202827
89	0,39	568,363	-10,3776	0,369626	10,4387	-0,0203744
90	0,4	568,464	-10,2766	0,379534	9,7366	-0,0204662
91	0,41	568,563	-10,1776	0,389442	8,96571	-0,0205579
92	0,42	568,649	-10,0916	0,39935	8,25272	-0,0206497
93	0,43	568,728	-10,0125	0,409259	7,56789	-0,0207414
94	0,44	568,801	-9,94007	0,419167	6,92198	-0,0208332
95	0,45	568,867	-9,87389	0,429075	6,32018	-0,0209249
96	0,46	568,927	-9,81353	0,438983	5,76415	-0,0210166
97	0,47	568,982	-9,75852	0,448892	5,25343	-0,0211084
98	0,48	569,032	-9,70835	0,4588	4,78624	-0,0212001
99	0,49	569,078	-9,66265	0,468708	4,36011	-0,0212919
