step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,0.5,598.487,0,0.500787,-4.03394,0.000786569
1,0.49,592.85,-5.63695,0.484454,-4.5516,-0.00554638
2,0.48,590.067,-8.42039,0.478484,-4.95282,-0.00151622
3,0.47,587.779,-10.7077,0.469459,-5.41021,-0.000540597
4,0.46,586.239,-12.2484,0.459311,-5.96366,-0.000688529
5,0.45,585.147,-13.3402,0.44899,-6.597,-0.00101008
6,0.44,583.939,-14.5485,0.438732,-7.27236,-0.00126778
7,0.43,582.407,-16.0798,0.428351,-8.00658,-0.00164894
8,0.42,581.307,-17.1803,0.417825,-8.53389,-0.00217457
9,0.41,578.715,-19.7725,0.407341,-8.95999,-0.00265874
10,0.4,576.328,-22.1588,0.397591,-9.08379,-0.0024089
11,0.39,575.628,-22.8594,0.387653,-9.01357,-0.00234693
12,0.38,575.355,-23.132,0.377777,-8.1317,-0.00222264
13,0.37,575.049,-23.4383,0.367796,-6.21692,-0.0022043
14,0.36,574.687,-23.8005,0.357809,-2.69082,-0.00219065
15,0.35,574.59,-23.8976,0.347865,3.30402,-0.00213523
16,0.34,574.547,-23.9403,0.337906,13.429,-0.00209426
17,0.33,574.598,-23.8896,0.327972,29.9269,-0.00202841
18,0.32,574.873,-23.614,0.318043,55.6351,-0.0019572
19,0.31,575.669,-22.8186,0.308097,94.8067,-0.00190254
20,0.3,576.831,-21.6557,0.298191,145.592,-0.00180947
21,0.29,579.134,-19.3532,0.288202,215.729,-0.00179849
22,0.28,582.773,-15.7144,0.278156,305.615,-0.00184422
23,0.27,587.926,-10.5608,0.268095,405.969,-0.00190548
24,0.26,595.469,-3.01795,0.257948,519.932,-0.00205187
25,0.25,606.466,7.97884,0.247709,657.248,-0.00229149
26,0.24,620.662,22.1752,0.237412,771.922,-0.002588
27,0.23,579.967,-18.5203,0.227013,176.559,-0.00298652
28,0.22,604.804,6.31705,0.214857,38.6826,-0.00514307
29,0.21,630.217,31.7299,0.201551,-8.34879,-0.00844861
30,0.2,632.298,33.8107,0.189881,-7.43483,-0.0101187
31,0.19,631.088,32.6012,0.176923,-5.14914,-0.013077
32,0.18,628.801,30.3136,0.164236,10.815,-0.0157638
33,0.17,629.462,30.9749,0.152783,27.3617,-0.017217
34,0.16,626.918,28.4305,0.140273,41.3677,-0.0197271
35,0.15,630.334,31.847,0.127172,89.6319,-0.0228284
36,0.14,600.203,1.71559,0.115247,296,-0.0247529
37,0.13,612.53,14.0427,0.10421,131.399,-0.02579
38,0.12,647.897,49.4101,0.0926806,82.573,-0.0273194
39,0.11,683.549,85.0622,0.0795249,-15.8041,-0.0304751
40,0.1,726.034,127.547,0.0633096,-21.4703,-0.0366904
41,0.09,739.996,141.509,0.045369,-17.0721,-0.044631
42,0.08,758.037,159.55,0.0281676,-22.3511,-0.0518324
43,0.07,784.068,185.581,0.0176391,-22.4734,-0.0523609
44,0.06,820.011,221.524,0.00191699,-22.0614,-0.058083
45,0.05,684.746,86.2587,-0.0133389,155.999,-0.0633389
46,0.04,1472.9,874.417,-0.0237677,16790.3,-0.0637677
47,0.03,1985.48,1387,-0.0330572,15874.7,-0.0630572
48,0.02,2460.9,1862.41,-0.0434203,16881.6,-0.0634203
49,0.01,2654.83,2056.34,-0.0535914,8973.08,-0.0635914
50,1.38778e-017,2678.61,2080.13,-0.0635337,2234.71,-0.0635337
51,-0.01,2668.71,2070.23,-0.0722195,1099.31,-0.0622195
52,-0.02,2653.71,2055.22,-0.0797623,895.37,-0.0597623
53,-0.03,2626.61,2028.12,-0.0879674,895.81,-0.0579674
54,-0.04,1021.95,423.459,-0.0975532,1931.87,-0.0575532
55,-0.05,836.242,237.755,-0.110465,677.043,-0.0604654
56,-0.06,846.174,247.687,-0.127541,635.098,-0.067541
57,-0.07,849.171,250.684,-0.140986,638.261,-0.0709857
58,-0.08,843.792,245.305,-0.151794,509.037,-0.0717937
59,-0.09,852.994,254.507,-0.16231,519.789,-0.0723105
60,-0.1,850.707,252.219,-0.170214,375,-0.0702141
61,-0.11,847.224,248.737,-0.180327,-175.36,-0.0703266
62,-0.12,833.529,235.042,-0.189677,-511.284,-0.0696775
63,-0.13,795.454,196.967,-0.197841,-852.811,-0.0678407
64,-0.14,657.033,58.5457,-0.206202,8.64419,-0.0662017
65,-0.15,697.998,99.5106,-0.196324,-19.6064,-0.0463243
66,-0.16,748.073,149.586,-0.193335,-7.77437,-0.0333351
67,-0.17,780.153,181.666,-0.192225,-3.99892,-0.0222253
68,-0.18,765.233,166.746,-0.194839,12.9236,-0.0148394
69,-0.19,747.19,148.703,-0.201188,8.29026,-0.0111877
70,-0.2,729.209,130.722,-0.204917,7.67964,-0.00491716
71,-0.21,715.565,117.078,-0.209775,4.33078,0.000224819
72,-0.22,669.347,70.8597,-0.215321,1.65391,0.00467931
73,-0.23,612.178,13.6911,-0.222584,-122.299,0.00741574
74,-0.24,590.137,-8.34973,-0.232822,-68.4038,0.00717821
75,-0.25,582.387,-16.0997,-0.247752,-47.7788,0.00224838
76,-0.26,577.162,-21.3256,-0.262588,-10.1808,-0.0025877
77,-0.27,574.927,-23.5596,-0.273806,-16.4965,-0.00380591
78,-0.28,574.484,-24.0028,-0.283561,-22.3974,-0.00356092
79,-0.29,574.233,-24.254,-0.293376,-13.9774,-0.00337572
80,-0.3,573.863,-24.6237,-0.303177,-1.34038,-0.0031767
81,-0.31,573.623,-24.8637,-0.312913,3.91658,-0.00291338
82,-0.32,573.449,-25.0385,-0.322807,7.35357,-0.00280721
83,-0.33,573.542,-24.9452,-0.332715,10.3686,-0.00271501
84,-0.34,573.654,-24.8336,-0.34262,11.7474,-0.00262028
85,-0.35,573.774,-24.7133,-0.352529,12.1877,-0.00252854
86,-0.36,573.895,-24.5917,-0.362437,12.0541,-0.0024368
87,-0.37,574.014,-24.4733,-0.372345,11.5824,-0.00234505
88,-0.38,574.157,-24.3299,-0.382253,10.6891,-0.00225331
89,-0.39,574.292,-24.1951,-0.392162,9.7199,-0.00216156
90,-0.4,574.401,-24.0861,-0.40207,8.85971,-0.00206983
91,-0.41,574.518,-23.9691,-0.411978,7.8858,-0.00197808
