step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,-0.5,833.878,0,-0.497208,-1.89837,0.00279202
1,-0.49,719.133,-114.745,-0.486629,-2.70471,0.00337065
2,-0.48,681.603,-152.275,-0.476062,-3.09889,0.00393788
3,-0.47,665.453,-168.425,-0.465987,-3.48813,0.00401277
4,-0.46,657.844,-176.034,-0.456369,-3.96184,0.00363053
5,-0.45,654.972,-178.906,-0.446823,-4.46799,0.00317734
6,-0.44,653.613,-180.265,-0.437045,-4.99911,0.0029549
7,-0.43,652.688,-181.19,-0.427206,-5.55777,0.00279417
8,-0.42,651.427,-182.451,-0.417336,-6.44523,0.00266397
9,-0.41,646.878,-187,-0.407351,-7.44386,0.00264934
10,-0.4,643.377,-190.501,-0.396804,-8.46673,0.00319591
11,-0.39,640.639,-193.239,-0.386465,-9.78731,0.00353534
12,-0.38,637.323,-196.555,-0.376095,-10.9566,0.00390527
13,-0.37,635.893,-197.985,-0.365509,-11.8626,0.00449108
14,-0.36,635.203,-198.675,-0.354568,-12.528,0.00543155
15,-0.35,634.591,-199.288,-0.343857,-12.825,0.00614276
16,-0.34,633.989,-199.889,-0.333461,-12.403,0.00653908
17,-0.33,633.184,-200.695,-0.323665,-9.98749,0.00633483
18,-0.32,630.107,-203.771,-0.31502,-9.68018,0.00498043
19,-0.31,626.754,-207.125,-0.305413,-6.35948,0.0045869
20,-0.3,625.067,-208.811,-0.295757,0.509822,0.0042433
21,-0.29,624.401,-209.477,-0.286226,11.8327,0.00377374
22,-0.28,624.288,-209.59,-0.276427,30.1746,0.00357287
23,-0.27,624.679,-209.199,-0.266652,59.8368,0.00334774
24,-0.26,625.467,-208.411,-0.25674,102.291,0.00326028
25,-0.25,626.702,-207.176,-0.246807,160.193,0.00319283
26,-0.24,628.724,-205.155,-0.236879,223.239,0.00312128
27,-0.23,626.09,-207.788,-0.226972,101.67,0.00302789
28,-0.22,625.778,-208.1,-0.215941,3.91534,0.00405851
29,-0.21,637.807,-196.071,-0.203103,107.288,0.00689741
30,-0.2,648.791,-185.087,-0.192917,35.2999,0.00708349
31,-0.19,660.449,-173.429,-0.181272,-10.6354,0.00872834
32,-0.18,669.08,-164.798,-0.168839,-7.9255,0.0111605
33,-0.17,689.194,-144.684,-0.156389,-6.99962,0.013611
34,-0.16,702.287,-131.591,-0.142535,-17.3647,0.0174651
35,-0.15,713.375,-120.503,-0.127835,-15.7334,0.0221654
36,-0.14,657.836,-176.043,-0.11461,86.1962,0.0253903
