step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,0.5,571.103,0,0.562639,-0.755837,0.062639
1,0.49,570.901,-0.202062,0.540611,-1.08085,0.0506112
2,0.48,570.862,-0.240847,0.530677,-1.43279,0.0506774
3,0.47,570.788,-0.314965,0.520769,-2.07311,0.0507692
4,0.46,570.715,-0.387636,0.510861,-2.68508,0.0508609
5,0.45,570.637,-0.465817,0.500953,-3.35968,0.0509527
6,0.44,570.512,-0.591147,0.491044,-4.42655,0.0510444
7,0.43,570.465,-0.637576,0.481136,-4.86579,0.0511362
8,0.42,570.414,-0.688592,0.471228,-5.34404,0.0512279
9,0.41,570.358,-0.744584,0.46132,-5.86071,0.0513197
10,0.4,570.297,-0.805921,0.451411,-6.41249,0.0514114
11,0.39,570.23,-0.872922,0.441503,-6.99168,0.0515031
12,0.38,570.157,-0.945793,0.431595,-7.58357,0.0515949
13,0.37,570.072,-1.03044,0.421687,-8.21386,0.0516866
14,0.36,569.971,-1.13164,0.411778,-8.8314,0.0517784
15,0.35,569.881,-1.22211,0.40187,-9.2366,0.0518701
16,0.34,569.787,-1.31556,0.391962,-9.40249,0.0519619
17,0.33,569.66,-1.44262,0.382054,-9.33008,0.0520536
18,0.32,569.555,-1.54842,0.372145,-8.46947,0.0521453
19,0.31,569.463,-1.64028,0.362237,-6.45448,0.0522371
20,0.3,569.399,-1.70354,0.352329,-2.58591,0.0523288
21,0.29,569.338,-1.76448,0.342421,3.98775,0.0524206
22,0.28,569.399,-1.70403,0.332512,15.4347,0.0525123
23,0.27,569.643,-1.46001,0.322604,34.4781,0.052604
24,0.26,570.135,-0.967838,0.312696,65.1264,0.0526958
25,0.25,570.119,-0.98415,0.302788,55.8493,0.0527875
26,0.24,570.775,-0.327658,0.292829,44.9237,0.052829
27,0.23,568.464,-2.63895,0.282633,-18.9586,0.0526326
28,0.22,569.644,-1.45865,0.270289,10.0113,0.0502893
29,0.21,568.671,-2.43189,0.260045,16.9112,0.0500445
30,0.2,568.775,-2.32826,0.248761,9.13707,0.0487614
31,0.19,568.114,-2.98857,0.238664,24.8931,0.0486642
32,0.18,568.692,-2.41137,0.228628,11.1308,0.0486281
33,0.17,568.357,-2.7463,0.218681,41.2788,0.0486805
34,0.16,568.621,-2.48236,0.208918,44.0041,0.048918
35,0.15,568.667,-2.436,0.198618,83.1955,0.0486175
36,0.14,570.551,-0.551706,0.188796,111.442,0.048796
37,0.13,571.28,0.176655,0.178681,179.231,0.0486812
38,0.12,573.72,2.61682,0.168115,237.192,0.0481152
39,0.11,576.124,5.02064,0.158036,343.43,0.0480363
40,0.1,580.024,8.92134,0.147756,425.196,0.0477564
41,0.09,584.648,13.5452,0.137339,525.919,0.0473386
42,0.08,590.107,19.0039,0.126836,636.195,0.0468362
43,0.07,597.462,26.3592,0.116024,757.149,0.0460235
44,0.06,606.136,35.0327,0.105642,875.075,0.0456418
45,0.05,614.655,43.5521,0.0953582,978.461,0.0453582
46,0.04,625.89,54.7867,0.0835775,1045.26,0.0435775
