step	rz	Epot	Epot00	prob_atom_crd[2]	prob_atom_f[2]	target_crd[2]		step	rz	Epot	Epot00	prob_atom_crd[2]	prob_atom_f[2]	target_crd[2]
0	-0,5	579,378	0	-0,435895	-4,82018	0,0641047		0	0,5	571,103	0	0,562639	-0,755837	0,062639
1	-0,49	574,344	-5,03368	-0,428542	-5,49093	0,0614577		1	0,49	570,901	-0,202062	0,540611	-1,08085	0,0506112
2	-0,48	574,253	-5,12495	-0,418483	-6,30456	0,0615165		2	0,48	570,862	-0,240847	0,530677	-1,43279	0,0506774
3	-0,47	574,153	-5,22468	-0,408575	-7,18352	0,0614248		3	0,47	570,788	-0,314965	0,520769	-2,07311	0,0507692
4	-0,46	574,026	-5,352	-0,398667	-8,26849	0,061333		4	0,46	570,715	-0,387636	0,510861	-2,68508	0,0508609
5	-0,45	573,872	-5,50624	-0,388759	-9,54799	0,0612413		5	0,45	570,637	-0,465817	0,500953	-3,35968	0,0509527
6	-0,44	573,754	-5,62339	-0,37885	-10,515	0,0611495		6	0,44	570,512	-0,591147	0,491044	-4,42655	0,0510444
7	-0,43	573,645	-5,73284	-0,368942	-11,373	0,0610578		7	0,43	570,465	-0,637576	0,481136	-4,86579	0,0511362
8	-0,42	573,527	-5,8508	-0,359034	-12,2073	0,0609661		8	0,42	570,414	-0,688592	0,471228	-5,34404	0,0512279
9	-0,41	573,401	-5,97674	-0,349126	-12,9588	0,0608743		9	0,41	570,358	-0,744584	0,46132	-5,86071	0,0513197
10	-0,4	573,268	-6,10942	-0,339217	-13,5336	0,0607826		10	0,4	570,297	-0,805921	0,451411	-6,41249	0,0514114
11	-0,39	573,132	-6,24637	-0,329309	-13,7848	0,0606908		11	0,39	570,23	-0,872922	0,441503	-6,99168	0,0515031
12	-0,38	572,995	-6,3833	-0,319401	-13,4852	0,0605991		12	0,38	570,157	-0,945793	0,431595	-7,58357	0,0515949
13	-0,37	572,865	-6,51307	-0,309493	-12,285	0,0605073		13	0,37	570,072	-1,03044	0,421687	-8,21386	0,0516866
14	-0,36	572,754	-6,62416	-0,299584	-9,64731	0,0604156		14	0,36	569,971	-1,13164	0,411778	-8,8314	0,0517784
15	-0,35	572,658	-6,71983	-0,289676	-4,85348	0,0603239		15	0,35	569,881	-1,22211	0,40187	-9,2366	0,0518701
16	-0,34	572,632	-6,74603	-0,279768	3,46984	0,0602321		16	0,34	569,787	-1,31556	0,391962	-9,40249	0,0519619
17	-0,33	572,676	-6,70189	-0,26986	17,0381	0,0601404		17	0,33	569,66	-1,44262	0,382054	-9,33008	0,0520536
18	-0,32	572,917	-6,46039	-0,259951	39,0225	0,0600486		18	0,32	569,555	-1,54842	0,372145	-8,46947	0,0521453
19	-0,31	573,229	-6,14865	-0,250043	70,9867	0,0599569		19	0,31	569,463	-1,64028	0,362237	-6,45448	0,0522371
20	-0,3	573,044	-6,33431	-0,240163	72,9308	0,059837		20	0,3	569,399	-1,70354	0,352329	-2,58591	0,0523288
21	-0,29	571,233	-8,14484	-0,23058	32,4682	0,05942		21	0,29	569,338	-1,76448	0,342421	3,98775	0,0524206
22	-0,28	572,789	-6,5885	-0,221545	64,9708	0,0584553		22	0,28	569,399	-1,70403	0,332512	15,4347	0,0525123
23	-0,27	572,704	-6,67436	-0,211912	102,755	0,0580881		23	0,27	569,643	-1,46001	0,322604	34,4781	0,052604
24	-0,26	573,918	-5,46024	-0,201872	124,013	0,0581283		24	0,26	570,135	-0,967838	0,312696	65,1264	0,0526958
25	-0,25	574,404	-4,97435	-0,192082	163,643	0,0579177		25	0,25	570,119	-0,98415	0,302788	55,8493	0,0527875
26	-0,24	576,75	-2,628	-0,181846	197,351	0,0581545		26	0,24	570,775	-0,327658	0,292829	44,9237	0,052829
27	-0,23	578,884	-0,494083	-0,171719	280,094	0,0582814		27	0,23	568,464	-2,63895	0,282633	-18,9586	0,0526326
28	-0,22	582,406	3,02808	-0,161006	258,853	0,0589944		28	0,22	569,644	-1,45865	0,270289	10,0113	0,0502893
29	-0,21	584,562	5,18381	-0,149904	366,003	0,0600963		29	0,21	568,671	-2,43189	0,260045	16,9112	0,0500445
30	-0,2	588,778	9,3999	-0,138802	420,971	0,0611976		30	0,2	568,775	-2,32826	0,248761	9,13707	0,0487614
31	-0,19	593,353	13,9751	-0,127711	530,081	0,0622895		31	0,19	568,114	-2,98857	0,238664	24,8931	0,0486642
32	-0,18	601,08	21,7017	-0,116515	593,403	0,0634851		32	0,18	568,692	-2,41137	0,228628	11,1308	0,0486281
33	-0,17	605,221	25,8435	-0,103716	718,387	0,0662842		33	0,17	568,357	-2,7463	0,218681	41,2788	0,0486805
34	-0,16	613,422	34,0442	-0,0926922	841,545	0,0673078		34	0,16	568,621	-2,48236	0,208918	44,0041	0,048918
35	-0,15	621,969	42,5907	-0,0813269	972,76	0,0686731		35	0,15	568,667	-2,436	0,198618	83,1955	0,0486175
36	-0,14	632,157	52,7794	-0,0700021	1082,59	0,0699979		36	0,14	570,551	-0,551706	0,188796	111,442	0,048796
37	-0,13	642,837	63,4588	-0,0581891	1180,46	0,0718109		37	0,13	571,28	0,176655	0,178681	179,231	0,0486812
38	-0,12	655,162	75,7837	-0,0460756	1331,4	0,0739244		38	0,12	573,72	2,61682	0,168115	237,192	0,0481152
39	-0,11	668,609	89,2314	-0,0361263	1425,08	0,0738737		39	0,11	576,124	5,02064	0,158036	343,43	0,0480363
40	-0,1	682,916	103,538	-0,0259162	1487,06	0,0740838		40	0,1	580,024	8,92134	0,147756	425,196	0,0477564
41	-0,09	697,2	117,822	-0,0155518	1514,85	0,0744482		41	0,09	584,648	13,5452	0,137339	525,919	0,0473386
42	-0,08	710,492	131,114	-0,00463339	1388,39	0,0753666		42	0,08	590,107	19,0039	0,126836	636,195	0,0468362
43	-0,07	725,04	145,662	0,00659243	1251,76	0,0765924		43	0,07	597,462	26,3592	0,116024	757,149	0,0460235
44	-0,06	737,227	157,85	0,0200266	1254,38	0,0800266		44	0,06	606,136	35,0327	0,105642	875,075	0,0456418
45	-0,05	749,214	169,836	0,0295526	1165,76	0,0795526		45	0,05	614,655	43,5521	0,0953582	978,461	0,0453582
46	-0,04	760,369	180,991	0,0394373	1030,69	0,0794373		46	0,04	625,89	54,7867	0,0835775	1045,26	0,0435775
47	-0,03	764,998	185,62	0,0494316	144,479	0,0794316		47	0,03	638,623	67,5196	0,0659176	935,201	0,0359176
48	-0,02	754,572	175,194	0,0592535	-445,08	0,0792535		48	0,02	646,211	75,1079	0,055831	1155,56	0,035831
49	-0,01	745,682	166,305	0,0625864	-793,929	0,0725864		49	0,01	657,936	86,8332	0,0450633	1214,82	0,0350633
50	1,39E-17	715,708	136,33	0,0693703	-937,416	0,0693703		50	-3,47E-17	670,455	99,3524	0,0337725	1245,06	0,0337725
51	0,01	669,503	90,1248	0,0643147	-1246,68	0,0543147		51	-0,01	684	112,897	0,0233315	1290,34	0,0333315
52	0,02	656,006	76,6281	0,0575315	-1049,4	0,0375315		52	-0,02	696,164	125,061	0,0132847	1258,57	0,0332847
53	0,03	641,546	62,1681	0,0640855	-1007,32	0,0340855		53	-0,03	708,621	137,518	0,00193807	1287,18	0,0319381
54	0,04	628,597	49,2187	0,0726159	-976,249	0,0326159		54	-0,04	721,068	149,965	-0,00959034	1258,74	0,0304097
55	0,05	619,458	40,0798	0,0833058	-799,736	0,0333058		55	-0,05	733,881	162,779	-0,0206826	1209,33	0,0293174
56	0,06	609,757	30,3788	0,0931819	-755,926	0,0331819		56	-0,06	745,695	174,592	-0,031309	1179,03	0,028691
57	0,07	602,844	23,4665	0,104199	-617,556	0,0341992		57	-0,07	756,768	185,665	-0,042334	1109,9	0,027666
58	0,08	595,808	16,4303	0,1143	-542,879	0,0342999		58	-0,08	766,944	195,841	-0,0539798	988,695	0,0260202
59	0,09	590,288	10,9105	0,125628	-423,557	0,0356284		59	-0,09	771,922	200,819	-0,0652824	610,358	0,0247176
60	0,1	585,008	5,6305	0,135915	-369,37	0,0359152		60	-0,1	735,172	164,069	-0,0776938	-834,611	0,0223062
61	0,11	581,362	1,98405	0,148166	-262,582	0,0381659		61	-0,11	702,208	131,105	-0,0717178	-1192,46	0,0382822
62	0,12	577,852	-1,52583	0,158495	-221,985	0,0384951		62	-0,12	662,294	91,1908	-0,0636329	-1312,98	0,0563671
63	0,13	575,853	-3,52513	0,170392	-143,049	0,0403922		63	-0,13	648,733	77,6297	-0,0656456	-1170,45	0,0643544
64	0,14	574,272	-5,10626	0,180799	-109,589	0,0407995		64	-0,14	634,524	63,4213	-0,0653133	-1025,47	0,0746867
65	0,15	572,935	-6,44242	0,191529	-70,7449	0,0415289		65	-0,15	624,246	53,1434	-0,0750693	-831,335	0,0749307
66	0,16	571,693	-7,68445	0,202321	-47,6017	0,0423211		66	-0,16	615,642	44,5388	-0,084991	-752,892	0,075009
67	0,17	570,68	-8,69824	0,213368	-22,1161	0,0433684		67	-0,17	608,881	37,7777	-0,0953459	-591,273	0,0746541
68	0,18	570,486	-8,89209	0,224861	-6,07889	0,044861		68	-0,18	601,484	30,3813	-0,10541	-539,137	0,0745901
69	0,19	570,231	-9,14642	0,235225	4,43155	0,0452255		69	-0,19	596,614	25,5115	-0,117358	-405,253	0,072642
70	0,2	572,429	-6,9492	0,245621	-36,1158	0,0456208		70	-0,2	591,436	20,3332	-0,127905	-376,936	0,0720948
71	0,21	573,614	-5,76403	0,255826	-86,5879	0,0458261		71	-0,21	587,614	16,5108	-0,138946	-306,776	0,0710541
72	0,22	572,962	-6,41541	0,265734	-46,3654	0,0457343		72	-0,22	584,38	13,2771	-0,149931	-247,507	0,0700693
73	0,23	572,656	-6,72232	0,275643	-21,2606	0,0456426		73	-0,23	581,563	10,4603	-0,160752	-196,87	0,0692475
74	0,24	572,548	-6,82948	0,285551	-5,83592	0,0455508		74	-0,24	579,307	8,20376	-0,171497	-155,954	0,0685028
75	0,25	572,542	-6,83622	0,295459	3,51795	0,0454591		75	-0,25	575,838	4,73518	-0,182181	-157,667	0,0678194
76	0,26	572,607	-6,77071	0,305367	8,95018	0,0453673		76	-0,26	573,96	2,85746	-0,194115	-115,867	0,0658853
77	0,27	572,713	-6,66443	0,315276	11,9012	0,0452756		77	-0,27	572,463	1,35993	-0,205347	-87,4527	0,0646528
78	0,28	572,841	-6,53719	0,325184	13,2943	0,0451839		78	-0,28	571,194	0,0910136	-0,216641	-64,4231	0,063359
79	0,29	572,992	-6,38604	0,335092	13,6003	0,0450921		79	-0,29	570,379	-0,724197	-0,227754	-37,5176	0,0622457
80	0,3	573,149	-6,22936	0,345	13,3302	0,0450004		80	-0,3	572,658	1,55535	-0,238999	-143,001	0,0610007
81	0,31	573,364	-6,01383	0,354909	12,3979	0,0449086		81	-0,31	571,536	0,432732	-0,248908	-84,0435	0,0610925
82	0,32	573,516	-5,86192	0,364817	11,5725	0,0448169		82	-0,32	570,944	-0,158902	-0,258816	-46,4047	0,0611842
