step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,0.5,599.5,0,0.562677,-0.337391,0.0626766
1,0.49,593.468,-6.03207,0.541534,-0.890913,0.0515342
2,0.48,590.636,-8.8637,0.530939,-1.23517,0.050939
3,0.47,587.675,-11.8249,0.521464,-1.92468,0.0514642
4,0.46,584.249,-15.2504,0.511979,-2.71889,0.051979
5,0.45,581.866,-17.6336,0.502152,-3.30163,0.0521517
6,0.44,580.899,-18.6003,0.491881,-4.06947,0.0518809
7,0.43,579.927,-19.5728,0.481804,-4.94562,0.0518037
8,0.42,578.954,-20.5458,0.471593,-5.4492,0.0515928
9,0.41,577.994,-21.506,0.461338,-5.99047,0.0513379
10,0.4,576.962,-22.5381,0.451441,-6.5763,0.0514412
11,0.39,576.09,-23.4102,0.441443,-7.17287,0.0514434
12,0.38,574.598,-24.902,0.431364,-7.78715,0.0513636
13,0.37,574.011,-25.4888,0.420867,-8.26945,0.0508665
14,0.36,573.503,-25.9967,0.410499,-8.71275,0.0504986
15,0.35,573.044,-26.4558,0.40004,-8.85308,0.0500397
16,0.34,572.758,-26.7419,0.389595,-8.59193,0.049595
17,0.33,572.554,-26.9454,0.379348,-7.71372,0.0493475
18,0.32,572.292,-27.208,0.369254,-5.88392,0.0492539
19,0.31,572.234,-27.2656,0.359291,-2.26627,0.0492911
20,0.3,572.226,-27.2742,0.349379,4.32304,0.0493795
21,0.29,572.321,-27.1792,0.339471,15.5631,0.0494712
22,0.28,572.495,-27.0049,0.329563,33.7426,0.049563
23,0.27,572.973,-26.5271,0.319655,63.8414,0.0496547
24,0.26,573.822,-25.6775,0.309746,112.287,0.0497465
25,0.25,575.315,-24.1846,0.299838,190.108,0.0498382
26,0.24,577.809,-21.6908,0.28993,314.657,0.0499299
27,0.23,573.432,-26.0682,0.28002,78.5655,0.0500197
28,0.22,574.307,-25.1924,0.269843,11.5095,0.0498427
29,0.21,579.676,-19.8238,0.259319,30.2362,0.0493187
30,0.2,582.378,-17.1213,0.249164,17.5267,0.0491636
31,0.19,583.279,-16.221,0.238883,0.529372,0.0488833
32,0.18,586.917,-12.5823,0.228011,3.53944,0.0480108
33,0.17,591.336,-8.16357,0.217437,0.676885,0.0474374
34,0.16,594.511,-4.98925,0.20681,-5.64689,0.0468102
35,0.15,597.81,-1.68958,0.195856,-0.665919,0.0458564
36,0.14,587.916,-11.584,0.18504,132.098,0.0450397
37,0.13,597.903,-1.59642,0.174843,192.703,0.0448431
38,0.12,601.239,1.73877,0.16481,62.2182,0.0448101
39,0.11,605.838,6.33856,0.154174,31.6605,0.044174
40,0.1,612.65,13.1499,0.142804,67.5857,0.0428041
41,0.09,625.77,26.2699,0.131306,64.6155,0.0413057
42,0.08,640.83,41.3301,0.119666,54.3882,0.0396663
43,0.07,664.227,64.7276,0.108167,93.5297,0.0381667
44,0.06,689.173,89.6731,0.0969265,46.9973,0.0369265
45,0.05,636.888,37.3879,0.0850654,307.726,0.0350654
46,0.04,683.406,83.9065,0.0746463,326.021,0.0346463
47,0.03,682.8,83.3006,0.0646772,68.7264,0.0346772
48,0.02,685.233,85.7337,0.0544475,107.667,0.0344475
49,0.01,726.327,126.828,0.043842,79.3636,0.033842
50,-3.46945e-017,769.89,170.39,0.0326339,38.2746,0.0326339
51,-0.01,829.418,229.918,0.0204355,122.777,0.0304355
52,-0.02,854.39,254.89,0.00863091,74.4241,0.0286309
53,-0.03,880.007,280.507,-0.00336839,40.1244,0.0266316
54,-0.04,765.292,165.792,-0.0149991,397.826,0.0250009
55,-0.05,728.784,129.285,-0.0247389,196.744,0.0252611
56,-0.06,728.946,129.446,-0.0341069,176.936,0.0258931
57,-0.07,783.719,184.22,-0.0472856,173.86,0.0227144
58,-0.08,960.91,361.41,-0.0578049,91.9862,0.0221951
59,-0.09,1124.68,525.185,-0.0669233,-12.6756,0.0230767
60,-0.1,1285.21,685.713,-0.079565,-14.5936,0.020435
61,-0.11,1420.2,820.704,-0.0922006,-16.5756,0.0177994
62,-0.12,1544.44,944.94,-0.104167,13.845,0.0158332
63,-0.13,1169.54,570.041,-0.116646,871.817,0.013354
64,-0.14,1203.14,603.639,-0.125808,-88.0144,0.0141917
65,-0.15,998.949,399.449,-0.132182,25.7487,0.0178176
66,-0.16,915.776,316.276,-0.142231,-111.624,0.0177693
67,-0.17,903.298,303.798,-0.152761,-259.948,0.0172394
68,-0.18,886.882,287.382,-0.162662,-328.955,0.0173375
69,-0.19,855.075,255.575,-0.171907,-482.952,0.0180926
70,-0.2,853.712,254.213,-0.181574,-596.711,0.0184263
71,-0.21,845.062,245.562,-0.191021,-655.735,0.0189791
72,-0.22,779.005,179.505,-0.200139,-609.382,0.0198611
73,-0.23,669.041,69.5408,-0.208396,-76.0608,0.0216041
74,-0.24,647.099,47.5992,-0.213905,5.77654,0.0260949
75,-0.25,639.42,39.9203,-0.218098,-0.568492,0.0319021
76,-0.26,631.596,32.0958,-0.22575,-35.1093,0.0342505
