step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,-0.5,833.621,0,-0.440495,-4.2318,0.0595052
1,-0.49,718.896,-114.725,-0.430284,-4.89092,0.0597161
2,-0.48,681.327,-152.294,-0.419355,-5.61383,0.0606452
3,-0.47,665.111,-168.51,-0.409163,-6.56584,0.0608374
4,-0.46,657.387,-176.234,-0.398951,-7.99191,0.0610488
5,-0.45,654.393,-179.228,-0.388781,-9.49798,0.0612188
6,-0.44,652.925,-180.696,-0.378749,-10.4316,0.0612513
7,-0.43,651.922,-181.699,-0.36881,-11.377,0.0611901
8,-0.42,650.485,-183.137,-0.358898,-12.2618,0.0611024
9,-0.41,644.736,-188.885,-0.348977,-12.8324,0.0610227
10,-0.4,641.142,-192.479,-0.339029,-13.1707,0.0609712
11,-0.39,637.269,-196.352,-0.329316,-12.8644,0.0606836
12,-0.38,634.791,-198.831,-0.319699,-10.6479,0.0603008
13,-0.37,634.538,-199.084,-0.310323,-8.72797,0.0596771
14,-0.36,634.279,-199.342,-0.300597,-4.36499,0.0594027
15,-0.35,634.01,-199.611,-0.290861,2.41732,0.0591393
16,-0.34,633.679,-199.942,-0.281101,14.0907,0.0588986
17,-0.33,633.266,-200.356,-0.271362,32.1962,0.0586376
18,-0.32,630.35,-203.271,-0.261619,51.1381,0.0583806
19,-0.31,628.296,-205.326,-0.251639,81.5043,0.0583612
20,-0.3,627.969,-205.652,-0.241619,119.34,0.0583811
21,-0.29,628.76,-204.862,-0.23156,152.821,0.05844
22,-0.28,630.869,-202.752,-0.221424,187.772,0.0585763
23,-0.27,634.032,-199.589,-0.211258,146.526,0.0587418
24,-0.26,640.899,-192.722,-0.200912,197.943,0.0590879
25,-0.25,650.157,-183.465,-0.190594,228.389,0.0594056
26,-0.24,662.08,-171.541,-0.18019,245.373,0.0598104
27,-0.23,650.423,-183.199,-0.169742,201.221,0.0602576
28,-0.22,652.361,-181.26,-0.159187,547.901,0.0608128
29,-0.21,665.825,-167.796,-0.148964,514.305,0.0610355
30,-0.2,718.572,-115.049,-0.138834,748.105,0.0611664
31,-0.19,760.83,-72.7914,-0.12864,424.725,0.0613597
32,-0.18,807.481,-26.1407,-0.118442,465.045,0.0615577
33,-0.17,869.015,35.3941,-0.108694,656.809,0.0613062
34,-0.16,925.771,92.1501,-0.0990807,457.829,0.0609193
35,-0.15,976.517,142.896,-0.0891556,271.019,0.0608444
36,-0.14,855.386,21.7643,-0.0789008,374.651,0.0610992
37,-0.13,795.454,-38.1677,-0.0676405,437.294,0.0623595
38,-0.12,1261.57,427.944,-0.0548779,1600.18,0.0651221
39,-0.11,1496.56,662.939,-0.0431363,644.016,0.0668637
40,-0.1,1693.95,860.33,-0.0315503,844.255,0.0684497
41,-0.09,2123.62,1289.99,-0.0215055,1828.13,0.0684945
42,-0.08,2398.93,1565.31,-0.0118101,519.029,0.0681899
43,-0.07,2734.23,1900.61,-0.00151473,689.539,0.0684853
44,-0.06,2892.25,2058.63,0.00761296,356.664,0.067613
45,-0.05,1912.76,1079.14,0.01616,669.818,0.06616
46,-0.04,1950.46,1116.84,0.0294902,615.773,0.0694902
47,-0.03,2041.73,1208.11,0.047392,107.216,0.077392
48,-0.02,1979.29,1145.67,0.0622857,165.637,0.0822857
49,-0.01,1984.41,1150.79,0.0722187,193.094,0.0822187
50,0,1955.21,1121.59,0.079091,199.771,0.079091
51,0.01,1908.28,1074.66,0.0863299,206.295,0.0763299
52,0.02,1835.16,1001.54,0.0959478,140.586,0.0759478
53,0.03,1766.22,932.599,0.106917,188.816,0.0769171
54,0.04,1336.16,502.541,0.117032,712.565,0.0770323
55,0.05,1063.83,230.204,0.128111,697.71,0.0781105
56,0.06,906.004,72.3823,0.142092,525.573,0.0820922
57,0.07,969.105,135.483,0.155075,721.657,0.0850747
58,0.08,1218.07,384.452,0.167202,798.858,0.0872024
59,0.09,1376.16,542.54,0.179558,487.231,0.0895576
60,0.1,1634.06,800.437,0.192863,506.529,0.0928632
61,0.11,1782.85,949.231,0.206275,177.566,0.0962751
62,0.12,1909.54,1075.92,0.219284,94.7725,0.0992842
63,0.13,1598.15,764.526,0.231806,1729.14,0.101806
64,0.14,1643.34,809.723,0.245001,-139.243,0.105001
65,0.15,1357.74,524.12,0.256903,-474.639,0.106903
66,0.16,1156.2,322.583,0.269951,-863.919,0.109951
67,0.17,1046.9,213.28,0.283005,-818.79,0.113005
