"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	348.872479	1018.775622	-669.903143	302.763445	1488.365247	-1366.929062	594.575992	437.878292	-1107.781435	0.000000	0.000000
-59.800000	346.822246	1016.633549	-669.811303	302.763446	1486.276270	-1366.982158	594.575992	437.877721	-1107.689024	0.000000	0.000000
-59.600000	344.798300	1014.497535	-669.699235	302.763443	1484.193634	-1367.035533	594.575992	437.897064	-1107.596300	0.000000	0.000000
-59.400000	342.761186	1012.367566	-669.606380	302.763444	1482.117314	-1367.089184	594.575992	437.896878	-1107.503258	0.000000	0.000000
-59.200000	340.730598	1010.243589	-669.512992	302.763447	1480.047258	-1367.143108	594.575992	437.896906	-1107.409898	0.000000	0.000000
-59.000000	338.706572	1008.125660	-669.419088	302.763447	1477.983521	-1367.197300	594.575992	437.897139	-1107.316228	0.000000	0.000000
-58.800000	336.689018	1006.013693	-669.324674	302.763448	1475.926011	-1367.251758	594.575992	437.897569	-1107.222243	0.000000	0.000000
-58.600000	334.677936	1003.907696	-669.229761	302.763445	1473.874738	-1367.306479	594.575992	437.898187	-1107.127948	0.000000	0.000000
-58.400000	332.673334	1001.807688	-669.134354	302.763447	1471.829708	-1367.361458	594.575992	437.898986	-1107.033340	0.000000	0.000000
-58.200000	330.675113	999.713575	-669.038462	302.763446	1469.790832	-1367.416695	594.575992	437.899957	-1106.938420	0.000000	0.000000
-58.000000	328.683289	997.625385	-668.942096	302.763446	1467.758130	-1367.472183	594.575992	437.901094	-1106.843190	0.000000	0.000000
-57.800000	326.697806	995.543066	-668.845260	302.763445	1465.731551	-1367.527922	594.575992	437.902389	-1106.747649	0.000000	0.000000
-57.600000	324.718649	993.466610	-668.747961	302.763446	1463.711079	-1367.583906	594.575992	437.903836	-1106.651797	0.000000	0.000000
-57.400000	322.775643	991.395999	-668.620356	302.763444	1461.696697	-1367.640133	594.575992	437.935282	-1106.555639	0.000000	0.000000
-57.200000	320.809039	989.331277	-668.522238	302.763447	1459.688437	-1367.696598	594.575992	437.936933	-1106.459171	0.000000	0.000000
-57.000000	318.878563	987.272339	-668.393776	302.763443	1457.686202	-1367.753298	594.575992	437.968623	-1106.362399	0.000000	0.000000
-56.800000	316.924295	985.219155	-668.294860	302.763448	1455.689947	-1367.810232	594.575992	437.970453	-1106.265313	0.000000	0.000000
-56.600000	314.976298	983.171822	-668.195524	302.763447	1453.699775	-1367.867391	594.575992	437.972404	-1106.167928	0.000000	0.000000
-56.400000	313.054116	981.130182	-668.076067	302.763446	1451.715522	-1367.924777	594.575992	437.994168	-1106.070235	0.000000	0.000000
-56.200000	311.118351	979.094312	-667.975960	302.763444	1449.737259	-1367.982383	594.575992	437.996279	-1105.972239	0.000000	0.000000
-56.000000	309.188765	977.064209	-667.875444	302.763448	1447.764974	-1368.040204	594.575992	437.998495	-1105.873939	0.000000	0.000000
-55.800000	307.265230	975.039755	-667.774525	302.763445	1445.798559	-1368.098240	594.575992	438.000812	-1105.775337	0.000000	0.000000
-55.600000	305.317802	973.021013	-667.703211	302.763448	1443.838058	-1368.156485	594.575992	437.973219	-1105.676430	0.000000	0.000000
-55.400000	303.406318	971.007941	-667.601623	302.763444	1441.883441	-1368.214935	594.575992	437.975603	-1105.577226	0.000000	0.000000
-55.200000	301.500889	969.000532	-667.499643	302.763447	1439.934680	-1368.273587	594.575992	437.978074	-1105.477717	0.000000	0.000000
-55.000000	299.601476	966.998760	-667.397284	302.763445	1437.991760	-1368.332436	594.575992	437.980629	-1105.377913	0.000000	0.000000
-54.800000	297.708057	965.002604	-667.294546	302.763443	1436.054649	-1368.391479	594.575992	437.983263	-1105.277809	0.000000	0.000000
-54.600000	295.820658	963.012090	-667.191433	302.763447	1434.123363	-1368.450711	594.575992	437.985972	-1105.177405	0.000000	0.000000
-54.400000	293.939196	961.027149	-667.087953	302.763444	1432.197843	-1368.510129	594.575992	437.988754	-1105.076708	0.000000	0.000000
-54.200000	292.063666	959.047770	-666.984104	302.763447	1430.278060	-1368.569729	594.575992	437.991605	-1104.975709	0.000000	0.000000
-54.000000	290.194012	957.073904	-666.879892	302.763448	1428.363972	-1368.629507	594.575992	437.994522	-1104.874414	0.000000	0.000000
-53.800000	288.330279	955.105606	-666.775327	302.763445	1426.455627	-1368.689458	594.575992	437.997502	-1104.772829	0.000000	0.000000
-53.600000	286.472544	953.142955	-666.670412	302.763448	1424.553090	-1368.749575	594.575992	438.000541	-1104.670953	0.000000	0.000000
-53.400000	284.620585	951.185730	-666.565145	302.763445	1422.656152	-1368.809858	594.575992	438.003638	-1104.568783	0.000000	0.000000
-53.200000	282.774473	949.234003	-666.459530	302.763444	1420.764870	-1368.870303	594.575992	438.006790	-1104.466320	0.000000	0.000000
-53.000000	280.934192	947.287761	-666.353569	302.763448	1418.879226	-1368.930904	594.575992	438.009995	-1104.363564	0.000000	0.000000
-52.800000	279.099778	945.347054	-666.247276	302.763445	1416.999272	-1368.991655	594.575992	438.013249	-1104.260525	0.000000	0.000000
