step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	49.8159	99862	99927.2	99861.5	0	0	0	0	0	
10	16761	76753.3	98702.3	76200.8	0	0	0	0	0	
20	34273.6	51999.4	96881.9	52000.3	0	0	0	0	0	
30	40987.3	42908.8	96583.1	42909.1	0	0	0	0	0	
40	42214.2	41187.3	96468.2	41177.6	0	0	0	0	0	
50	39308	44999.8	96475	44977.9	0	0	0	0	0	
60	42184.7	41261.9	96504.3	41244.4	0	0	0	0	0	
70	47065.7	35447.2	97081.3	35405	0	0	0	0	0	
80	36646.2	49305.1	97294.6	49235.4	0	0	0	0	0	
90	36055.3	50172.8	97388.5	50144.8	0	0	0	0	0	
