step,T,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,49.8159,-0.5,99862,0,0,-0.5,135714,106078,129393,0,0,0
10,16761,-0.49,76753.3,0,0,-0.49,117961,91785.7,109973,0,0,0
20,34273.6,-0.48,51999.4,0,0,-0.48,88032.5,63414.4,69524.6,0,0,0
30,40987.3,-0.47,42908.8,0,0,-0.47,74990.8,44324.1,29545.3,0,0,0
40,42214.2,-0.46,41187.3,0,0,-0.46,68207,34598.5,9125.1,0,0,0
50,39308,-0.45,44999.8,0,0,-0.45,59801.9,23013.6,-2167.29,0,0,0
60,42184.7,-0.44,41261.9,0,0,-0.44,42152.2,9971.72,-5421.67,0,0,0
70,47065.7,-0.43,35447.2,0,0,-0.43,13782.7,3306.94,-9308.37,0,0,0
80,36646.2,-0.42,49305.1,0,0,-0.42,-460.372,11156.8,-22063,0,0,0
90,36055.3,-0.41,50172.8,0,0,-0.41,3865.21,9555.51,-19352.7,0,0,0
