step,T,Epot,Efull,SolventMolsThroughZ,
0,293.233,-33564.4,-15600.6,
5e-015,241.405,-30222.1,-15433.4,
1e-014,276.339,-32252.9,-15324.1,
1.5e-014,273.549,-31988.1,-15230.1,
2e-014,281.549,-32428.4,-15180.3,
2.5e-014,280.126,-32301.6,-15140.7,
3e-014,287.136,-32694.6,-15104.2,
3.5e-014,277.243,-32068,-15083.7,
4e-014,286.251,-32594.3,-15058.2,
4.5e-014,285.049,-32484.4,-15022,
5e-014,295.099,-33092.2,-15014,
5.5e-014,296.908,-33185.6,-14996.6,
6e-014,470.384,-13794,15022.4,
6.5e-014,329.871,-35272.7,-15064.3,
7e-014,215.875,-32299.8,-19075,
7.5e-014,282.651,-36307.6,-18992,
8e-014,287.992,-36379,-18736.2,
8.5e-014,294.532,-36792.6,-18749.2,
9e-014,218.065,-31702.4,-18343.5,
9.5e-014,297.348,-36526.6,-18310.6,
1e-013,304.37,-36490.8,-17844.7,
1.05e-013,300.278,-36201.7,-17806.3,
1.1e-013,251.796,-33165.1,-17739.7,
1.15e-013,290.542,-35596.8,-17797.9,
1.2e-013,294.229,-38010.2,-19985.4,
1.25e-013,265.959,-36099.9,-19806.9,
1.3e-013,240.868,-34542.4,-19786.5,
1.35e-013,291.941,-37628.1,-19743.4,
1.4e-013,299.054,-37982.8,-19662.4,
1.45e-013,274.06,-36384.1,-19594.8,
1.5e-013,229.546,-33529.6,-19467.3,
1.55e-013,286.392,-37013.9,-19469.2,
1.6e-013,308.027,-38287.3,-19417.1,
1.65e-013,238.012,-33873.7,-19292.8,
1.7e-013,264.272,-35347.1,-19157.4,
1.75e-013,276.426,-36006.4,-19072.2,
1.8e-013,237.569,-31362.8,-16809.1,
1.85e-013,13658.3,-19830.4,816893,
1.9e-013,298.834,-41847.8,-23540.8,
1.95e-013,296.657,-42319.8,-24146.2,
2e-013,323.497,-44942.4,-25124.6,
2.05e-013,240.415,-39700.6,-24972.5,
2.1e-013,126.572,-33089.8,-25335.8,
2.15e-013,142.275,-34184.7,-25468.8,
2.2e-013,299.539,-38635.3,-20285.1,
2.25e-013,1.33251e+009,8.02658e+009,8.96581e+010,
2.3e-013,5.86535e+006,3.34034e+009,3.69966e+009,
2.35e-013,1.67077e+018,8.6266e+020,9.65014e+020,
2.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
4.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
