t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
0.000000,298.000000,0.000000,77.266944,155.509515,-38.460043,233.426933,522.539386,-582.366887,-436.060296,-652.687479,-539.695469
0.500000,298.000000,291.809760,73.455332,150.758772,-23.839370,207.763383,557.500466,-639.564303,-603.186586,-810.907591,-553.159783
1.000000,298.000000,270.077942,66.067598,141.708522,-9.744772,180.216470,590.364495,-695.082511,-767.892986,-961.183300,-568.349780
1.500000,298.000000,241.704837,55.671108,129.169346,3.036269,152.175792,620.823054,-746.950495,-925.893158,-1100.739170,-585.001872
2.000000,298.000000,214.519333,43.094829,114.267552,13.688944,122.628876,648.359682,-794.653238,-1073.726259,-1226.899902,-603.989363
2.500000,298.000000,194.791417,29.334954,98.345261,21.712879,92.229367,672.323424,-837.588190,-1212.429441,-1337.164861,-625.076050
3.000000,298.000000,185.065391,15.489830,82.834511,26.732698,62.470568,692.004549,-875.512479,-1339.060810,-1429.278848,-648.261109
3.500000,298.000000,183.591352,2.634453,69.101954,28.621292,32.355881,706.701112,-909.351723,-1452.306734,-1501.280716,-673.732968
4.000000,298.000000,185.538395,-8.293257,58.293475,27.531694,1.582729,715.770945,-939.885996,-1550.161828,-1551.542974,-701.402965
4.500000,298.000000,185.435718,-16.600966,51.208586,24.160230,-30.070504,718.664310,-967.930872,-1631.429201,-1578.782876,-731.335471
5.000000,298.000000,179.773712,-21.890729,48.225944,19.388388,-63.395838,714.944404,-994.888290,-1694.355695,-1582.063723,-763.074811
5.500000,298.000000,168.636238,-24.094898,49.277642,14.335447,-97.993954,704.320368,-1021.972025,-1738.775373,-1560.794529,-796.485125
6.000000,298.000000,155.669514,-23.448519,53.883653,10.175525,-133.401483,686.702568,-1049.969182,-1763.179952,-1514.750198,-831.160657
6.500000,298.000000,146.419241,-20.440394,61.234768,7.896121,-172.518639,662.273529,-1079.229891,-1769.630596,-1444.113091,-866.570911
7.000000,298.000000,145.776416,-15.739023,70.296490,8.527919,-212.159733,631.562526,-1109.598803,-1754.798057,-1349.535297,-902.063239
7.500000,298.000000,155.644455,-10.134357,79.902833,12.837426,-256.521977,595.494972,-1140.412237,-1720.159239,-1232.204393,-936.881488
8.000000,298.000000,173.836732,-4.448027,88.851193,21.289704,-302.126267,555.393004,-1170.381257,-1667.476940,-1093.859816,-970.169660
