t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
1220.000000,298.000000,298.234130,-33.581199,149.602975,-169.443118,-1747.022504,-1977.475213,556.647160,-394.275239,-539.882473,1131.418129
1220.500000,298.000000,297.484025,-37.862206,143.876736,-153.824609,-1781.427057,-1993.784081,548.183105,-335.782642,-443.315088,1130.595988
1221.000000,298.000000,296.736176,-38.780098,133.742363,-137.840691,-1795.225540,-1987.875062,542.763399,-263.321532,-339.476127,1125.949536
1221.500000,298.000000,296.340920,-35.692685,119.497802,-122.367121,-1790.475698,-1961.777812,540.374780,-178.090945,-230.113182,1117.589591
1222.000000,298.000000,296.506960,-28.369349,101.867722,-108.203463,-1767.604309,-1917.797227,540.926353,-84.069658,-117.186915,1105.707821
1222.500000,298.000000,297.219032,-17.019205,81.958007,-96.001198,-1727.559556,-1858.414105,544.259473,13.603112,-2.837682,1090.558737
1223.000000,298.000000,298.249715,-2.291786,61.168434,-86.216752,-1673.844859,-1786.173782,550.148458,115.876650,110.648252,1072.435292
1223.500000,298.000000,299.256028,14.779527,41.069865,-79.068034,-1608.142380,-1703.574150,558.291356,219.909834,220.893827,1051.640953
1224.000000,298.000000,299.916352,32.888049,23.259220,-74.539337,-1533.995625,-1612.983049,568.303362,320.910337,325.488306,1028.472318
1224.500000,298.000000,300.051195,50.586631,9.209022,-72.360745,-1452.315910,-1516.579601,579.723272,419.084287,422.047129,1003.217817
1225.000000,298.000000,299.681152,66.411923,0.126969,-72.072561,-1367.594532,-1416.328394,592.037439,510.491819,508.275987,976.175295
1225.500000,298.000000,299.001150,79.072757,-3.161797,-73.072075,-1282.667172,-1313.980861,604.715738,594.490735,582.029908,947.681064
1226.000000,298.000000,298.284343,87.549557,-0.298609,-74.675919,-1198.651747,-1211.101747,617.254071,671.163920,641.378290,918.137135
1226.500000,298.000000,297.758297,91.211490,8.567153,-76.204588,-1120.941188,-1109.088411,629.210777,738.696554,684.681828,888.022083
1227.000000,298.000000,297.507577,89.877963,22.785078,-77.074640,-1046.944289,-1009.188218,640.229080,798.069278,710.669257,857.878419
