step,T,Epot,Efull,SolventMolsThroughZ,
0,396.767,5639.37,12012.9,
2e-014,958.479,-3383.4,12013.3,
4e-014,751.721,-232.638,11842.7,
6e-014,642.184,1172.58,11488.4,
8e-014,875.966,-2846.56,11224.6,
1e-013,733.495,-1596.63,10186,
1.2e-013,1019.43,-718.775,15657,
1.4e-013,5.96403e+007,1.32399e+009,2.28203e+009,
1.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
1.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
2.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
3.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
