frame(num),distance (nm)
0.000000,0.004782
1.000000,0.004236
2.000000,-0.000119
3.000000,-0.006969
4.000000,-0.007771
5.000000,-0.008106
6.000000,-0.009338
7.000000,-0.004175
8.000000,-0.013578
9.000000,-0.020570
10.000000,-0.030836
11.000000,-0.032974
12.000000,-0.046500
13.000000,-0.043012
14.000000,-0.042449
15.000000,-0.048801
16.000000,-0.048228
17.000000,-0.043408
18.000000,-0.048293
19.000000,-0.048186
20.000000,-0.052854
21.000000,-0.043899
22.000000,-0.049613
23.000000,-0.047495
24.000000,-0.050062
25.000000,-0.043182
26.000000,-0.047727
27.000000,-0.044105
28.000000,-0.038248
29.000000,-0.039442
30.000000,-0.034225
31.000000,-0.028794
32.000000,-0.017046
33.000000,-0.016737
34.000000,-0.016140
35.000000,-0.007743
36.000000,-0.012650
37.000000,-0.002658
38.000000,0.004992
39.000000,0.008683
40.000000,0.013973
41.000000,0.019427
42.000000,0.017771
43.000000,0.013289
44.000000,0.003334
45.000000,0.001407
46.000000,0.011209
47.000000,-0.000211
48.000000,-0.005436
49.000000,0.017433
50.000000,0.009765
51.000000,0.004752
52.000000,0.002642
53.000000,-0.000682
54.000000,-0.005744
55.000000,0.002391
56.000000,-0.012764
57.000000,-0.020333
58.000000,-0.014068
59.000000,-0.011749
60.000000,-0.014759
61.000000,-0.017568
62.000000,-0.014827
63.000000,-0.025402
64.000000,-0.036552
65.000000,-0.028747
66.000000,-0.040596
67.000000,-0.049627
68.000000,-0.064048
69.000000,-0.065054
70.000000,-0.059864
71.000000,-0.056630
72.000000,-0.058226
73.000000,-0.051160
74.000000,-0.062213
75.000000,-0.072282
76.000000,-0.079112
77.000000,-0.083463
78.000000,-0.082456
79.000000,-0.089835
80.000000,-0.084644
81.000000,-0.080517
82.000000,-0.086784
83.000000,-0.091850
84.000000,-0.099859
85.000000,-0.104159
86.000000,-0.103874
87.000000,-0.100253
88.000000,-0.104900
89.000000,-0.104485
90.000000,-0.099481
91.000000,-0.109234
92.000000,-0.117019
93.000000,-0.104744
94.000000,-0.121154
95.000000,-0.132351
96.000000,-0.135689
97.000000,-0.123368
98.000000,-0.137073
99.000000,-0.142255
100.000000,-0.137332
101.000000,-0.139450
102.000000,-0.146411
103.000000,-0.152301
104.000000,-0.137897
105.000000,-0.139518
106.000000,-0.145727
107.000000,-0.146100
108.000000,-0.153029
109.000000,-0.154176
110.000000,-0.160920
111.000000,-0.158111
112.000000,-0.163791
113.000000,-0.171218
114.000000,-0.176885
115.000000,-0.174010
116.000000,-0.185232
117.000000,-0.176912
118.000000,-0.169216
119.000000,-0.181835
120.000000,-0.181078
121.000000,-0.191189
122.000000,-0.203715
123.000000,-0.212247
124.000000,-0.215198
125.000000,-0.203949
126.000000,-0.209553
127.000000,-0.210457
128.000000,-0.214310
129.000000,-0.214432
130.000000,-0.220134
131.000000,-0.216208
132.000000,-0.230351
133.000000,-0.228529
134.000000,-0.237537
135.000000,-0.254645
136.000000,-0.252567
137.000000,-0.254959
138.000000,-0.254938
139.000000,-0.259935
140.000000,-0.256378
141.000000,-0.259176
142.000000,-0.264782
143.000000,-0.258854
144.000000,-0.269406
145.000000,-0.274531
146.000000,-0.278438
147.000000,-0.278284
148.000000,-0.287629
149.000000,-0.281243
150.000000,-0.294438
151.000000,-0.291738
152.000000,-0.300903
153.000000,-0.315217
154.000000,-0.320986
155.000000,-0.310002
156.000000,-0.322795
157.000000,-0.309793
158.000000,-0.318453
159.000000,-0.327172
160.000000,-0.337693
161.000000,-0.327890
162.000000,-0.336804
163.000000,-0.335274
164.000000,-0.334354
165.000000,-0.330893
166.000000,-0.335236
167.000000,-0.338977
168.000000,-0.342487
169.000000,-0.356572
170.000000,-0.361727
171.000000,-0.373077
172.000000,-0.368308
173.000000,-0.367607
174.000000,-0.368806
175.000000,-0.376329
176.000000,-0.377519
177.000000,-0.381892
178.000000,-0.373465
179.000000,-0.372633
180.000000,-0.387691
181.000000,-0.377097
182.000000,-0.391930
183.000000,-0.398740
184.000000,-0.397044
185.000000,-0.398651
186.000000,-0.402516
187.000000,-0.404196
188.000000,-0.405483
189.000000,-0.407427
190.000000,-0.401593
191.000000,-0.408354
192.000000,-0.409958
193.000000,-0.414424
194.000000,-0.418769
195.000000,-0.423131
196.000000,-0.431718
197.000000,-0.426167
198.000000,-0.425455
199.000000,-0.429592
200.000000,-0.440767
201.000000,-0.437935
202.000000,-0.434649
203.000000,-0.432348
204.000000,-0.439066
205.000000,-0.431202
206.000000,-0.437124
207.000000,-0.450400
208.000000,-0.443666
209.000000,-0.454416
210.000000,-0.463581
211.000000,-0.463620
212.000000,-0.459703
213.000000,-0.467069
214.000000,-0.460285
215.000000,-0.463965
216.000000,-0.470485
217.000000,-0.475144
218.000000,-0.474465
219.000000,-0.485880
220.000000,-0.501500
221.000000,-0.489963
222.000000,-0.500905
223.000000,-0.498138
224.000000,-0.485234
225.000000,-0.493378
226.000000,-0.501415
227.000000,-0.496728
228.000000,-0.496939
229.000000,-0.483132
230.000000,-0.483066
231.000000,-0.500143
232.000000,-0.497976
233.000000,-0.504024
234.000000,-0.497106
235.000000,-0.499595
236.000000,-0.495718
237.000000,-0.500960
238.000000,-0.496428
239.000000,-0.499091
240.000000,-0.494128
241.000000,-0.506417
242.000000,-0.501715
243.000000,-0.505202
244.000000,-0.516779
245.000000,-0.506509
246.000000,-0.501328
247.000000,-0.511712
248.000000,-0.512880
249.000000,-0.513181
250.000000,-0.525921
251.000000,-0.528023
252.000000,-0.525206
253.000000,-0.520101
254.000000,-0.519783
255.000000,-0.536236
256.000000,-0.530369
257.000000,-0.517272
258.000000,-0.532610
259.000000,-0.544564
260.000000,-0.534833
261.000000,-0.546537
262.000000,-0.554137
263.000000,-0.558233
264.000000,-0.562522
265.000000,-0.565372
266.000000,-0.564412
267.000000,-0.555707
268.000000,-0.555633
269.000000,-0.557989
270.000000,-0.559484
271.000000,-0.572025
272.000000,-0.575341
273.000000,-0.579581
274.000000,-0.587130
275.000000,-0.579154
276.000000,-0.580464
277.000000,-0.575305
278.000000,-0.574940
279.000000,-0.579315
280.000000,-0.585430
281.000000,-0.580481
282.000000,-0.578362
283.000000,-0.591517
284.000000,-0.584858
285.000000,-0.581461
286.000000,-0.582817
287.000000,-0.587990
288.000000,-0.582592
289.000000,-0.588230
290.000000,-0.587295
291.000000,-0.598598
