frame(num),distance (nm)
0.000000,-0.110175
1.000000,-0.115068
2.000000,-0.121032
3.000000,-0.125192
4.000000,-0.130396
5.000000,-0.125859
6.000000,-0.127713
7.000000,-0.137326
8.000000,-0.122004
9.000000,-0.123067
10.000000,-0.127527
11.000000,-0.125615
12.000000,-0.126712
13.000000,-0.115880
14.000000,-0.111630
15.000000,-0.110138
16.000000,-0.113728
17.000000,-0.115653
18.000000,-0.115447
19.000000,-0.112229
20.000000,-0.109595
21.000000,-0.108990
22.000000,-0.111797
23.000000,-0.123052
24.000000,-0.118470
25.000000,-0.119995
26.000000,-0.116658
27.000000,-0.106481
28.000000,-0.108312
29.000000,-0.113680
30.000000,-0.121283
31.000000,-0.113422
32.000000,-0.110294
33.000000,-0.103404
34.000000,-0.106913
35.000000,-0.105535
36.000000,-0.103714
37.000000,-0.103350
38.000000,-0.105477
39.000000,-0.103888
40.000000,-0.092488
41.000000,-0.082909
42.000000,-0.082470
43.000000,-0.082943
44.000000,-0.085553
45.000000,-0.083630
46.000000,-0.078000
47.000000,-0.066715
48.000000,-0.070694
49.000000,-0.065296
50.000000,-0.057159
51.000000,-0.057902
52.000000,-0.050027
53.000000,-0.044275
54.000000,-0.042582
55.000000,-0.037620
56.000000,-0.035085
57.000000,-0.037273
58.000000,-0.030711
59.000000,-0.031917
60.000000,-0.023573
61.000000,-0.022492
62.000000,-0.018942
63.000000,-0.016329
64.000000,-0.011523
65.000000,-0.012943
66.000000,-0.014026
67.000000,-0.008677
68.000000,-0.010398
69.000000,-0.011053
70.000000,-0.003907
71.000000,-0.010407
72.000000,-0.008152
73.000000,-0.007616
74.000000,0.002705
75.000000,0.005115
76.000000,-0.002798
77.000000,0.006950
78.000000,0.009423
79.000000,0.009886
80.000000,0.010575
81.000000,0.017672
82.000000,0.013270
83.000000,0.014278
84.000000,0.010460
85.000000,0.013605
86.000000,0.016394
87.000000,0.020083
88.000000,0.021430
89.000000,0.016220
90.000000,0.023866
91.000000,0.022939
92.000000,0.016225
93.000000,0.025012
94.000000,0.026202
95.000000,0.027234
96.000000,0.022228
97.000000,0.023515
98.000000,0.030278
99.000000,0.042317
100.000000,0.046566
101.000000,0.048834
102.000000,0.055964
103.000000,0.051732
104.000000,0.049542
105.000000,0.061696
106.000000,0.071832
107.000000,0.065480
108.000000,0.068016
109.000000,0.071080
110.000000,0.072269
111.000000,0.073820
112.000000,0.084272
113.000000,0.078389
114.000000,0.083590
115.000000,0.082304
116.000000,0.088248
117.000000,0.090915
118.000000,0.098709
119.000000,0.098124
120.000000,0.095518
121.000000,0.102888
122.000000,0.096876
123.000000,0.095909
124.000000,0.098734
125.000000,0.097714
126.000000,0.091351
127.000000,0.098551
128.000000,0.100325
129.000000,0.097016
130.000000,0.097648
131.000000,0.096373
132.000000,0.097926
133.000000,0.094174
134.000000,0.092569
135.000000,0.093602
136.000000,0.100305
137.000000,0.097582
138.000000,0.098486
139.000000,0.097442
140.000000,0.090278
141.000000,0.099457
142.000000,0.099513
143.000000,0.090190
144.000000,0.097127
145.000000,0.096237
146.000000,0.097887
147.000000,0.097692
148.000000,0.093663
149.000000,0.095672
150.000000,0.099429
151.000000,0.101366
152.000000,0.093087
153.000000,0.086399
154.000000,0.095731
155.000000,0.097300
156.000000,0.089626
157.000000,0.090156
158.000000,0.098476
159.000000,0.086257
160.000000,0.092174
161.000000,0.089425
162.000000,0.092032
163.000000,0.086036
164.000000,0.080544
165.000000,0.088081
166.000000,0.087458
167.000000,0.093250
168.000000,0.094249
169.000000,0.093080
170.000000,0.082100
171.000000,0.081940
172.000000,0.085323
173.000000,0.088481
174.000000,0.084944
175.000000,0.080335
176.000000,0.075349
177.000000,0.066769
178.000000,0.077410
179.000000,0.076873
180.000000,0.073286
181.000000,0.072469
182.000000,0.064791
183.000000,0.061856
184.000000,0.066015
185.000000,0.066639
186.000000,0.064798
187.000000,0.071777
188.000000,0.068222
189.000000,0.057268
190.000000,0.055723
191.000000,0.059263
192.000000,0.057238
193.000000,0.059269
194.000000,0.061255
195.000000,0.051295
196.000000,0.046099
197.000000,0.048425
198.000000,0.043391
199.000000,0.051331
200.000000,0.052863
201.000000,0.046615
202.000000,0.032295
203.000000,0.036713
204.000000,0.036981
205.000000,0.037147
206.000000,0.042726
207.000000,0.045772
208.000000,0.038233
209.000000,0.038095
210.000000,0.040761
