frame(num),distance (nm)
0.000000,0.301499
1.000000,0.318072
2.000000,0.291298
3.000000,0.300693
4.000000,0.336080
5.000000,0.291630
6.000000,0.319591
7.000000,0.262359
8.000000,0.257253
9.000000,0.284138
10.000000,0.325136
11.000000,0.318918
12.000000,0.322175
13.000000,0.282834
14.000000,0.318354
15.000000,0.337206
16.000000,0.310881
17.000000,0.291730
18.000000,0.292024
19.000000,0.322670
20.000000,0.308840
21.000000,0.335806
22.000000,0.341107
23.000000,0.280481
24.000000,0.253004
25.000000,0.291090
26.000000,0.303168
27.000000,0.269017
28.000000,0.285810
29.000000,0.398504
30.000000,0.363306
31.000000,0.286299
32.000000,0.255655
33.000000,0.258653
34.000000,0.329411
35.000000,0.344360
36.000000,0.267076
37.000000,0.264527
38.000000,0.389709
39.000000,0.337600
40.000000,0.302131
41.000000,0.290983
42.000000,0.298322
43.000000,0.304710
44.000000,0.322037
45.000000,0.286828
46.000000,0.296992
47.000000,0.322457
48.000000,0.312727
49.000000,0.310941
50.000000,0.321701
51.000000,0.320632
52.000000,0.352638
53.000000,0.320441
54.000000,0.311053
55.000000,0.273614
56.000000,0.325353
57.000000,0.338029
58.000000,0.279717
59.000000,0.316339
60.000000,0.324042
61.000000,0.278264
62.000000,0.302733
63.000000,0.300919
64.000000,0.303007
65.000000,0.293325
66.000000,0.334150
67.000000,0.355869
68.000000,0.313014
69.000000,0.296736
70.000000,0.365455
71.000000,0.283243
72.000000,0.334534
73.000000,0.290176
74.000000,0.267728
75.000000,0.258915
76.000000,0.270492
77.000000,0.296079
78.000000,0.305956
79.000000,0.321196
80.000000,0.308688
81.000000,0.366860
82.000000,0.323016
83.000000,0.322634
84.000000,0.389712
85.000000,0.335466
86.000000,0.338074
87.000000,0.337715
88.000000,0.294530
89.000000,0.279310
90.000000,0.330821
91.000000,0.338356
92.000000,0.301459
93.000000,0.346130
94.000000,0.382928
95.000000,0.346599
96.000000,0.329427
97.000000,0.386376
98.000000,0.347333
99.000000,0.360440
100.000000,0.341657
101.000000,0.334593
102.000000,0.330730
103.000000,0.337212
104.000000,0.345640
105.000000,0.333312
106.000000,0.324879
107.000000,0.322985
108.000000,0.333173
109.000000,0.334249
110.000000,0.311368
111.000000,0.338449
112.000000,0.321351
113.000000,0.339071
114.000000,0.334617
115.000000,0.320264
116.000000,0.255932
117.000000,0.278746
118.000000,0.307385
119.000000,0.295046
120.000000,0.260494
121.000000,0.252566
122.000000,0.265596
123.000000,0.316103
124.000000,0.326057
125.000000,0.260493
126.000000,0.308817
127.000000,0.264175
128.000000,0.299280
129.000000,0.299819
130.000000,0.283517
131.000000,0.313257
132.000000,0.296580
133.000000,0.290062
134.000000,0.340567
135.000000,0.301905
136.000000,0.330417
137.000000,0.328397
138.000000,0.328004
139.000000,0.346464
140.000000,0.341102
141.000000,0.295022
142.000000,0.278334
143.000000,0.285999
144.000000,0.277946
145.000000,0.259693
146.000000,0.290584
147.000000,0.241002
148.000000,0.264621
149.000000,0.316963
150.000000,0.281187
151.000000,0.260298
152.000000,0.242057
153.000000,0.277666
154.000000,0.272176
155.000000,0.282838
156.000000,0.328969
157.000000,0.279835
158.000000,0.282324
159.000000,0.291355
160.000000,0.256760
161.000000,0.276775
162.000000,0.226108
163.000000,0.227998
164.000000,0.231013
165.000000,0.286885
166.000000,0.345701
167.000000,0.264726
168.000000,0.299845
169.000000,0.255218
170.000000,0.229289
171.000000,0.230683
172.000000,0.236194
173.000000,0.269084
174.000000,0.286946
175.000000,0.287521
176.000000,0.293423
177.000000,0.293487
178.000000,0.288180
179.000000,0.253939
180.000000,0.233872
181.000000,0.303849
182.000000,0.235997
183.000000,0.199597
184.000000,0.252211
185.000000,0.181477
