frame(num),distance (nm)
0.000000,1.627108
1.000000,1.664183
2.000000,1.748224
3.000000,1.752658
4.000000,1.767475
5.000000,1.772132
6.000000,1.776461
7.000000,1.749331
8.000000,1.807741
9.000000,1.761346
10.000000,1.783312
11.000000,1.834600
12.000000,1.816628
13.000000,1.731438
14.000000,1.685697
15.000000,1.668491
16.000000,1.657685
17.000000,1.640263
18.000000,1.620089
19.000000,1.656324
20.000000,1.684420
21.000000,1.648318
22.000000,1.607483
23.000000,1.612596
24.000000,1.616457
25.000000,1.619725
26.000000,1.586811
27.000000,1.587939
28.000000,1.532850
29.000000,1.465418
30.000000,1.544677
31.000000,1.562803
32.000000,1.554833
33.000000,1.541252
34.000000,1.527698
35.000000,1.493445
36.000000,1.450169
37.000000,1.453259
38.000000,1.480528
39.000000,1.514391
40.000000,1.504367
41.000000,1.510015
42.000000,1.517357
43.000000,1.474280
44.000000,1.449318
45.000000,1.468946
46.000000,1.490440
47.000000,1.444088
48.000000,1.441849
49.000000,1.459854
50.000000,1.470041
51.000000,1.446728
52.000000,1.448574
53.000000,1.464920
54.000000,1.481977
55.000000,1.459485
56.000000,1.456056
57.000000,1.467469
58.000000,1.455926
59.000000,1.434436
60.000000,1.457487
61.000000,1.458173
62.000000,1.471237
63.000000,1.451829
64.000000,1.460010
65.000000,1.450420
66.000000,1.465183
67.000000,1.467101
68.000000,1.477848
69.000000,1.399490
70.000000,1.413559
71.000000,1.397878
72.000000,1.416437
73.000000,1.471760
74.000000,1.451640
75.000000,1.466183
76.000000,1.466186
77.000000,1.466787
78.000000,1.450602
79.000000,1.451915
80.000000,1.444105
81.000000,1.461774
82.000000,1.476948
83.000000,1.467705
84.000000,1.461388
85.000000,1.443660
86.000000,1.412884
87.000000,1.405955
88.000000,1.401529
89.000000,1.411898
90.000000,1.361325
91.000000,1.420072
92.000000,1.426541
93.000000,1.393945
94.000000,1.347562
95.000000,1.354986
96.000000,1.373647
97.000000,1.324185
98.000000,1.340735
99.000000,1.376042
100.000000,1.327427
101.000000,1.362735
102.000000,1.388555
103.000000,1.340525
104.000000,1.412860
105.000000,1.433668
106.000000,1.438302
107.000000,1.410847
108.000000,1.476820
109.000000,1.475765
110.000000,1.361683
111.000000,1.339658
112.000000,1.406163
113.000000,1.371933
114.000000,1.374985
115.000000,1.374985
116.000000,1.369979
117.000000,1.389948
118.000000,1.378452
119.000000,1.428407
120.000000,1.420475
121.000000,1.380023
122.000000,1.376223
123.000000,1.369541
124.000000,1.347883
125.000000,1.396131
126.000000,1.354433
127.000000,1.360387
128.000000,1.366544
129.000000,1.359811
130.000000,1.369968
131.000000,1.348142
132.000000,1.347181
133.000000,1.347112
134.000000,1.357097
135.000000,1.372226
136.000000,1.371085
137.000000,1.364386
138.000000,1.347567
139.000000,1.350080
140.000000,1.356844
141.000000,1.367440
142.000000,1.360505
143.000000,1.351675
144.000000,1.350992
145.000000,1.358553
146.000000,1.348159
147.000000,1.341690
148.000000,1.335066
149.000000,1.324776
150.000000,1.334446
151.000000,1.334243
152.000000,1.333553
153.000000,1.338223
154.000000,1.329193
155.000000,1.347710
156.000000,1.343959
157.000000,1.380391
158.000000,1.367894
159.000000,1.371907
160.000000,1.385332
161.000000,1.379865
162.000000,1.376935
163.000000,1.378925
164.000000,1.385045
165.000000,1.394076
166.000000,1.418821
167.000000,1.422241
168.000000,1.403196
169.000000,1.403671
170.000000,1.392485
171.000000,1.378730
172.000000,1.365942
173.000000,1.399092
174.000000,1.406114
175.000000,1.395588
176.000000,1.406350
177.000000,1.402939
178.000000,1.386996
179.000000,1.395507
180.000000,1.407490
181.000000,1.409500
182.000000,1.406384
183.000000,1.396806
184.000000,1.386419
185.000000,1.410535
186.000000,1.401805
187.000000,1.399633
188.000000,1.391503
189.000000,1.370832
190.000000,1.380202
191.000000,1.395496
192.000000,1.397840
193.000000,1.410124
194.000000,1.407136
195.000000,1.405786
196.000000,1.396648
197.000000,1.404596
198.000000,1.407183
199.000000,1.399744
200.000000,1.400975
201.000000,1.392220
202.000000,1.399448
203.000000,1.396608
204.000000,1.398521
205.000000,1.400610
206.000000,1.385662
207.000000,1.387292
208.000000,1.406094
209.000000,1.395091
210.000000,1.399266
211.000000,1.389922
212.000000,1.380772
213.000000,1.381976
214.000000,1.387192
215.000000,1.391062
216.000000,1.390806
217.000000,1.382191
218.000000,1.383389
219.000000,1.395296
220.000000,1.385093
221.000000,1.385193
222.000000,1.403074
223.000000,1.395754
224.000000,1.387006
225.000000,1.395061
226.000000,1.393569
227.000000,1.403102
228.000000,1.425486
229.000000,1.423582
230.000000,1.424595
231.000000,1.441673
232.000000,1.418917
233.000000,1.419310
234.000000,1.414730
235.000000,1.412032
236.000000,1.398111
237.000000,1.396476
238.000000,1.402619
239.000000,1.389339
240.000000,1.391513
241.000000,1.375977
242.000000,1.389995
243.000000,1.391990
244.000000,1.396307
245.000000,1.392601
246.000000,1.399148
247.000000,1.409785
248.000000,1.398869
249.000000,1.383153
250.000000,1.385901
251.000000,1.388310
252.000000,1.381899
253.000000,1.393735
254.000000,1.381199
255.000000,1.379296
256.000000,1.407279
257.000000,1.405932
258.000000,1.399088
259.000000,1.379266
260.000000,1.365971
261.000000,1.371175
262.000000,1.377882
263.000000,1.386686
264.000000,1.393846
265.000000,1.395662
266.000000,1.383235
267.000000,1.372955
268.000000,1.389099
269.000000,1.375046
270.000000,1.378966
271.000000,1.396881
272.000000,1.394135
273.000000,1.391507
274.000000,1.388369
275.000000,1.377972
276.000000,1.379102
277.000000,1.379423
278.000000,1.381852
279.000000,1.383859
280.000000,1.387316
281.000000,1.392127
282.000000,1.386879
283.000000,1.373628
284.000000,1.387315
285.000000,1.390539
286.000000,1.395319
287.000000,1.397829
288.000000,1.393802
289.000000,1.405740
290.000000,1.387447
291.000000,1.374114
292.000000,1.352806
293.000000,1.370152
294.000000,1.360935
295.000000,1.343428
296.000000,1.373067
297.000000,1.382299
298.000000,1.400212
299.000000,1.391285
300.000000,1.406418
301.000000,1.393172
302.000000,1.391364
303.000000,1.391651
304.000000,1.410477
305.000000,1.417353
306.000000,1.415935
307.000000,1.399690
308.000000,1.391106
309.000000,1.381911
310.000000,1.376974
311.000000,1.380172
312.000000,1.367082
313.000000,1.365759
314.000000,1.363315
315.000000,1.372433
316.000000,1.357697
317.000000,1.356796
318.000000,1.363405
319.000000,1.344208
320.000000,1.350224
321.000000,1.358246
322.000000,1.345417
323.000000,1.355233
324.000000,1.359884
325.000000,1.377195
326.000000,1.372608
327.000000,1.356560
328.000000,1.384746
329.000000,1.349657
330.000000,1.390338
331.000000,1.400563
332.000000,1.352666
333.000000,1.351196
334.000000,1.370192
335.000000,1.372130
336.000000,1.396077
337.000000,1.400277
338.000000,1.387300
339.000000,1.360828
340.000000,1.373086
341.000000,1.357072
342.000000,1.377042
343.000000,1.381654
344.000000,1.402101
345.000000,1.399620
346.000000,1.388291
347.000000,1.396578
348.000000,1.413538
349.000000,1.356702
350.000000,1.364287
351.000000,1.354095
352.000000,1.380605
353.000000,1.427818
354.000000,1.358521
355.000000,1.359056
356.000000,1.340901
357.000000,1.331874
358.000000,1.338383
359.000000,1.350548
360.000000,1.327442
361.000000,1.319289
362.000000,1.310447
363.000000,1.309416
364.000000,1.355694
365.000000,1.314023
366.000000,1.317255
367.000000,1.320391
368.000000,1.325120
369.000000,1.361084
370.000000,1.312784
371.000000,1.327540
372.000000,1.336531
373.000000,1.335866
374.000000,1.346014
375.000000,1.309050
376.000000,1.320340
377.000000,1.305461
378.000000,1.294504
379.000000,1.341168
380.000000,1.346234
381.000000,1.364427
382.000000,1.394997
383.000000,1.370928
384.000000,1.362643
385.000000,1.352012
386.000000,1.370957
387.000000,1.366409
388.000000,1.386068
389.000000,1.375103
390.000000,1.324349
391.000000,1.360471
392.000000,1.351852
393.000000,1.347772
394.000000,1.365781
395.000000,1.365279
396.000000,1.350237
397.000000,1.360761
398.000000,1.404115
399.000000,1.421650
400.000000,1.350586
401.000000,1.352067
402.000000,1.352402
403.000000,1.352094
404.000000,1.374202
405.000000,1.347375
406.000000,1.384756
407.000000,1.351724
408.000000,1.361563
409.000000,1.404782
410.000000,1.413013
411.000000,1.416270
412.000000,1.348584
413.000000,1.361892
414.000000,1.392792
415.000000,1.353107
416.000000,1.346160
417.000000,1.391490
418.000000,1.396250
419.000000,1.348099
420.000000,1.345015
421.000000,1.341144
422.000000,1.341466
423.000000,1.342566
424.000000,1.375582
425.000000,1.330214
426.000000,1.337147
427.000000,1.370852
428.000000,1.380230
429.000000,1.400590
