t,temperature,ConvEKinTemp(ekin),sum_mom_xy,sum_vel[0],sum_vel[1],sum_vel[2],sum_vel_wk_up[0],sum_vel_wk_up[1],sum_vel_wk_up[2],sum_vel_wk_dw[0],sum_vel_wk_dw[1],sum_vel_wk_dw[2],sum_vel_up[0],sum_vel_up[1],sum_vel_up[2],sum_vel_dw[0],sum_vel_dw[1],sum_vel_dw[2],sum_f_wk_up[0],sum_f_wk_up[1],sum_f_wk_up[2],sum_f_wk_dw[0],sum_f_wk_dw[1],sum_f_wk_dw[2]
0.000000,295.000000,0.103287,0.433652,-1.053747,35.550370,20.838275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.403978,10.801549,-16.588579,-6.457725,24.748821,37.426854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,295.000000,211.448840,0.430796,1.495201,42.141710,-23.110074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-12.528284,19.776574,-34.517507,14.023485,22.365135,11.407433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,295.000000,176.859397,0.425658,-3.960799,32.307084,-14.572187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.590196,20.829016,-32.465944,12.629398,11.478067,17.893757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,295.000000,126.465983,0.418587,-17.178665,-3.255821,60.917916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.112317,5.607927,0.021486,-12.066348,-8.863748,60.896429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,295.000000,170.520690,0.408932,-21.992087,-35.536143,100.817879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.525473,-10.592260,26.824157,-17.466614,-24.943883,73.993721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,295.000000,169.570744,0.402513,-16.647966,-38.458653,53.567296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.532993,-20.674478,14.496795,4.885027,-17.784175,39.070501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,295.000000,150.568043,0.403461,-12.026702,-22.079693,1.921992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-29.744992,-17.387574,-18.315151,17.718290,-4.692119,20.237143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,295.000000,147.713090,0.408805,-1.300420,-13.156213,18.982854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.776606,-19.154548,-21.972195,7.476186,5.998336,40.955049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,295.000000,137.426470,0.413225,26.095637,-15.020212,46.634685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.139752,-24.676933,-1.713835,11.955885,9.656721,48.348520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,295.000000,172.020859,0.414059,55.198088,-3.747185,9.624387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.959779,-15.871520,-1.783815,46.238308,12.124336,11.408202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,295.000000,148.896276,0.412588,65.249910,22.725140,-42.260153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.734766,7.785798,-27.452185,66.984676,14.939342,-14.807968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.000000,295.000000,171.093099,0.406064,57.159577,24.489238,-21.591094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.794565,17.652774,-36.115474,45.365013,6.836464,14.524379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.000000,295.000000,144.334111,0.391156,43.472699,-14.751041,38.572128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.435588,-0.527302,-10.902476,18.037111,-14.223739,49.474604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.000000,295.000000,155.739307,0.370004,25.106928,-48.417420,43.223878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.286193,-21.787845,11.123886,22.820735,-26.629576,32.099992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.000000,295.000000,153.845915,0.350754,-5.774793,-40.649052,-0.368136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-34.700635,-21.071557,-3.586349,28.925842,-19.577495,3.218214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.000000,295.000000,169.874570,0.335165,-37.161288,-19.228874,-2.255169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-33.952958,-14.190112,-26.949100,-3.208330,-5.038762,24.693931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32.000000,295.000000,160.735586,0.318558,-37.350161,-20.512238,47.592791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.903036,-23.310261,-18.436796,-35.447124,2.798024,66.029587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34.000000,295.000000,150.009472,0.300289,-9.174405,-29.406433,61.610362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.654974,-35.757928,7.803033,-18.829379,6.351495,53.807330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36.000000,295.000000,155.645714,0.285279,7.394705,-8.570640,17.009920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.322833,-21.750359,6.573232,16.717538,13.179718,10.436688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38.000000,295.000000,168.628647,0.274770,4.385299,32.133178,-6.768287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.174814,11.056599,-21.623624,14.560113,21.076579,14.855336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.000000,295.000000,162.053071,0.261205,12.167205,33.322577,24.163563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.625435,17.996859,-33.844344,-10.458230,15.325718,58.007907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42.000000,295.000000,146.262152,0.237671,35.109819,-22.855278,43.909766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.038079,-17.087708,-13.715636,0.071740,-5.767570,57.625402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44.000000,295.000000,131.821744,0.212430,37.427055,-72.926183,10.433188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.102019,-52.774985,7.864286,41.529074,-20.151197,2.568902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46.000000,295.000000,157.368123,0.202197,3.521818,-73.904514,-24.745616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-42.701565,-58.570851,-1.471634,46.223383,-15.333662,-23.273983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48.000000,295.000000,162.782715,0.209761,-20.887169,-60.071179,-9.726467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-29.012912,-52.458275,-21.550163,8.125743,-7.612904,11.823697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.000000,295.000000,174.341569,0.220546,7.958761,-65.487967,21.300599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.984693,-64.354739,-11.786527,-4.025932,-1.133229,33.087126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52.000000,295.000000,162.471891,0.225522,50.738941,-65.419174,9.430244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.155459,-77.104128,14.510395,32.583482,11.684954,-5.080151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54.000000,295.000000,163.729413,0.229760,47.499268,-24.204473,-24.813727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.546869,-54.164531,8.292197,55.046137,29.960058,-33.105924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56.000000,295.000000,155.427417,0.236971,21.495555,37.566881,-24.137071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.793185,-5.202250,-30.411756,26.288739,42.769131,6.274685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.000000,295.000000,157.965638,0.239528,27.367372,59.122132,-1.422864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.388832,18.517423,-50.262716,-6.021460,40.604709,48.839852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
