t,temperature,ConvEKinTemp(ekin),sum_mom_xy,sum_vel[0],sum_vel[1],sum_vel[2],sum_vel_up[0],sum_vel_up[1],sum_vel_up[2],sum_vel_dw[0],sum_vel_dw[1],sum_vel_dw[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
0.000000,295.000000,0.000000,-62.677509,3.936550,20.388889,-23.430412,-7.898677,23.374876,-32.989351,11.835227,-2.985987,9.558939,696.378743,1117.507667,40.595957,935.962594,245.008404,-767.863870
2.000000,295.000000,205.766823,-63.127714,-20.189951,35.629549,26.966391,-38.261371,4.197742,10.581597,18.071420,31.431807,16.384794,1127.454059,1679.158831,139.232016,1508.273396,825.796775,-990.447361
4.000000,295.000000,180.773099,-43.733718,-38.512071,37.664427,46.116990,-44.714082,6.180827,27.355245,6.202011,31.483601,18.761745,1214.396469,1774.359279,68.765573,1769.061574,1053.661045,-1150.655174
6.000000,295.000000,123.066649,2.819757,-37.374631,15.988896,13.805950,-14.668422,29.112035,-0.570627,-22.706210,-13.123139,14.376577,877.691552,1325.705214,-205.357394,1670.943370,889.730058,-1155.717596
8.000000,295.000000,172.165304,40.699541,-33.555208,-0.152303,-4.621777,9.218622,40.790669,-15.882058,-42.773830,-40.942972,11.260280,117.298608,472.158153,-600.017204,1241.591295,446.376947,-1068.077919
10.000000,295.000000,173.291686,43.239916,-37.850385,6.861547,31.107097,-4.703406,20.147199,20.295359,-33.146979,-13.285652,10.811738,-930.792061,-499.874057,-972.701391,578.690416,-90.067582,-1007.823550
12.000000,295.000000,163.485206,35.412138,-30.702372,14.112816,69.495712,-21.310023,2.250809,53.240517,-9.392348,11.862007,16.255195,-1985.255299,-1308.629047,-1227.510544,-167.917170,-575.434190,-973.998400
14.000000,295.000000,163.290499,39.893339,1.426711,1.301157,52.320812,-2.549908,8.280122,36.175860,3.976619,-6.978965,16.144952,-2688.760851,-1768.271117,-1340.031900,-818.992872,-941.054602,-884.248941
16.000000,295.000000,144.379354,41.042952,29.784401,-16.052397,11.012460,26.863818,21.156892,3.849637,2.920583,-37.209289,7.162824,-2747.051692,-1785.815751,-1308.406143,-1249.098260,-1154.183615,-749.142669
18.000000,295.000000,177.043929,25.303589,25.296358,-14.096580,15.259880,18.414824,8.768006,12.120046,6.881534,-22.864586,3.139835,-2057.958732,-1363.112463,-1149.852220,-1432.162465,-1204.995140,-669.264185
