tor1(deg),E(kJ/mol)
0.000000,0.000000
-0.001848,0.002069
-0.006358,0.001933
-0.011322,0.004790
-0.017558,0.007755
-0.025025,0.012268
-0.035092,0.018228
-0.047844,0.027491
-0.057544,0.039939
-0.066436,0.048037
-0.076987,0.057935
-0.086773,0.069192
-0.097536,0.079686
-0.109350,0.090666
-0.121296,0.098911
-0.130594,0.104700
-0.137507,0.108617
-0.142882,0.111218
-0.145988,0.112035
-0.149170,0.110158
-0.152647,0.109520
-0.155159,0.107911
-0.157582,0.104561
-0.163282,0.099848
-0.169761,0.092065
-0.175964,0.085621
-0.180631,0.078957
-0.183412,0.071659
-0.184148,0.065128
-0.184623,0.058795
-0.182276,0.054991
-0.179683,0.050616
-0.182379,0.045744
-0.182124,0.043042
-0.178169,0.039752
-0.172342,0.034416
-0.166831,0.028888
-0.163562,0.024390
-0.158187,0.017710
-0.153511,0.011254
-0.150859,0.004320
-0.150461,0.002827
-0.148813,0.003360
-0.144035,0.004542
-0.139734,0.007748
-0.135535,0.011378
-0.133158,0.019464
-0.128423,0.027246
-0.125336,0.037209
-0.119706,0.045665
-0.114651,0.053855
-0.111965,0.062318
-0.109549,0.068422
-0.109869,0.077104
-0.111242,0.084201
-0.113126,0.089163
-0.118616,0.092548
-0.123179,0.095182
-0.126422,0.096416
-0.130115,0.097670
-0.132479,0.098521
-0.133477,0.100471
-0.136333,0.102716
-0.139020,0.106510
-0.137703,0.108419
-0.136797,0.111309
-0.139424,0.112683
-0.141584,0.112184
-0.146939,0.113304
-0.149843,0.111394
-0.155184,0.107018
-0.161410,0.102564
-0.164686,0.098325
-0.165462,0.094567
-0.168566,0.093058
-0.173785,0.094238
-0.178202,0.093121
-0.181090,0.091466
-0.183154,0.088102
-0.187633,0.086681
-0.189980,0.088073
-0.191735,0.089167
-0.194658,0.092409
-0.198195,0.097302
-0.202575,0.100420
-0.207509,0.104684
-0.208972,0.106743
-0.211874,0.109042
-0.215631,0.111812
-0.217961,0.112655
-0.219267,0.110096
-0.221791,0.103492
-0.227844,0.100560
-0.231715,0.091748
-0.235632,0.083281
-0.239554,0.076270
-0.241898,0.074240
-0.241857,0.067665
-0.241071,0.064767
-0.239191,0.060936
-0.235455,0.059315
-0.230742,0.059425
-0.224655,0.061365
-0.220814,0.064624
-0.218835,0.070280
-0.217725,0.074179
-0.218503,0.080089
-0.218616,0.083681
-0.219666,0.088494
-0.222349,0.091003
-0.227628,0.092003
-0.230565,0.089805
-0.237053,0.089375
-0.241859,0.091618
-0.249779,0.096346
-0.257127,0.096780
-0.265896,0.097743
-0.275266,0.101264
-0.282430,0.103459
-0.286369,0.102282
-0.287729,0.102820
-0.290129,0.105078
-0.288880,0.108098
-0.287184,0.112851
-0.285047,0.115996
-0.284376,0.116043
-0.286545,0.115304
-0.288416,0.110922
-0.290251,0.106112
-0.292536,0.101220
-0.290986,0.097479
-0.293045,0.094775
-0.295564,0.091413
-0.294671,0.087339
-0.291778,0.086956
-0.292771,0.086316
-0.291316,0.083777
-0.291722,0.083294
-0.291069,0.081250
-0.291545,0.082326
-0.292059,0.081843
-0.290477,0.082405
-0.291694,0.082521
-0.292390,0.083515
-0.291767,0.085271
-0.291216,0.087809
-0.290275,0.090135
-0.288590,0.092437
-0.286985,0.098005
-0.287299,0.102543
-0.287227,0.105491
-0.282634,0.106152
-0.281671,0.108142
-0.282672,0.110067
-0.284767,0.111069
-0.288340,0.111950
-0.291620,0.112167
-0.295715,0.112043
-0.297924,0.107347
-0.299454,0.103208
-0.300315,0.101870
-0.302716,0.102126
-0.305538,0.102710
-0.309279,0.100470
-0.314219,0.097450
-0.317078,0.097979
-0.318770,0.104263
-0.320112,0.107913
-0.323860,0.111964
-0.326201,0.114730
-0.326689,0.116510
-0.327110,0.117913
-0.326873,0.120327
-0.327022,0.122088
-0.329292,0.124061
-0.329737,0.123749
-0.327385,0.123085
-0.325035,0.122722
-0.321903,0.120555
-0.317771,0.117428
-0.312319,0.113225
-0.308440,0.111398
-0.304300,0.110790
-0.299694,0.106456
-0.295172,0.102209
-0.292313,0.099177
-0.288209,0.096956
-0.281768,0.092657
-0.274666,0.088940
-0.270373,0.085057
-0.268555,0.081263
-0.267631,0.080129
-0.264263,0.075398
-0.260004,0.070287
-0.256499,0.068342
-0.254051,0.065719
-0.251692,0.064472
-0.248498,0.067239
-0.242413,0.068238
-0.236091,0.073728
-0.233033,0.079545
-0.229657,0.084847
-0.224304,0.089374
-0.216332,0.091265
-0.213163,0.094116
-0.212079,0.096654
-0.209414,0.099324
-0.208337,0.102207
-0.207020,0.108548
-0.202974,0.109498
-0.198584,0.109146
-0.190867,0.107168
-0.186560,0.105875
-0.185683,0.105275
-0.185478,0.102889
-0.185353,0.098060
-0.186458,0.096579
-0.190085,0.094976
-0.194659,0.092811
-0.197534,0.091752
-0.199190,0.093347
-0.198723,0.095947
-0.196426,0.097789
-0.197449,0.100003
-0.200951,0.102114
-0.203127,0.103079
-0.203370,0.102145
-0.206621,0.102849
-0.211486,0.103574
-0.216069,0.104819
-0.223304,0.102797
-0.230849,0.100242
-0.239352,0.099269
-0.247719,0.096662
-0.257332,0.091674
-0.265863,0.084744
-0.271847,0.077646
-0.278394,0.073500
-0.284697,0.065212
-0.289105,0.061945
-0.292983,0.056742
-0.291913,0.053884
-0.291696,0.055220
-0.292530,0.056732
-0.288080,0.057889
