step,T,Epot,Efull,SolventMolsThroughZ,
0,0.000896124,-12395,-12395,0,
5e-015,0.15665,-12397.5,-12395.3,0,
1e-014,0.258703,-12400.1,-12396.5,0,
1.5e-014,0.346307,-12402.9,-12398.1,0,
2e-014,0.3813,-12405.3,-12400.1,0,
2.5e-014,0.392051,-12407.6,-12402.1,0,
3e-014,0.392177,-12409.7,-12404.2,0,
3.5e-014,0.380484,-12411.6,-12406.3,0,
4e-014,0.358583,-12413.2,-12408.3,0,
4.5e-014,0.33272,-12414.7,-12410.1,0,
5e-014,0.297168,-12415.9,-12411.8,0,
5.5e-014,8.5819,-12418.2,-12299.7,0,
6e-014,15.1628,-12417.4,-12208.1,0,
6.5e-014,19.3336,-12409.8,-12142.8,0,
7e-014,21.7501,-12394.6,-12094.3,0,
7.5e-014,23.154,-12375.1,-12055.5,0,
8e-014,24.1814,-12356.5,-12022.7,0,
8.5e-014,25.3747,-12345.8,-11995.5,0,
9e-014,26.6476,-12342.6,-11974.7,0,
9.5e-014,27.813,-12344.1,-11960.1,0,
1e-013,28.9262,-12350.9,-11951.6,0,
1.05e-013,39.3017,-12361.1,-11818.5,0,
1.1e-013,46.4058,-12370.6,-11729.9,0,
1.15e-013,51.0739,-12376.7,-11671.5,0,
1.2e-013,53.779,-12375,-11632.5,0,
1.25e-013,54.9877,-12363,-11603.8,0,
1.3e-013,55.1702,-12340.5,-11578.8,0,
1.35e-013,54.7134,-12308.4,-11553,0,
1.4e-013,54.2222,-12273.3,-11524.7,0,
1.45e-013,53.9688,-12239.3,-11494.2,0,
1.5e-013,54.3033,-12213.4,-11463.7,0,
1.55e-013,64.578,-12197.5,-11305.9,0,
1.6e-013,71.9302,-12186.4,-11193.4,0,
1.65e-013,76.8262,-12173.1,-11112.5,0,
1.7e-013,80.1506,-12159.5,-11053,0,
1.75e-013,82.1106,-12140.8,-11007.2,0,
1.8e-013,83.0661,-12116,-10969.2,0,
1.85e-013,83.3123,-12084.6,-10934.3,0,
1.9e-013,83.2328,-12048.7,-10899.6,0,
1.95e-013,83.373,-12016.3,-10865.3,0,
2e-013,83.3082,-11981.2,-10831,0,
2.05e-013,92.6386,-11944.6,-10665.6,0,
2.1e-013,99.1045,-11908.9,-10540.7,0,
2.15e-013,103.973,-11880.3,-10444.8,0,
2.2e-013,107.288,-11851.7,-10370.5,0,
2.25e-013,109.41,-11820.8,-10310.2,0,
2.3e-013,110.533,-11784.4,-10258.3,0,
2.35e-013,111.29,-11747.9,-10211.4,0,
2.4e-013,112.032,-11714.8,-10168.1,0,
2.45e-013,112.653,-11683.9,-10128.6,0,
2.5e-013,113.192,-11654.7,-10091.9,0,
2.55e-013,122.899,-11623.5,-9926.76,0,
2.6e-013,129.32,-11588.3,-9802.91,0,
2.65e-013,133.764,-11554.4,-9707.6,0,
2.7e-013,136.475,-11514.8,-9630.62,0,
2.75e-013,138.483,-11477.8,-9565.84,0,
2.8e-013,139.899,-11441.6,-9510.13,0,
2.85e-013,140.825,-11404.5,-9460.21,0,
2.9e-013,141.917,-11375,-9415.63,0,
2.95e-013,142.897,-11349,-9376.18,0,
3e-013,144.001,-11330.5,-9342.35,0,
3.05e-013,153.675,-11303.1,-9181.45,0,
3.1e-013,160.042,-11270.9,-9061.32,0,
3.15e-013,164.485,-11240.1,-8969.2,0,
3.2e-013,167.837,-11214.6,-8897.43,0,
3.25e-013,169.688,-11182.4,-8839.6,0,
3.3e-013,170.543,-11142.8,-8788.26,0,
3.35e-013,172.04,-11118.1,-8742.86,0,
3.4e-013,172.805,-11089.9,-8704.08,0,
3.45e-013,172.628,-11050,-8666.63,0,
3.5e-013,173.154,-11019.8,-8629.18,0,
3.55e-013,184.292,-11010.5,-8466.15,0,
3.6e-013,191.849,-11001.5,-8352.81,0,
3.65e-013,195.895,-10974.2,-8269.59,0,
3.7e-013,198.076,-10937.1,-8202.37,0,
3.75e-013,199.717,-10902.2,-8144.87,0,
3.8e-013,201.245,-10873.9,-8095.41,0,
3.85e-013,203.066,-10858.3,-8054.72,0,
3.9e-013,205.711,-10865.9,-8025.77,0,
3.95e-013,208.272,-10886.1,-8010.66,0,
4e-013,209.91,-10905.2,-8007.15,0,
4.05e-013,220.12,-10917.2,-7878.21,0,
4.1e-013,226.758,-10923.5,-7792.84,0,
4.15e-013,230.194,-10912.3,-7734.21,0,
4.2e-013,231.318,-10880.7,-7687.07,0,
4.25e-013,231.721,-10842.6,-7643.37,0,
4.3e-013,232.506,-10812.1,-7602.08,0,
4.35e-013,233.597,-10791.1,-7566.02,0,
4.4e-013,234.361,-10770.6,-7534.95,0,
4.45e-013,235.427,-10758.6,-7508.24,0,
4.5e-013,237.141,-10762.7,-7488.72,0,
4.55e-013,247.476,-10762.3,-7345.62,0,
4.6e-013,253.75,-10748.3,-7244.97,0,
4.65e-013,258.554,-10742.5,-7172.85,0,
4.7e-013,262.368,-10745.3,-7123.03,0,
4.75e-013,265.618,-10759.1,-7091.88,0,
4.8e-013,267.978,-10775.8,-7076.07,0,
4.85e-013,269.451,-10790.5,-7070.41,0,
4.9e-013,270.198,-10800.7,-7070.28,0,
4.95e-013,270.222,-10802.9,-7072.13,0,
5e-013,270.13,-10803.2,-7073.73,0,
5.05e-013,270.543,-10789.1,-7053.93,0,
5.1e-013,270.047,-10762.5,-7034.14,0,
5.15e-013,268.521,-10720.6,-7013.37,0,
5.2e-013,266.719,-10673.5,-6991.12,0,
5.25e-013,266.126,-10642.2,-6967.96,0,
5.3e-013,265.541,-10610.6,-6944.45,0,
5.35e-013,264.564,-10573,-6920.38,0,
5.4e-013,264.568,-10548.7,-6896,0,
5.45e-013,266.578,-10552.7,-6872.27,0,
5.5e-013,270.303,-10582.4,-6850.57,0,
5.55e-013,274.847,-10626.8,-6832.18,0,
5.6e-013,278.024,-10655.1,-6816.59,0,
5.65e-013,278.553,-10648,-6802.23,0,
5.7e-013,276.71,-10608,-6787.72,0,
5.75e-013,273.106,-10541.7,-6771.14,0,
5.8e-013,269.409,-10471.4,-6751.85,0,
5.85e-013,267.406,-10422.5,-6730.66,0,
5.9e-013,266.86,-10392.9,-6708.59,0,
5.95e-013,268.488,-10393.6,-6686.83,0,
6e-013,270.905,-10406.5,-6666.29,0,
6.05e-013,272.847,-10414,-6646.98,0,
6.1e-013,274.298,-10415.7,-6628.67,0,
6.15e-013,276.543,-10429.6,-6611.6,0,
6.2e-013,278.569,-10442.1,-6596.11,0,
6.25e-013,278.332,-10424.1,-6581.42,0,
6.3e-013,275.577,-10370.3,-6565.67,0,
6.35e-013,273.829,-10328.7,-6548.2,0,
6.4e-013,273.512,-10306.4,-6530.26,0,
6.45e-013,273.975,-10295.1,-6512.58,0,
6.5e-013,274.803,-10288.9,-6494.93,0,
6.55e-013,276.949,-10302.1,-6478.45,0,
6.6e-013,279.315,-10319.9,-6463.62,0,
6.65e-013,282.007,-10343.9,-6450.41,0,
6.7e-013,286.398,-10393.5,-6439.43,0,
6.75e-013,291.541,-10457,-6431.88,0,
6.8e-013,292.33,-10462.6,-6426.61,0,
6.85e-013,291.074,-10439.5,-6420.88,0,
6.9e-013,291.821,-10444,-6415.07,0,
6.95e-013,290.849,-10424.8,-6409.3,0,
7e-013,287.17,-10366.7,-6402,0,
7.05e-013,283.6,-10307.5,-6392.06,0,
7.1e-013,283.347,-10292.7,-6380.79,0,
7.15e-013,285.932,-10317.9,-6370.27,0,
7.2e-013,289.119,-10353.9,-6362.21,0,
7.25e-013,289.291,-10349.6,-6355.54,0,
7.3e-013,287.915,-10323.4,-6348.41,0,
7.35e-013,287.933,-10315.3,-6340.04,0,
7.4e-013,289.688,-10332,-6332.48,0,
7.45e-013,290.576,-10337.6,-6325.87,0,
7.5e-013,291.359,-10342.5,-6319.97,0,
7.55e-013,293.629,-10369,-6315.1,0,
7.6e-013,297.199,-10415.7,-6312.47,0,
7.65e-013,299.304,-10444.5,-6312.25,0,
7.7e-013,300.525,-10462.2,-6313.06,0,
7.75e-013,300.276,-10459.6,-6313.93,0,
7.8e-013,297.884,-10426.4,-6313.71,0,
7.85e-013,294.751,-10380.7,-6311.32,0,
7.9e-013,292.73,-10348.5,-6307.02,0,
7.95e-013,291.878,-10331.5,-6301.76,0,
8e-013,291.025,-10313.9,-6295.98,0,
8.05e-013,287.894,-10263.7,-6288.95,0,
8.1e-013,284.01,-10200.4,-6279.34,0,
8.15e-013,282.014,-10161.1,-6267.54,0,
8.2e-013,282.39,-10153.8,-6255.11,0,
8.25e-013,284.387,-10169.9,-6243.61,0,
8.3e-013,285.957,-10181.3,-6233.32,0,
8.35e-013,286.861,-10184.5,-6224.03,0,
8.4e-013,286.173,-10165.8,-6214.79,0,
8.45e-013,285.584,-10147.8,-6204.94,0,
8.5e-013,287.939,-10170.9,-6195.59,0,
8.55e-013,290.207,-10194.9,-6188.2,0,
8.6e-013,289.316,-10175.6,-6181.2,0,
8.65e-013,289.247,-10167.1,-6173.69,0,
8.7e-013,291.545,-10192.4,-6167.28,0,
8.75e-013,292.871,-10206.3,-6162.9,0,
8.8e-013,290.303,-10166.6,-6158.6,0,
8.85e-013,287.093,-10115.8,-6152.12,0,
8.9e-013,286.072,-10093.7,-6144.11,0,
8.95e-013,286.731,-10094.8,-6136.09,0,
